Agente Financeiro,Modalidade,Situação do Empreendimento,linhas,apfs,uh_contratadas,uh_entregues,uh_vigentes,valor_contratado,valor_desembolsado,media_exec,apfs_atrasados,uh_vigentes_atrasadas
BB,FAR,CONCLUÍDO E ENTREGUE,166,166,128389,128389,0,8078296995.15,7720226431.77,99.92156626506024,0,0
BB,FAR,DESIMOBILIZADO,14,14,6225,686,5539,386165938.09000003,333235074.0,63.63357142857143,0,0
BB,FAR,DISTRATADO/CANCELADO,1,1,150,0,150,9300000.0,0.0,0.0,0,0
BB,FAR,EM ANDAMENTO,11,11,8474,0,8474,557878255.9300001,926885995.02,84.82636363636364,0,0
BB,FAR,PARALISADO,8,8,4356,320,4036,232433826.38,172361356.54,69.875,0,0
BB,Rural,CONCLUÍDO E ENTREGUE,988,988,17527,17527,0,515038662.13,510147130.48,100.0,0,0
BB,Rural,DISTRATADO/CANCELADO,4,4,32,0,32,944024.0,108128.0,0.0,0,0
BB,Rural,EM ANDAMENTO,24,24,783,54,729,23860496.9,22394254.43,77.39208333333333,0,0
BB,Rural,OBRA NÃO INICIADA,3,3,23,0,23,669035.45,114413.9,0.0,0,0
BB,Rural,PARALISADO,69,69,1803,0,1803,54197100.15,42321240.28,71.05565217391305,0,0
CAIXA,Entidades,CONCLUÍDO E ENTREGUE,374,374,42603,42603,0,2699295694.75,2751493420.08,100.0,0,0
CAIXA,Entidades,EM ANDAMENTO,292,292,37120,0,37120,4713887164.41,1769701055.17,38.35020547945206,10,2102
CAIXA,Entidades,FASE PROJETO,204,204,19748,0,19748,346895069.86,114400495.43,20.47019607843137,0,0
CAIXA,Entidades,PARALISADO,20,20,4539,0,4539,459717710.03,132776452.92,63.484,0,0
CAIXA,FAR,CONCLUÍDO E ENTREGUE,3505,3505,1171056,1171056,0,68818538194.27,69887059746.22,100.0,0,0
CAIXA,FAR,DESIMOBILIZADO,28,28,15157,0,15157,906354256.6,689889438.93,69.51142857142857,0,0
CAIXA,FAR,DISTRATADO/CANCELADO,96,96,17194,0,0,2571371353.09,2158241.14,0.0,0,0
CAIXA,FAR,EM ANDAMENTO,842,842,149478,953,148525,21874550297.82,10934733436.88,51.12991686460808,48,11842
CAIXA,FAR,PARALISADO,26,26,7399,0,7399,550515470.4,344291078.34,60.995,0,0
CAIXA,RURAL,CONCLUÍDO E ENTREGUE,7819,7819,181844,181844,0,5181855813.08,5158226828.65,100.0,0,0
CAIXA,RURAL,DISTRATADO/CANCELADO,6,6,113,0,0,3956000.0,0.0,0.0,0,0
CAIXA,RURAL,EM ANDAMENTO,1752,1752,58502,0,58502,3981683791.97,1986636934.24,39.98934360730594,0,0
CAIXA,RURAL,PARALISADO,59,59,2108,0,2108,66466541.52,45670898.1,56.21542372881356,0,0
