ano,uh_ogu_subsidiado,uh_fgts_financiado,snapshot_date,source_file
2009,287656,515556,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2010,647446,791628,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2011,212968,821336,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2012,748890,828278,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2013,1009768,879318,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2014,356678,891044,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2015,39822,915058,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2016,74608,852102,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2017,45232,883746,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2018,201016,885662,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2019,3000,783024,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2020,0,775804,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2021,0,706888,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2022,0,766732,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2023,0,982418,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2024,227922,1211108,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
2025,41810,773942,2026-08-17,airflow_lappis/dags/dbt/mcid/models/indicadores_mcmv_dbt/docs/evidencias/issue-66-serie-temporal-mcmv-uh-contratadas.csv
