parent,name,displayName,description,synonyms,relatedTerms,references,tags
"","ProgramasHabitacionais","Programas habitacionais","Agrupa programas e linhas de atendimento habitacional presentes nos dados do MCID.","","","",""
"","FundosEFontes","Fundos e fontes de recursos","Agrupa fundos e sistemas de financiamento que originam ou lastreiam recursos habitacionais.","","","",""
"","Atores","Atores","Agrupa órgãos públicos, agentes financeiros e participantes da proposição e execução dos empreendimentos.","","","",""
"","Identificadores","Identificadores e unidades","Agrupa chaves de negócio, códigos territoriais e unidades de contagem usados para integrar os dados.","","","",""
"","ExecucaoDeEmpreendimentos","Execução de empreendimentos","Agrupa conceitos usados para acompanhar a evolução física, financeira e social de empreendimentos habitacionais.","","","",""
"","IndicadoresConjunturais","Indicadores conjunturais","Agrupa medidas de crédito, mercado de trabalho, custos, atividade econômica e mercado imobiliário usadas nas análises conjunturais.","","","",""
"","FontesInstitucionais","Fontes institucionais","Agrupa instituições produtoras ou divulgadoras das fontes empregadas nos modelos conjunturais.","","","",""
"MCID.ProgramasHabitacionais","MCMV","Minha Casa, Minha Vida","Programa habitacional federal Minha Casa, Minha Vida, destinado a ampliar o acesso à moradia e reduzir o déficit habitacional por diferentes linhas de atendimento.","Minha Casa Minha Vida;Programa Minha Casa Minha Vida;PMCMV","MCID.FundosEFontes.FAR;MCID.FundosEFontes.FDS;MCID.FundosEFontes.FGTS","Ministério das Cidades;https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/habitacao/programa-minha-casa-minha-vida",""
"MCID.ProgramasHabitacionais.MCMV","NovoMCMV","Novo MCMV","Denominação usada no repositório para identificar a fase do MCMV recriada pela Lei 14.620 de 2023 e distingui-la das operações legadas.","Novo Minha Casa Minha Vida","","Ministério das Cidades;https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/habitacao/programa-minha-casa-minha-vida",""
"MCID.ProgramasHabitacionais.MCMV","MCMVFAR","MCMV-FAR","Linha de atendimento do MCMV apoiada pelo Fundo de Arrendamento Residencial para produção subsidiada de unidades habitacionais.","Minha Casa Minha Vida FAR;MCMV FAR","MCID.FundosEFontes.FAR;MCID.Atores.AgenteFinanceiro","Ministério das Cidades;https://www.gov.br/cidades/pt-br/assuntos/minha-casa-minha-vida-selecoes/mcmv-far-1",""
"MCID.ProgramasHabitacionais.MCMV","MCMVEntidades","MCMV-Entidades","Linha do MCMV voltada a famílias organizadas de forma associativa por Entidades Organizadoras, com recursos do Fundo de Desenvolvimento Social.","Minha Casa Minha Vida Entidades;MCMV-E;PMCMV-E","MCID.FundosEFontes.FDS;MCID.Atores.EntidadeOrganizadora","Ministério das Cidades;https://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/habitacao/programa-minha-casa-minha-vida/mcmv-entidades-1/sobre-o-mcmv-entidades",""
"MCID.FundosEFontes","FAR","Fundo de Arrendamento Residencial","Fundo de Arrendamento Residencial, fonte de recursos da linha MCMV-FAR acompanhada pelos modelos de empreendimentos.","Fundo de Arrendamento Residencial","MCID.ProgramasHabitacionais.MCMV.MCMVFAR","Ministério das Cidades;https://www.gov.br/cidades/pt-br/assuntos/minha-casa-minha-vida-selecoes/mcmv-far-1",""
"MCID.FundosEFontes","FDS","Fundo de Desenvolvimento Social","Fundo de Desenvolvimento Social, fonte de recursos usada no MCMV-Entidades e acompanhada nos modelos de entidades.","Fundo de Desenvolvimento Social","MCID.ProgramasHabitacionais.MCMV.MCMVEntidades","Ministério das Cidades;https://www.gov.br/cidades/pt-br/composicao/orgaos-colegiados/conselho-curador-do-fundo-de-desenvolvimento-social",""
"MCID.FundosEFontes","FGTS","Fundo de Garantia do Tempo de Serviço","Fundo de Garantia do Tempo de Serviço enquanto fonte de recursos para financiamento habitacional nas séries conjunturais.","Fundo de Garantia do Tempo de Serviço","MCID.IndicadoresConjunturais.FinanciamentoHabitacional","CAIXA;https://www.caixa.gov.br/voce/habitacao/Paginas/utilizacao-fgts.aspx",""
"MCID.FundosEFontes","SBPE","Sistema Brasileiro de Poupança e Empréstimo","Sistema Brasileiro de Poupança e Empréstimo, que direciona recursos captados em depósitos de poupança ao financiamento imobiliário.","Sistema Brasileiro de Poupança e Empréstimo","MCID.IndicadoresConjunturais.CaptacaoLiquida;MCID.IndicadoresConjunturais.FinanciamentoHabitacional","Banco Central do Brasil;https://www.bcb.gov.br/estabilidadefinanceira/associacaopoupancaemprestimo",""
"MCID.Atores","MinisterioDasCidades","Ministério das Cidades","Órgão federal responsável pelas políticas nacionais de desenvolvimento urbano, incluindo a política habitacional e o MCMV.","MCID;Ministério das Cidades","MCID.ProgramasHabitacionais.MCMV","Ministério das Cidades;https://www.gov.br/cidades/pt-br",""
"MCID.Atores","EntidadeOrganizadora","Entidade Organizadora","Pessoa jurídica sem fins lucrativos que organiza e representa o grupo de beneficiários no MCMV-Entidades e responde por atribuições da operação.","EO;Entidade Organizadora","MCID.ProgramasHabitacionais.MCMV.MCMVEntidades","Ministério das Cidades;https://www.gov.br/cidades/pt-br/acesso-a-informacao/institucional/base-juridica/portarias/copy_of_SEI_MIDR5592649Portaria.pdf",""
"MCID.Atores","AgenteFinanceiro","Agente financeiro","Instituição que contrata, acompanha ou operacionaliza a operação habitacional conforme a linha do programa e a fonte de recursos.","Instituição financeira","MCID.Atores.CAIXA","",""
