"tabela","hash_estrutura_md5","linhas_estimadas","tamanho_total","tamanho_tabela","tamanho_indices","tamanho_toast","qtd_colunas","comentario","tuplas_vivas","tuplas_mortas","last_vacuum","last_autovacuum","last_analyze","last_autoanalyze"
gefus_anteriores_base_pf_fgts_20250907,"1c51ca34fa438d18b76c61b793e2bd56",10207071,"2497 MB","2497 MB","0 bytes","8192 bytes",27,,10312703,0,,2026-06-30 08:43:47.985 -0300,,2026-06-30 08:43:49.871 -0300
gefus_anteriores_base_pf_fgts_20250807,"1c51ca34fa438d18b76c61b793e2bd56",9403093,"2480 MB","2480 MB","0 bytes","8192 bytes",27,,10253921,0,,2026-06-30 07:58:45.783 -0300,,2026-06-30 07:58:47.683 -0300
gefus_anteriores_base_pf_fgts_20250707,"1c51ca34fa438d18b76c61b793e2bd56",10198555,"2467 MB","2466 MB","0 bytes","8192 bytes",27,,10198555,0,,2026-06-30 07:19:25.336 -0300,,2026-06-30 07:23:12.490 -0300
gefus_anteriores_base_pf_fgts_20250607,"1c51ca34fa438d18b76c61b793e2bd56",9795198,"2454 MB","2453 MB","0 bytes","8192 bytes",27,,10142461,0,,2026-06-30 06:39:20.485 -0300,,2026-06-30 06:43:11.648 -0300
gefus_anteriores_base_pf_fgts_20250507,"1c51ca34fa438d18b76c61b793e2bd56",9798220,"2440 MB","2439 MB","0 bytes","8192 bytes",27,,10090131,0,,2026-06-30 06:02:21.309 -0300,,2026-06-30 06:06:10.831 -0300
gefus_anteriores_base_pf_fgts_20250407,"1c51ca34fa438d18b76c61b793e2bd56",9399467,"2426 MB","2425 MB","0 bytes","8192 bytes",27,,10040291,0,,2026-06-30 05:25:21.261 -0300,,2026-06-30 05:29:10.237 -0300
gefus_anteriores_base_pf_fgts_20250307,"1c51ca34fa438d18b76c61b793e2bd56",10002711,"2413 MB","2412 MB","0 bytes","8192 bytes",27,,10002711,0,,2026-06-30 04:54:21.052 -0300,,2026-06-30 04:56:09.656 -0300
gefus_anteriores_base_pf_fgts_20250207,"1c51ca34fa438d18b76c61b793e2bd56",9200314,"2397 MB","2397 MB","0 bytes","8192 bytes",27,,9922174,0,,2026-06-30 04:13:18.595 -0300,,2026-06-30 04:17:08.895 -0300
gefus_anteriores_base_pf_fgts_20250107,"1c51ca34fa438d18b76c61b793e2bd56",9393723,"2394 MB","2394 MB","0 bytes","8192 bytes",27,,9906807,0,,2026-06-30 03:36:57.090 -0300,,2026-06-30 03:40:48.542 -0300
gefus_anteriores_base_pf_fgts_20241207,"1c51ca34fa438d18b76c61b793e2bd56",9001012,"2380 MB","2380 MB","0 bytes","8192 bytes",27,,9867971,0,,2026-06-30 03:03:40.887 -0300,,2026-06-30 03:03:42.733 -0300
gefus_anteriores_base_pf_fgts_20241107,"1c51ca34fa438d18b76c61b793e2bd56",9600457,"2369 MB","2368 MB","0 bytes","8192 bytes",27,,9820329,0,,2026-06-30 02:28:39.190 -0300,,2026-06-30 02:28:41.165 -0300
gefus_anteriores_base_pf_fgts_20241007,"1c51ca34fa438d18b76c61b793e2bd56",9778333,"2358 MB","2357 MB","0 bytes","8192 bytes",27,,9778333,0,,2026-06-30 01:48:16.189 -0300,,2026-06-30 01:54:06.914 -0300
gefus_anteriores_base_pf_fgts_20240907,"1c51ca34fa438d18b76c61b793e2bd56",9731839,"2348 MB","2347 MB","0 bytes","8192 bytes",27,,9731839,0,,2026-06-30 01:16:18.738 -0300,,2026-06-30 01:17:05.237 -0300
gefus_anteriores_base_pf_fgts_20240807,"1c51ca34fa438d18b76c61b793e2bd56",9003170,"2332 MB","2332 MB","0 bytes","8192 bytes",27,,9672934,0,,2026-06-30 00:36:17.893 -0300,,2026-06-30 00:38:04.670 -0300
gefus_anteriores_base_pf_fgts_20240707,"1c51ca34fa438d18b76c61b793e2bd56",9203382,"2317 MB","2316 MB","0 bytes","8192 bytes",27,,9623279,0,,2026-06-30 00:00:14.607 -0300,,2026-06-30 00:04:04.637 -0300
gefus_anteriores_base_pf_fgts_20240607,"1c51ca34fa438d18b76c61b793e2bd56",9562281,"2303 MB","2302 MB","0 bytes","8192 bytes",27,,9562281,0,,2026-06-29 23:26:14.403 -0300,,2026-06-29 23:30:04.173 -0300
gefus_anteriores_base_pf_fgts_20240507,"1c51ca34fa438d18b76c61b793e2bd56",9257724,"2288 MB","2287 MB","0 bytes","8192 bytes",27,,9257724,0,,2026-06-29 22:55:15.828 -0300,,2026-06-29 22:53:03.482 -0300
gefus_anteriores_base_pf_fgts_20240307,"1c51ca34fa438d18b76c61b793e2bd56",8597804,"2256 MB","2255 MB","0 bytes","8192 bytes",27,,9397341,0,,2026-06-29 22:16:13.222 -0300,,2026-06-29 22:18:02.430 -0300
gefus_anteriores_base_pf_fgts_20240207,"1c51ca34fa438d18b76c61b793e2bd56",9346246,"2245 MB","2244 MB","0 bytes","8192 bytes",27,,9346246,0,,2026-06-29 21:42:13.085 -0300,,2026-06-29 21:46:02.395 -0300
