"table_name","formacao","confidence","notes"
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",cabecalho_composto_1,high,""
"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",sub_tabelas_1,high,""
"001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia",sub_tabelas_1,high,""
"001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201",sub_tabelas_1,high,""
"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201",bem_formada,high,""
"001_2012_10_outubro_20121009_bases_relatório_executivo_1610201",bem_formada,high,""
"001_2012_10_outubro_20121009_pmcmv_relatório_executivo_0910201",sub_tabelas_1,high,""
"001_2014_12_dezembro_rel_executivo_resumo_31122014_reprocessado",sub_tabelas_1,high,""
"011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi",bem_formada,high,""
"018_int040_ministeriocidades_far_caixa_empreendimentos_20181001",bem_formada,medium,inconsistência de tipos entre colunas
"01_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_2012",sub_tabelas_1,high,""
"01_2012_05_maio_pmcmv_relatorio_executivo_31_05_2012__version_1",sub_tabelas_1,high,""
"01_2012_06_junho_pmcmv_relatorio_executivo_15_06_2012_corrigido",sub_tabelas_1,high,""
"01_2012_10_outubro_20121009_bases_relatório_executivo_09102012",bem_formada,high,""
"01_2012_10_outubro_20121009_bases_relatório_executivo_16102012",bem_formada,high,""
"01_2012_10_outubro_20121009_pmcmv_relatório_executivo_09102012",sub_tabelas_1,high,""
"024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"11_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópia",bem_formada,high,""
"1_2012_04_abril_2012_04_18_pmcmv_relatorio_executivo_18_04_2012",sub_tabelas_1,high,""
"1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831",bem_formada,high,""
"202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202509_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202510_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202511_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202512_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202601_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
"202602_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb",bem_formada,high,""
