tabela,coluna,regra
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,unidade_da_federacao,nao_nulos
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,empr_contratados,nao_nulos
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,empr_concluidos,nao_nulos
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,empr_entregues,nao_nulos
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,report_date,negocio
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,report_date,nao_nulos
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,uf,nao_nulos
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,municipio,nao_nulos
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,nomeempreendimento,nao_nulos
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,produto,nao_nulos
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,faixa,nao_nulos
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,unidades,nao_nulos
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,valor,nao_nulos
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,contratado,nao_nulos
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,proposta_em_negociacao,nao_nulos
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,report_date,negocio
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,report_date,nao_nulos
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,recorte_tipo,nao_nulos
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,recorte_valor,nao_nulos
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,data_referencia,nao_nulos
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,valor,nao_nulos
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,report_date,negocio
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,report_date,nao_nulos
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,regiao,nao_nulos
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,uf,nao_nulos
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,codibge,nao_nulos
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,nomemunicipio,nao_nulos
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,siaci_nome_do_produto_pf,nao_nulos
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,renda_sm,nao_nulos
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,uh,nao_nulos
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,valor,nao_nulos
