tabela,nome_negocio,frente,instituicao,periodo_inicio,periodo_fim,fonte,chaves,responsavel,modelo_carga
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,001 previsão de conclusão e entrega far modelo,,unknown,,,sftp,,,
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,001 base pmcmv relatorio executivo 02 2012,,unknown,2009-04-01,2009-06-01,sftp,,,
001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia,001 pmcmv relatorio executivo 03 2012 cópia,,,2012-03-01,,sftp,,,
001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201,001 cópia de pmcmv relatorio executivo 04 201,,,2012-04-01,,sftp,,,
001_2012_10_outubro_20121009_bases_relatório_executivo_0910201,001 bases relatório executivo 1,"CCFGTS, FDS, FGTS, Rural",unknown,2009-04-17,2014-09-07,sftp,codmunicibge;idregistro;codapf;nomeempreendimento;endereco_do_empreendimento,,
001_2012_10_outubro_20121009_bases_relatório_executivo_1610201,001 bases relatório executivo 1,"CCFGTS, FDS, FGTS, Rural",unknown,2009-04-17,2014-09-07,sftp,codmunicibge;idregistro;codapf;nomeempreendimento;endereco_do_empreendimento,,
001_2012_10_outubro_20121009_pmcmv_relatório_executivo_0910201,001 pmcmv relatório executivo 1,,,2012-10-01,,sftp,,,
001_2014_12_dezembro_rel_executivo_resumo_31122014_reprocessado,001 rel executivo resumo reprocessado,,,2014-12-01,,sftp,,,
011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi,011 pmcmv relatorio executivo base cópi,"CCFGTS, FAR, FDS, FGTS, Rural",unknown,,,sftp,nomeempreendimento,,
018_int040_ministeriocidades_far_caixa_empreendimentos_20181001,018 int040 empreendimentos,FAR,caixa,2007-06-20,2018-10-01,sftp,cod_agente_financeiro;cod_municipio_ibge;nu_apf;no_empreendimento;cod_pendencia_obra;cod_situacao_contrato_pj;cod_regime_execucao;cod_tipo_contrato,,
01_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_2012,01 cópia de pmcmv relatorio executivo 04 2012,,,2012-04-01,,sftp,,,
01_2012_05_maio_pmcmv_relatorio_executivo_31_05_2012__version_1,01 pmcmv relatorio executivo 05 2012 version 1,,,2012-05-01,,sftp,,,
01_2012_06_junho_pmcmv_relatorio_executivo_15_06_2012_corrigido,01 pmcmv relatorio executivo 06 2012 corrigido,,,2012-06-01,,sftp,,,
01_2012_10_outubro_20121009_bases_relatório_executivo_09102012,01 bases relatório executivo,,,2012-10-01,,sftp,codmunicibge;idregistro;codapf;nomeempreendimento;endereco_do_empreendimento,,
01_2012_10_outubro_20121009_bases_relatório_executivo_16102012,01 bases relatório executivo,,,2012-10-01,,sftp,codmunicibge;idregistro;codapf;nomeempreendimento;endereco_do_empreendimento,,
01_2012_10_outubro_20121009_pmcmv_relatório_executivo_09102012,01 pmcmv relatório executivo,,,2012-10-01,,sftp,,,
024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,024 pmcmv dados prioritarios da entrega da unidade af bb,FAR,unknown,2014-02-10,2024-10-31,sftp,apf,,
11_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópia,11 pmcmv relatorio executivo base cópia,,,,,sftp,nomeempreendimento,,
1_2012_04_abril_2012_04_18_pmcmv_relatorio_executivo_18_04_2012,1 pmcmv relatorio executivo 04 2012,,,2012-04-01,,sftp,,,
1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831,1 2018 int054 empreendimentos,FAR,unknown,2012-04-09,2018-08-31,sftp,cod_agente_financeiro;nu_apf;no_empreendimento;nu_empreendimento,,
202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,pmcmv dados prioritarios da entrega da unidade af bb,FAR,unknown,2014-02-10,2025-02-28,sftp,apf,,
202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,pmcmv dados prioritarios da entrega da unidade af bb,FAR,unknown,2014-02-10,2024-06-30,sftp,apf,,
202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,pmcmv dados prioritarios da entrega da unidade af bb,FAR,unknown,2014-02-10,2024-07-31,sftp,apf,,
202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,pmcmv dados prioritarios da entrega da unidade af bb,FAR,unknown,2014-02-10,2024-08-31,sftp,apf,,
202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,pmcmv dados prioritarios da entrega da unidade af bb,FAR,unknown,2014-02-10,2024-09-30,sftp,apf,,
202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,pmcmv dados prioritarios da entrega da unidade af bb,FAR,unknown,2014-02-10,2024-11-29,sftp,apf,,
202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,pmcmv dados prioritarios da entrega da unidade af bb,FAR,unknown,2014-02-10,2024-12-31,sftp,apf,,
202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,pmcmv dados prioritarios da entrega da unidade af bb,FAR,unknown,2023-03-08,2025-01-31,sftp,apf,,
