tabela,familia,variante,modelo_carga,evidencia
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,,full_refresh,classificacao=versao_unica; trajetoria=76; fonte_contagem=exato_count_star; nome_periodo=YYYY:2011
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02,,full_refresh,classificacao=versao_unica; trajetoria=536; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia,2012_03_marco_pmcmv_relatorio_executivo_27_03_2012_cópia,,full_refresh,classificacao=versao_unica; trajetoria=536; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201,2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201,,full_refresh,classificacao=versao_unica; trajetoria=536; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
001_2012_10_outubro_20121009_bases_relatório_executivo_0910201,2012_10_outubro_20121009_bases_relatório_executivo_0910201,,full_refresh,classificacao=versao_unica; trajetoria=18244; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
001_2012_10_outubro_20121009_bases_relatório_executivo_1610201,2012_10_outubro_20121009_bases_relatório_executivo_1610201,,full_refresh,classificacao=versao_unica; trajetoria=18352; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
001_2012_10_outubro_20121009_pmcmv_relatório_executivo_0910201,2012_10_outubro_20121009_pmcmv_relatório_executivo_0910201,,full_refresh,classificacao=versao_unica; trajetoria=536; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
001_2014_12_dezembro_rel_executivo_resumo_31122014_reprocessado,2014_12_dezembro_rel_executivo_resumo_31122014_reprocessado,,full_refresh,classificacao=versao_unica; trajetoria=536; fonte_contagem=exato_count_star; nome_periodo=YYYY:2014
011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi,12_dezembro_pmcmv_relatorio_executivo_31122011_base_cópi,,full_refresh,classificacao=versao_unica; trajetoria=7032; fonte_contagem=exato_count_star
018_int040_ministeriocidades_far_caixa_empreendimentos_20181001,int040_ministeriocidades_far_caixa_empreendimentos,,full_refresh,classificacao=versao_unica; trajetoria=8224; fonte_contagem=exato_count_star
01_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_2012,2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04,,full_refresh,classificacao=versao_unica; trajetoria=536; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
01_2012_05_maio_pmcmv_relatorio_executivo_31_05_2012__version_1,2012_05_maio_pmcmv_relatorio_executivo_31_05_2012_version_1,,full_refresh,classificacao=versao_unica; trajetoria=536; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
01_2012_06_junho_pmcmv_relatorio_executivo_15_06_2012_corrigido,2012_06_junho_pmcmv_relatorio_executivo_15_06_2012_corrigido,,full_refresh,classificacao=versao_unica; trajetoria=536; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
01_2012_10_outubro_20121009_bases_relatório_executivo_09102012,2012_10_outubro_20121009_bases_relatório_executivo,,full_refresh,classificacao=crescimento_nao_consistente_com_append; trajetoria=18244->18352; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
01_2012_10_outubro_20121009_bases_relatório_executivo_16102012,2012_10_outubro_20121009_bases_relatório_executivo,,full_refresh,classificacao=crescimento_nao_consistente_com_append; trajetoria=18244->18352; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
01_2012_10_outubro_20121009_pmcmv_relatório_executivo_09102012,2012_10_outubro_20121009_pmcmv_relatório_executivo,,full_refresh,classificacao=versao_unica; trajetoria=536; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,10_snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=versao_unica; trajetoria=11724; fonte_contagem=exato_count_star
11_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópia,12_dezembro_pmcmv_relatorio_executivo_31122011_base_cópia,,full_refresh,classificacao=versao_unica; trajetoria=7032; fonte_contagem=exato_count_star
1_2012_04_abril_2012_04_18_pmcmv_relatorio_executivo_18_04_2012,2012_04_abril_2012_04_18_pmcmv_relatorio_executivo_18_04,,full_refresh,classificacao=versao_unica; trajetoria=536; fonte_contagem=exato_count_star; nome_periodo=YYYY:2012
1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831,2018_int054_ministeriocidades_far_bb_empreendimentos,,full_refresh,classificacao=versao_unica; trajetoria=404; fonte_contagem=exato_count_star; nome_periodo=YYYY:2018
202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202402
202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202406
202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202407
202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202408
202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202409
202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202411
202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202412
202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202501
202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202503
202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202504
202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202505
202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202506
202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202507
202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,snh_pmcmv_dados_prioritarios|af_bb|entrega_unidade,af_bb|entrega_unidade,full_refresh,classificacao=nao_monotona(flutua_ou_constante); trajetoria=11818->11654->11666->11676->11702->11740->11762->11790->11836->11850->11856->11860->11868->11870->11878->11882->11884->11884->11884->11898->11906; fonte_contagem=exato_count_star; nome_periodo=YYYYMM:202508
