tabela,servico,modelo_carga
documentos_habeis_especiais,transferegov_emendas,indeterminado
empenhos_especiais,transferegov_emendas,indeterminado
executor_especial,transferegov_emendas,indeterminado
finalidades_especiais,transferegov_emendas,indeterminado
historico_pagamentos_especiais,transferegov_emendas,indeterminado
metas_especiais,transferegov_emendas,indeterminado
notas_de_credito,transfere_gov,indeterminado
ordens_bancarias_especiais,transferegov_emendas,indeterminado
plano_trabalho_especial,transferegov_emendas,indeterminado
planos_acao,transfere_gov,indeterminado
planos_acao_especiais,transferegov_emendas,indeterminado
programacao_financeira,transfere_gov,indeterminado
programas,transfere_gov,indeterminado
programas_especiais,transferegov_emendas,indeterminado
relatorio_gestao_especial,transferegov_emendas,indeterminado
relatorios_gestao_novo_especial,transferegov_emendas,indeterminado
