"table_name","column_name","data_type"
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_0,double precision
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_1,double precision
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_2,double precision
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",tabela_1__distribuição_pmcmvfar_por_uf,text
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_4,text
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_5,text
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_6,text
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_7,text
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_8,text
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_9,text
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_10,text
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_11,text
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_12,text
"001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo",unnamed_13,text
"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",unnamed_0,text
"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012","20090401_000000",text
"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012","20090501_000000",text
"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012","20090601_000000",text
"001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia",unnamed_0,text
"001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia","20090401_000000",text
"001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia","20090501_000000",text
"001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia","20090601_000000",text
"001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201",unnamed_0,text
"001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201","20090401_000000",text
"001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201","20090501_000000",text
"001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201","20090601_000000",text
"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201",uf,text
"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201",codmunicibge,bigint
"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201",municipio,text
"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201",recortes_territoriais,text
"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201",produto,text
"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201",faixa,text
"001_2012_10_outubro_20121009_bases_relatório_executivo_0910201",faixa_divisao,text
