tabela,coluna,tipo,descricao,dominio,fonte,obrigatorio,pct_completude
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,unidade_da_federacao,string,unidade federativa,localização,sftp,True,97.18
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,empr_contratados,string,,,sftp,True,95.77
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,uh_contratados,string,,,sftp,False,94.37
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,empr_concluidos,string,situação/status da obra,status,sftp,True,95.77
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,uh_concluidos,string,situação/status da obra,status,sftp,False,94.37
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,empr_entregues,string,,,sftp,True,95.77
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,uh_entregues,string,,,sftp,False,94.37
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,empr_previsao_de_conclusao_ate_dez_2011,string,,,sftp,False,90.14
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,uh_previsao_de_conclusao_ate_dez_2011,string,,,sftp,False,90.14
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,empr_previsao_de_entrega_ate_dez_2011,string,,,sftp,False,90.14
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,uh_previsao_de_entrega_ate_dez_2011,string,,,sftp,False,90.14
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,report_date,datetime,data de referência do relatório,,sftp,True,100.0
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,uf,string,unidade federativa,,sftp,True,100.0
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,municipio,string,município,localização,sftp,True,100.0
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,nomeempreendimento,string,empreendimento,identificador,sftp,True,100.0
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,produto,string,programa/produto,,sftp,True,100.0
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,faixa,string,programa/produto,,sftp,True,100.0
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,unidades,integer,quantidade de unidades,,sftp,True,100.0
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,valor,float,valor,,sftp,True,100.0
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,contratado,string,,,sftp,True,100.0
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,proposta_em_negociacao,string,,,sftp,True,100.0
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,report_date,datetime,data de referência do relatório,,sftp,True,100.0
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,recorte_tipo,string,,,sftp,True,100.0
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,recorte_valor,float,valor,,sftp,True,100.0
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,data_referencia,datetime,data,,sftp,True,100.0
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,valor,float,valor,,sftp,True,100.0
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,report_date,datetime,data de referência do relatório,,sftp,True,100.0
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,regiao,string,,,sftp,True,100.0
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,uf,string,unidade federativa,,sftp,True,100.0
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,codibge,integer,código IBGE,,sftp,True,100.0
_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,nomemunicipio,string,município,localização,sftp,True,100.0
