"table_name","canonical_table","n_rows_orig","n_rows_canonical","is_pipe","row_count_match"
"gefus_anteriores_202310_int021_ministeriocidades_far_bb_p","gefus_anteriores_202310_int021_ministeriocidades_far_bb_p",121489,121489,"False",""
"gefus_anteriores_202310_int039_ministeriocidades_far_caix","gefus_anteriores_202310_int039_ministeriocidades_far_caix",1122296,1122296,"False",""
"gefus_anteriores_202310_int042_ministeriocidades_fds_caix","gefus_anteriores_202310_int042_ministeriocidades_fds_caix",42542,42542,"False",""
"gefus_anteriores_202310_int054_ministeriocidades_far_bb_e","gefus_anteriores_202310_int054_ministeriocidades_far_bb_e",201,201,"False",""
"gefus_anteriores_202310_int057_ministeriocidades_pnhr_bb_","gefus_anteriores_202310_int057_ministeriocidades_pnhr_bb_",1087,1087,"False",""
"gefus_anteriores_202310_int058_ministeriocidades_pnhr_bb_","gefus_anteriores_202310_int058_ministeriocidades_pnhr_bb_",20164,20164,"False",""
"gefus_anteriores_202310_int059_ministeriocidades_fds_caix","gefus_anteriores_202310_int059_ministeriocidades_fds_caix",551,551,"False",""
"gefus_anteriores_202310_int064_ministeriocidades_pnhr_cai","gefus_anteriores_202310_int064_ministeriocidades_pnhr_cai",195268,195268,"False",""
"gefus_anteriores_202310_int065_ministeriocidades_pnhr_cai","gefus_anteriores_202310_int065_ministeriocidades_pnhr_cai",8466,8466,"False",""
"gefus_anteriores_202311_int021_ministeriocidades_far_bb_p","gefus_anteriores_202311_int021_ministeriocidades_far_bb_p",121495,121495,"False",""
"gefus_anteriores_202311_int039_ministeriocidades_far_caix","gefus_anteriores_202311_int039_ministeriocidades_far_caix",1023537,1023537,"False",""
"gefus_anteriores_202311_int042_ministeriocidades_fds_caix","gefus_anteriores_202311_int042_ministeriocidades_fds_caix",42962,42962,"False",""
"gefus_anteriores_202311_int054_ministeriocidades_far_bb_e","gefus_anteriores_202311_int054_ministeriocidades_far_bb_e",200,200,"False",""
"gefus_anteriores_202311_int057_ministeriocidades_pnhr_bb_","gefus_anteriores_202311_int057_ministeriocidades_pnhr_bb_",1087,1087,"False",""
"gefus_anteriores_202311_int058_ministeriocidades_pnhr_bb_","gefus_anteriores_202311_int058_ministeriocidades_pnhr_bb_",20164,20164,"False",""
"gefus_anteriores_202311_int059_ministeriocidades_fds_caix","gefus_anteriores_202311_int059_ministeriocidades_fds_caix",551,551,"False",""
"gefus_anteriores_202311_int064_ministeriocidades_pnhr_cai","gefus_anteriores_202311_int064_ministeriocidades_pnhr_cai",195268,195268,"False",""
"gefus_anteriores_202311_int065_ministeriocidades_pnhr_cai","gefus_anteriores_202311_int065_ministeriocidades_pnhr_cai",8466,8466,"False",""
"gefus_anteriores_202312_caixa_int039_ministeriocidades_fa","gefus_anteriores_202312_caixa_int039_ministeriocidades_fa",1144208,1144208,"False",""
"gefus_anteriores_202312_caixa_int040_ministeriocidades_fa","gefus_anteriores_202312_caixa_int040_ministeriocidades_fa",10,10,"False",""
"gefus_anteriores_202312_caixa_int042_ministeriocidades_fd","gefus_anteriores_202312_caixa_int042_ministeriocidades_fd",43255,43255,"False",""
"gefus_anteriores_202312_caixa_int064_ministeriocidades_pn","gefus_anteriores_202312_caixa_int064_ministeriocidades_pn",195267,195267,"False",""
"gefus_anteriores_202312_caixa_int065_ministeriocidades_pn","gefus_anteriores_202312_caixa_int065_ministeriocidades_pn",8466,8466,"False",""
"gefus_anteriores_202402_snh_pmcmv_dados_prioritarios_da_en","gefus_anteriores_202402_snh_pmcmv_dados_prioritarios_da_en",5909,5909,"False",""
"gefus_anteriores_202402_snh_pmcmv_dados_prioritarios_da_en_0001","gefus_anteriores_202402_snh_pmcmv_dados_prioritarios_da_en_0001",5909,5909,"False",""
"gefus_anteriores_202406_snh_pmcmv_dados_prioritarios_af_bb","gefus_anteriores_202406_snh_pmcmv_dados_prioritarios_af_bb",1288,1288,"False",""
"gefus_anteriores_202406_snh_pmcmv_dados_prioritarios_af_ca","gefus_anteriores_202406_snh_pmcmv_dados_prioritarios_af_ca",11283,11283,"False",""
"gefus_anteriores_202406_snh_pmcmv_dados_prioritarios_af_ca_0001","gefus_anteriores_202406_snh_pmcmv_dados_prioritarios_af_ca_0001",12196,12196,"False",""
"gefus_anteriores_202406_snh_pmcmv_dados_prioritarios_da_en","gefus_anteriores_202406_snh_pmcmv_dados_prioritarios_da_en",5827,5827,"False",""
"gefus_anteriores_202407_snh_pmcmv_dados_prioritarios_af_ca","gefus_anteriores_202407_snh_pmcmv_dados_prioritarios_af_ca",11292,11292,"False",""
"gefus_anteriores_202407_snh_pmcmv_dados_prioritarios_af_ca_0001","gefus_anteriores_202407_snh_pmcmv_dados_prioritarios_af_ca_0001",12226,12226,"False",""
"gefus_anteriores_202407_snh_pmcmv_dados_prioritarios_da_en","gefus_anteriores_202407_snh_pmcmv_dados_prioritarios_da_en",5833,5833,"False",""
"gefus_anteriores_202408_snh_pmcmv_dados_prioritarios_af_ca","gefus_anteriores_202408_snh_pmcmv_dados_prioritarios_af_ca",11302,11302,"False",""
"gefus_anteriores_202408_snh_pmcmv_dados_prioritarios_af_ca_0001","gefus_anteriores_202408_snh_pmcmv_dados_prioritarios_af_ca_0001",12226,12226,"False",""
"gefus_anteriores_202408_snh_pmcmv_dados_prioritarios_da_en","gefus_anteriores_202408_snh_pmcmv_dados_prioritarios_da_en",5838,5838,"False",""
"gefus_anteriores_202409_snh_pmcmv_dados_prioritarios_af_ca","gefus_anteriores_202409_snh_pmcmv_dados_prioritarios_af_ca",11382,11382,"False",""
"gefus_anteriores_202409_snh_pmcmv_dados_prioritarios_af_ca_0001","gefus_anteriores_202409_snh_pmcmv_dados_prioritarios_af_ca_0001",12461,12461,"False",""
