coluna,tipo_inferido,amostra_1,amostra_2,amostra_3
texto_0,text,FAR,FAR,FAR
data_1,date,2023-12-28,2023-12-28,2023-12-28
numero_2,number,104,104,104
numero_3,number,5201405,3303302,3304557
data_4,date,16517361,18283735,19095100
texto_5,text,RES AGUAS CLARAS                                            ,VARZEA DAS M,VIVENDAS DAS AND
texto_6,text,C,"CAS I, RESIDENCIAL                             ",RINHAS                                     
texto_7,text,NCLUIDA_C,VENDID,VENDID
texto_8,text,M_VLR_A_LIBERAR,_RJ,_RJ
data_9,date,2009-08-05,2007-07-23,2007-06-22
data_10,date,2009-08-05,2007-07-23,2007-06-21
data_11,date,2023-04-14,2011-09-26,2017-12-05
data_12,date,2010-12-07,2010-05-07,2011-02-24
texto_13,text,2010-12-07 00:00:00,2010-05-07 00:00:00,2011-02-24 00:00:00
data_14,date,2010-12-03,2010-05-06,2011-02-23
data_15,date,2011-05-20,2010-05-06,2020-01-09
numero_16,number,"100,00","100,00","100,00"
texto_17,text,"13.898.046,25","3.718.976,30","8.480.000,00"
texto_18,text,"13.898.046,25","3.718.976,30","8.480.000,00"
texto_19,text,"14.041.106,10","3.695.828,56","8.539.782,25"
numero_20,number,336,93,212
numero_21,number,336,93,212
numero_22,number,0,0,0
numero_23,number,336,93,212
texto_24,text,ENGIL ENG E INDUSTRIAS LTDA,BR4 - EMPREENDIMENT,C
texto_25,text,1540350000103,S E PARTICIPAC,NSTRUT
texto_26,text,TERREN,ES LTDA.,RA MELL
texto_27,text, E SERVIC,843118000181, DE AZEVED
texto_28,text,                       ,, S/A
numero_29,number,,,17154899000108
texto_30,text,,,
numero_31,number,0,0,
texto_32,text,N,N,
texto_33,text,RMAL,RMAL,0
texto_34,text,,,N
texto_35,text,,,RMAL
texto_36,text,,,
texto_37,text,APARTAMENT,,
texto_38,text,                             ,,
numero_39,number,,1,APARTAMENT
numero_40,number,1,FAR Empresas,                             
texto_41,text,FAR Empresas,"3.402.604,52",
texto_42,text,"13.763.677,69","275.000,00",1
texto_43,text,"0,00","18.224,04",FAR Empresas
texto_44,text,"66.099,59","0,00","8.086.632,24"
texto_45,text,"211.328,82",,"310.000,00"
texto_46,text,,,"82.048,29"
texto_47,text,,,"61.101,72"
texto_48,text,,",00",
numero_49,number,",00",26,
numero_50,number,23,PMCMV - TRANSFERID,
texto_51,text,PMCMV - AQUISICA,S D,",00"
texto_52,text, DE UNID PLANTA C/APCI, PAR ,26
texto_53,text,G,RJ,PMCMV - TRANSFERID
texto_54,text,,NITER,S D
texto_55,text,APARECIDA DE G,I                             , PAR 
texto_56,text,IANIA                ,VARZEA DAS M,RJ
texto_57,text,MUNICIPI,CAS - NITER,RI
texto_58,text, DE APARECIDA DE G,I                                  , DE JANEIR
texto_59,text,IANIA                           ,"ESTRADA VELHA DE MARICA, L",                      
texto_60,text,AV BRASIL C/PRIMAVERA C/ C,TE 10-B - NITER,C
texto_61,text,"PACABANA APM 03, JD BEL",I - RJ           ,SM
texto_62,text, H,24140000,"S , CAMP"
texto_63,text,RIZ,2026-06-30T13:53:09.265064, GRANDE                                       
texto_64,text,NT,/home/fabrica/GEFUS/ANTERIORES/202312_CAIXA.zip,RUA DAS AMEND
texto_65,text,74976020,EIRAS L, GRANDE - RJ                                           
texto_66,text,2026-06-30T13:53:09.265064,TE 31 QUADRA D PAL 13020              ,L
texto_67,text,/home/fabrica/GEFUS/ANTERIORES/202312_CAIXA.zip,23056620,TE 3 D
texto_68,text,2026-06-30T13:53:09.265064, PAL 47.086 - ESTRADA D, DE MEL
texto_69,text,/home/fabrica/GEFUS/ANTERIORES/202312_CAIXA.zip,S CABL,                 
texto_70,text,C,23056070,S                  
texto_71,text,S                 ,2026-06-30T13:53:09.265064,23056070
texto_72,text,23056070,/home/fabrica/GEFUS/ANTERIORES/202312_CAIXA.zip,2026-06-30T13:53:09.265064
texto_73,text,2026-06-30T13:53:09.265064,/home/fabrica/GEFUS/ANTERIORES/202312_CAIXA.zip,/home/fabrica/GEFUS/ANTERIORES/202312_CAIXA.zip
texto_74,text,/home/fabrica/GEFUS/ANTERIORES/202312_CAIXA.zip,,
