tabela_sftp,tabela_dump,coluna,tipo_validacao,resultado,observacao
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,agente_financeiro,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,agente_financeiro,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,apf,tipo_dado,validado,ambos numérico
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,apf,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,data_de_movimento,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,data_de_movimento,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,dt_ass_doc,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,dt_ass_doc,cardinalidade,validado,SFTP: 100.0% distintos (5 valores); Dump: 100.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,número_de_unidades_entregues,tipo_dado,validado,ambos numérico
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,número_de_unidades_entregues,cardinalidade,validado,SFTP: 80.0% distintos (5 valores); Dump: 80.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,agente_financeiro,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,agente_financeiro,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,apf,tipo_dado,validado,ambos numérico
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,apf,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,data_de_movimento,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,data_de_movimento,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,dt_ass_doc,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,dt_ass_doc,cardinalidade,validado,SFTP: 100.0% distintos (5 valores); Dump: 100.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,número_de_unidades_entregues,tipo_dado,validado,ambos numérico
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,número_de_unidades_entregues,cardinalidade,validado,SFTP: 80.0% distintos (5 valores); Dump: 80.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,agente_financeiro,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,agente_financeiro,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,apf,tipo_dado,validado,ambos numérico
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,apf,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,data_de_movimento,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,data_de_movimento,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,dt_ass_doc,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,dt_ass_doc,cardinalidade,validado,SFTP: 100.0% distintos (5 valores); Dump: 100.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,número_de_unidades_entregues,tipo_dado,validado,ambos numérico
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,número_de_unidades_entregues,cardinalidade,validado,SFTP: 80.0% distintos (5 valores); Dump: 80.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,agente_financeiro,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,agente_financeiro,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,apf,tipo_dado,validado,ambos numérico
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,apf,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,data_de_movimento,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,data_de_movimento,cardinalidade,validado,SFTP: 20.0% distintos (5 valores); Dump: 20.0% distintos (5 valores)
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,dt_ass_doc,tipo_dado,validado,ambos texto
gefus_202601_snh_pmcmv_dados_prioritarios_da_entrega_da_un,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,dt_ass_doc,cardinalidade,validado,SFTP: 100.0% distintos (5 valores); Dump: 100.0% distintos (5 valores)
