"table_name","column_name","data_type"
_032020_validacoes_pmcmv_mar_2020,tipo_val,text
_032020_validacoes_pmcmv_mar_2020,cod,text
_032020_validacoes_pmcmv_mar_2020,fgts,text
_032020_validacoes_pmcmv_mar_2020,faixa_1,text
_032020_validacoes_pmcmv_mar_2020,pj,text
_032020_validacoes_pmcmv_mar_2020,pf,text
_032020_validacoes_pmcmv_mar_2020,dsc_validacao,text
_032020_validacoes_pmcmv_mar_2020,universo_de_aplicacao_fx,text
_032020_validacoes_pmcmv_mar_2020,dt_ingest,text
_032020_validacoes_pmcmv_mar_2020,arquivo_origem,text
_042020_tab_validacao_arquivos_pf,cod_validacao,text
_042020_tab_validacao_arquivos_pf,dsc_validacao,text
_042020_tab_validacao_arquivos_pf,name_file,text
_042020_tab_validacao_arquivos_pf,txt_cpf,text
_042020_tab_validacao_arquivos_pf,dt_ingest,text
_042020_tab_validacao_arquivos_pf,arquivo_origem,text
_042020_tab_validacao_arquivos_pj,cod_validacao,text
_042020_tab_validacao_arquivos_pj,dsc_validacao,text
_042020_tab_validacao_arquivos_pj,name_file,text
_042020_tab_validacao_arquivos_pj,nu_apf,text
_042020_tab_validacao_arquivos_pj,data_log,text
_042020_tab_validacao_arquivos_pj,dt_ingest,text
_042020_tab_validacao_arquivos_pj,arquivo_origem,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,data_de_movimento,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,agente_financeiro,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,apf,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,uf,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,municipio,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,codigo_ibge_do_municipio,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,nome_empreendimento,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,modalidade,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,situacao_do_empreendimento,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,classificacao_dos_paralisados,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,data_de_contratacao,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,exec,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,valor_contratado,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,valor_aporte_adicional,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,valor_desembolsado,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,uh_contratadas,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,uh_entregues,text
_202406_snh_pmcmv_dados_prioritarios_af_caixa,uh_vigentes,text
