"table_name","column_name","data_type"
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,unidade_da_federacao,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,empr_contratados,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,uh_contratados,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,empr_concluidos,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,uh_concluidos,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,empr_entregues,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,uh_entregues,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,empr_previsao_de_conclusao_ate_dez_2011,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,uh_previsao_de_conclusao_ate_dez_2011,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,empr_previsao_de_entrega_ate_dez_2011,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,uh_previsao_de_entrega_ate_dez_2011,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,source_table,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,report_date,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,institution,text
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo,profile,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,uf,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,municipio,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,nomeempreendimento,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,produto,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,faixa,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,unidades,bigint
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,valor,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,contratado,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,proposta_em_negociacao,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,source_table,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,report_date,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,institution,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,profile,text
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,content_hash,text
