"tabela","hash_estrutura_md5","linhas_estimadas","tamanho_total","tamanho_tabela","tamanho_indices","tamanho_toast","qtd_colunas","comentario","tuplas_vivas","tuplas_mortas","last_vacuum","last_autovacuum","last_analyze","last_autoanalyze"
caixa_002_2018_bext_ago18,"37d1de41f422e7b66c92d80ae20aefd7",600794,"131 MB","131 MB","0 bytes","8192 bytes",22,,600794,0,,2026-06-23 15:07:39.359 -0300,,2026-06-23 15:07:40.375 -0300
caixa_002_2018_bext_jun18,"37d1de41f422e7b66c92d80ae20aefd7",594684,"130 MB","129 MB","0 bytes","8192 bytes",22,,594684,0,,2026-06-23 15:08:39.359 -0300,,2026-06-23 15:08:40.357 -0300
caixa_002_2018_bext_mai18,"37d1de41f422e7b66c92d80ae20aefd7",592670,"129 MB","129 MB","0 bytes","8192 bytes",22,,592670,0,,2026-06-23 15:09:39.368 -0300,,2026-06-23 15:09:40.365 -0300
caixa_002_2018_bext_abr18,"37d1de41f422e7b66c92d80ae20aefd7",590228,"129 MB","129 MB","0 bytes","8192 bytes",22,,590228,0,,2026-06-23 15:06:39.322 -0300,,2026-06-23 15:06:40.326 -0300
caixa_002_2018_bext_mar18,"37d1de41f422e7b66c92d80ae20aefd7",587988,"128 MB","128 MB","0 bytes","8192 bytes",22,,587988,0,,2026-06-23 15:10:39.394 -0300,,2026-06-23 15:10:40.398 -0300
caixa_002_2017_bext_dez17,"37d1de41f422e7b66c92d80ae20aefd7",584348,"127 MB","127 MB","0 bytes","8192 bytes",22,,584348,0,,2026-06-23 15:03:39.255 -0300,,2026-06-23 15:03:40.228 -0300
caixa_003_2017_bext_out2017,"37d1de41f422e7b66c92d80ae20aefd7",583308,"127 MB","127 MB","0 bytes","8192 bytes",22,,583308,0,,2026-06-23 15:15:39.472 -0300,,2026-06-23 15:15:40.500 -0300
caixa_002_2017_bext_ago2017,"37d1de41f422e7b66c92d80ae20aefd7",578078,"126 MB","126 MB","0 bytes","8192 bytes",22,,578078,0,,2026-06-23 15:02:39.222 -0300,,2026-06-23 15:02:40.204 -0300
caixa_003_2017_bext_jul2017,"37d1de41f422e7b66c92d80ae20aefd7",569426,"124 MB","124 MB","0 bytes","8192 bytes",22,,569426,0,,2026-06-23 15:12:41.852 -0300,,2026-06-23 15:12:42.830 -0300
caixa_002_2017_bext_abr2017,"37d1de41f422e7b66c92d80ae20aefd7",569426,"124 MB","124 MB","0 bytes","8192 bytes",22,,569426,0,,2026-06-23 15:00:40.720 -0300,,2026-06-23 15:00:41.688 -0300
caixa_003_2017_bext_mar2017,"37d1de41f422e7b66c92d80ae20aefd7",569426,"124 MB","124 MB","0 bytes","8192 bytes",22,,569426,0,,2026-06-23 15:14:39.396 -0300,,2026-06-23 15:14:40.356 -0300
caixa_003_2017_bext_mai2017,"37d1de41f422e7b66c92d80ae20aefd7",569426,"124 MB","124 MB","0 bytes","8192 bytes",22,,569426,0,,2026-06-23 15:13:39.377 -0300,,2026-06-23 15:13:40.361 -0300
caixa_002_2017_bext_fev2017,"37d1de41f422e7b66c92d80ae20aefd7",567468,"124 MB","124 MB","0 bytes","8192 bytes",22,,567468,0,,2026-06-23 15:04:39.215 -0300,,2026-06-23 15:04:40.179 -0300
caixa_003_2017_bext_jan_2017,"37d1de41f422e7b66c92d80ae20aefd7",567468,"124 MB","124 MB","0 bytes","8192 bytes",22,,567468,0,,2026-06-23 15:12:39.351 -0300,,2026-06-23 15:12:40.337 -0300
caixa_001_2016_bext_30042016,"37d1de41f422e7b66c92d80ae20aefd7",548374,"120 MB","120 MB","0 bytes","8192 bytes",22,,548374,0,,2026-06-23 14:55:42.265 -0300,,2026-06-23 14:55:43.217 -0300
