"tabela","hash_estrutura_md5","linhas_estimadas","tamanho_total","tamanho_tabela","tamanho_indices","tamanho_toast","qtd_colunas","comentario","tuplas_vivas","tuplas_mortas","last_vacuum","last_autovacuum","last_analyze","last_autoanalyze"
caixa_001_2016_02_fevereiro_relatorio_cidades_20160229_v2,"9c59d78f5a1ff7a63874060ff2455727",533706,"168 MB","168 MB","0 bytes","8192 bytes",27,,533706,0,,2026-06-28 18:14:32.663 -0300,,2026-06-28 18:14:33.507 -0300
caixa_002_2018_bext_ago18,"31191913b70f36a5f5b9c5028f0ef46f",600794,"162 MB","162 MB","0 bytes","8192 bytes",27,,600794,0,,2026-06-28 19:04:33.705 -0300,,2026-06-28 19:04:34.472 -0300
caixa_003_2017_bext_out2017,"31191913b70f36a5f5b9c5028f0ef46f",583308,"161 MB","161 MB","0 bytes","8192 bytes",27,,583308,0,,2026-06-28 19:39:35.203 -0300,,2026-06-28 19:39:36.070 -0300
caixa_002_2018_bext_jun18,"31191913b70f36a5f5b9c5028f0ef46f",594684,"160 MB","160 MB","0 bytes","8192 bytes",27,,594684,0,,2026-06-28 19:08:33.687 -0300,,2026-06-28 19:08:34.487 -0300
caixa_002_2018_bext_mai18,"31191913b70f36a5f5b9c5028f0ef46f",592670,"160 MB","160 MB","0 bytes","8192 bytes",27,,592670,0,,2026-06-28 19:12:34.067 -0300,,2026-06-28 19:12:34.844 -0300
caixa_002_2017_bext_ago2017,"31191913b70f36a5f5b9c5028f0ef46f",578078,"160 MB","160 MB","0 bytes","8192 bytes",27,,578078,0,,2026-06-28 18:44:33.767 -0300,,2026-06-28 18:44:34.551 -0300
caixa_002_2018_bext_abr18,"31191913b70f36a5f5b9c5028f0ef46f",590228,"159 MB","159 MB","0 bytes","8192 bytes",27,,590228,0,,2026-06-28 19:00:33.483 -0300,,2026-06-28 19:00:34.257 -0300
caixa_002_2018_bext_mar18,"31191913b70f36a5f5b9c5028f0ef46f",587988,"159 MB","159 MB","0 bytes","8192 bytes",27,,587988,0,,2026-06-28 19:16:34.681 -0300,,2026-06-28 19:16:35.488 -0300
caixa_002_2017_bext_dez17,"31191913b70f36a5f5b9c5028f0ef46f",584348,"158 MB","158 MB","0 bytes","8192 bytes",27,,584348,0,,2026-06-28 18:47:33.522 -0300,,2026-06-28 18:47:34.264 -0300
caixa_003_2017_bext_mar2017,"31191913b70f36a5f5b9c5028f0ef46f",569426,"158 MB","158 MB","0 bytes","8192 bytes",27,,569426,0,,2026-06-28 19:35:34.550 -0300,,2026-06-28 19:35:35.304 -0300
caixa_003_2017_bext_mai2017,"31191913b70f36a5f5b9c5028f0ef46f",569426,"158 MB","157 MB","0 bytes","8192 bytes",27,,569426,0,,2026-06-28 19:31:33.899 -0300,,2026-06-28 19:31:34.710 -0300
caixa_003_2017_bext_jul2017,"31191913b70f36a5f5b9c5028f0ef46f",569426,"158 MB","157 MB","0 bytes","8192 bytes",27,,569426,0,,2026-06-28 19:27:33.560 -0300,,2026-06-28 19:27:34.304 -0300
caixa_002_2017_bext_abr2017,"31191913b70f36a5f5b9c5028f0ef46f",569426,"158 MB","157 MB","0 bytes","8192 bytes",27,,569426,0,,2026-06-28 18:40:33.474 -0300,,2026-06-28 18:40:34.260 -0300
caixa_003_2017_bext_jan_2017,"31191913b70f36a5f5b9c5028f0ef46f",567468,"157 MB","157 MB","0 bytes","8192 bytes",27,,567468,0,,2026-06-28 19:24:33.783 -0300,,2026-06-28 19:24:34.518 -0300
caixa_002_2017_bext_fev2017,"31191913b70f36a5f5b9c5028f0ef46f",567468,"157 MB","157 MB","0 bytes","8192 bytes",27,,567468,0,,2026-06-28 18:51:34.421 -0300,,2026-06-28 18:51:35.287 -0300
caixa_001_2016_bext_30042016,"31191913b70f36a5f5b9c5028f0ef46f",548374,"152 MB","152 MB","0 bytes","8192 bytes",27,,548374,0,,2026-06-28 18:19:32.340 -0300,,2026-06-28 18:19:33.062 -0300
caixa_001_2015_10_outubro_bext_31102015,"31191913b70f36a5f5b9c5028f0ef46f",526740,"150 MB","150 MB","0 bytes","8192 bytes",27,,526740,0,,2026-06-28 18:09:32.610 -0300,,2026-06-28 18:09:33.370 -0300
caixa_002_2015_07_julho_bext_31072015,"31191913b70f36a5f5b9c5028f0ef46f",510334,"147 MB","146 MB","0 bytes","8192 bytes",27,,510334,0,,2026-06-28 18:22:33.469 -0300,,2026-06-28 18:22:34.248 -0300
caixa_001_2015_06_junho_bext_30062015,"31191913b70f36a5f5b9c5028f0ef46f",505104,"144 MB","144 MB","0 bytes","8192 bytes",27,,505104,0,,2026-06-28 18:02:32.204 -0300,,2026-06-28 18:02:32.929 -0300
caixa_002_2016_bext_31122016,"72ec182dde2a02f917ff68681081e4b9",565557,"139 MB","139 MB","0 bytes","8192 bytes",26,,565557,0,,2026-06-28 18:32:32.245 -0300,,2026-06-28 18:32:32.935 -0300
caixa_002_2015_12_dezembro_bext_31122015,"72ec182dde2a02f917ff68681081e4b9",531575,"136 MB","136 MB","0 bytes","8192 bytes",26,,531575,0,,2026-06-28 18:27:32.271 -0300,,2026-06-28 18:27:32.960 -0300
bb_2018_2018_10_30_pj_pf,"8ad19cea89e5afd4f1cb2a4b3a74154e",463290,"95 MB","95 MB","0 bytes","8192 bytes",18,,463290,0,,2026-06-28 17:40:30.436 -0300,,2026-06-28 17:40:30.941 -0300
bb_2018_2018_10_01_pj_pf,"8ad19cea89e5afd4f1cb2a4b3a74154e",453934,"93 MB","93 MB","0 bytes","8192 bytes",18,,453934,0,,2026-06-28 17:37:30.367 -0300,,2026-06-28 17:37:30.865 -0300
bb_2018_2018_09_10_pj_pf,"8ad19cea89e5afd4f1cb2a4b3a74154e",447388,"92 MB","92 MB","0 bytes","8192 bytes",18,,447388,0,,2026-06-28 17:33:30.284 -0300,,2026-06-28 17:33:30.764 -0300
bb_2018_2018_08_06_pj_pf,"8ad19cea89e5afd4f1cb2a4b3a74154e",439992,"91 MB","91 MB","0 bytes","8192 bytes",18,,439992,0,,2026-06-28 17:30:30.238 -0300,,2026-06-28 17:30:30.727 -0300
bb_2018_2018_07_03_pj_pf,"57a9b2bd08a0a49ae6521d7ae055bd85",436298,"90 MB","90 MB","0 bytes","8192 bytes",18,,436298,0,,2026-06-28 17:26:30.148 -0300,,2026-06-28 17:26:30.523 -0300
bb_2018_2018_06_10_pj_pf,"57a9b2bd08a0a49ae6521d7ae055bd85",429472,"88 MB","88 MB","0 bytes","8192 bytes",18,,429472,0,,2026-06-28 17:23:30.091 -0300,,2026-06-28 17:23:30.464 -0300
bb_2018_2018_05_10_pj_pf,"8ad19cea89e5afd4f1cb2a4b3a74154e",413964,"85 MB","85 MB","0 bytes","8192 bytes",18,,413964,0,,2026-06-28 17:20:30.021 -0300,,2026-06-28 17:20:30.505 -0300
bb_2019_2019_05_07_pj_pf,"575f0ded42322ba71e2ca1d81463c34c",482750,"85 MB","84 MB","0 bytes","8192 bytes",17,,482750,0,,2026-06-28 17:46:30.496 -0300,,2026-06-28 17:46:30.924 -0300
bb_2018_2018_04_06_pj_pf,"57a9b2bd08a0a49ae6521d7ae055bd85",406360,"84 MB","84 MB","0 bytes","8192 bytes",18,,406360,0,,2026-06-28 17:17:29.963 -0300,,2026-06-28 17:17:30.333 -0300
bb_2016_06_junho_2016_06_30_min_cidades_pj_pf,"57a9b2bd08a0a49ae6521d7ae055bd85",301590,"69 MB","69 MB","0 bytes","8192 bytes",18,,301590,0,,2026-06-28 17:12:30.217 -0300,,2026-06-28 17:12:30.580 -0300
bb_2016_05_maio_2016_05_31_min_cidades_pj_pf,"57a9b2bd08a0a49ae6521d7ae055bd85",293560,"68 MB","67 MB","0 bytes","8192 bytes",18,,293560,0,,2026-06-28 17:09:29.766 -0300,,2026-06-28 17:09:30.100 -0300
bb_2016_07_julho_min_cidades_pj_pf,"57a9b2bd08a0a49ae6521d7ae055bd85",310302,"66 MB","66 MB","0 bytes","8192 bytes",18,,310302,0,,2026-06-28 17:14:29.844 -0300,,2026-06-28 17:14:30.173 -0300
bb_2016_04_abril_min_cidades_pj_pf,"57a9b2bd08a0a49ae6521d7ae055bd85",286836,"61 MB","61 MB","0 bytes","8192 bytes",18,,286836,0,,2026-06-28 17:07:29.749 -0300,,2026-06-28 17:07:30.072 -0300
bb_2019_2019_03_07_pf_pf,"72298f7199b5bd22b5f2e2dcae0c0323",256854,"58 MB","58 MB","0 bytes","8192 bytes",20,,256854,0,,2026-06-28 17:42:30.344 -0300,,2026-06-28 17:42:30.747 -0300
bb_2016_02_fevereiro_2016_02_29_min_cidades_pj_pf,"57a9b2bd08a0a49ae6521d7ae055bd85",246374,"57 MB","57 MB","0 bytes","8192 bytes",18,,246374,0,,2026-06-28 17:04:29.650 -0300,,2026-06-28 17:04:29.971 -0300
bb_2016_01_janeiro_2016_01_31_min_cidades_pj_pf,"57a9b2bd08a0a49ae6521d7ae055bd85",244616,"56 MB","56 MB","0 bytes","8192 bytes",18,,244616,0,,2026-06-28 17:02:29.625 -0300,,2026-06-28 17:02:29.942 -0300
bb_2018_2018_10_01_pf_pf,"72298f7199b5bd22b5f2e2dcae0c0323",244860,"56 MB","56 MB","0 bytes","8192 bytes",20,,244860,0,,2026-06-28 17:35:30.212 -0300,,2026-06-28 17:35:30.636 -0300
bb_2018_2018_09_10_pf_pf,"72298f7199b5bd22b5f2e2dcae0c0323",242928,"55 MB","55 MB","0 bytes","8192 bytes",20,,242928,0,,2026-06-28 17:31:30.129 -0300,,2026-06-28 17:31:30.530 -0300
bb_2018_2018_10_30_pf_pf,"72298f7199b5bd22b5f2e2dcae0c0323",247770,"55 MB","55 MB","0 bytes","8192 bytes",20,,247770,0,,2026-06-28 17:38:30.266 -0300,,2026-06-28 17:38:30.682 -0300
bb_2018_2018_08_06_pf_pf,"72298f7199b5bd22b5f2e2dcae0c0323",239848,"54 MB","54 MB","0 bytes","8192 bytes",20,,239848,0,,2026-06-28 17:28:30.080 -0300,,2026-06-28 17:28:30.511 -0300
bb_2015_12_dezembro_min_cidades_pj_pf,"57a9b2bd08a0a49ae6521d7ae055bd85",243122,"54 MB","54 MB","0 bytes","8192 bytes",18,,243122,0,,2026-06-28 17:00:29.582 -0300,,2026-06-28 17:00:29.898 -0300
bb_2018_2018_07_03_pf_pf,"98a4f492d8de43ed5e0cfb1a453de07c",236850,"53 MB","53 MB","0 bytes","8192 bytes",20,,236850,0,,2026-06-28 17:25:30.020 -0300,,2026-06-28 17:25:30.329 -0300
