inventario_id,fonte_origem,bucket_ou_raiz,prefixo_ou_filtro,linha_mcmv,natureza_linha,entidade_basica,granularidade,classificacao_dado,qtd_arquivos_ou_objetos,tamanho_total_bytes,periodo_snapshot_inicio,periodo_snapshot_fim,exemplo_caminho,campos_chave,campos_status,campos_empreendimento,campos_financeiros,campos_temporais,campos_geograficos,dados_pessoais_lgpd,disponibilidade,confianca_classificacao,observacao
SP_PF_FGTS_20250807,sharepoint_local,/home/juan-pablo/CIDADES/sharepoint,^Super Recentes/Base_PF_FGTS_20250807\.txt$,classe_media,financiada,contrato_pessoa_fisica_fgts,uma operação/contrato PF,base operacional PF FGTS,1,2194446038,2025-08,2025-08,Super Recentes/Base_PF_FGTS_20250807.txt,NU_APF; NU_CONTRATO; NU_CPF_CGC_MUTUARIO,ORIGEM; TP_ORCAMENTO; FAIXA; COTISTA; TPIMOVEL; SISTAMORT,não possui nome/status de empreendimento; operação individual,VLR_COMPRA; VLR_RENDA_FAMILIAR_COMPROVADA; VLR_EMPRESTIMO; descontos/equilíbrio FGTS e OGU; TXJRSMUT,DT_ASSINATURA; ANO_ORC; DT_MOVIMENTO; DT_NASCIMENTO,COD_MUN_IBGE; CEP; CO_AGENTE_FINANCEIRO,"sim: nome, CPF/CNPJ, nascimento, sexo, estado civil e CEP; acesso deve ser restrito/LGPD",local,alta,"Arquivo solicitado; pipe, Latin-1, 27 campos; ainda não confirmado no MinIO raw/sharepoint."
SP_PF_FGTS_20250907,sharepoint_local,/home/juan-pablo/CIDADES/sharepoint,^Super Recentes/Base_PF_FGTS_20250907\.txt$,classe_media,financiada,contrato_pessoa_fisica_fgts,uma operação/contrato PF,base operacional PF FGTS,1,2206907146,2025-09,2025-09,Super Recentes/Base_PF_FGTS_20250907.txt,NU_APF; NU_CONTRATO; NU_CPF_CGC_MUTUARIO,ORIGEM; TP_ORCAMENTO; FAIXA; COTISTA; TPIMOVEL; SISTAMORT,não possui nome/status de empreendimento; operação individual,VLR_COMPRA; VLR_RENDA_FAMILIAR_COMPROVADA; VLR_EMPRESTIMO; descontos/equilíbrio FGTS e OGU; TXJRSMUT,DT_ASSINATURA; ANO_ORC; DT_MOVIMENTO; DT_NASCIMENTO,COD_MUN_IBGE; CEP; CO_AGENTE_FINANCEIRO,"sim: nome, CPF/CNPJ, nascimento, sexo, estado civil e CEP; acesso deve ser restrito/LGPD",local,alta,Arquivo solicitado; inclui exemplo TP_ORCAMENTO=Contrapartida Classe Media - SBPE; ainda não confirmado no MinIO raw/sharepoint.
SFTP_PF_FGTS,minio_sftp,data-lake-mcid,raw/sftp/.*/Base_PF_FGTS_.*\.txt$,classe_media,financiada,contrato_pessoa_fisica_fgts,uma operação/contrato PF; snapshots,série histórica e corrente PF FGTS,50,64781549892,2001-06,2026-07,raw/sftp/fabrica/GEFUS/Base_PF_FGTS_20260107.txt,NU_APF; NU_CONTRATO; NU_CPF_CGC_MUTUARIO,ORIGEM; TP_ORCAMENTO; FAIXA; COTISTA; TPIMOVEL; SISTAMORT,não possui nome/status de empreendimento; operação individual,VLR_COMPRA; VLR_RENDA_FAMILIAR_COMPROVADA; VLR_EMPRESTIMO; descontos/equilíbrio FGTS e OGU; TXJRSMUT,DT_ASSINATURA; ANO_ORC; DT_MOVIMENTO; DT_NASCIMENTO,COD_MUN_IBGE; CEP; CO_AGENTE_FINANCEIRO,"sim: nome, CPF/CNPJ, nascimento, sexo, estado civil e CEP; acesso deve ser restrito/LGPD",minio,alta,Fonte SFTP já presente no MinIO; contém versões mais atuais que os dois arquivos locais.
SP_PJ_FGTS,sharepoint_local,/home/juan-pablo/CIDADES/sharepoint,^FGTS - PJ \(Apoio PJ\)/base_pj_fgts_.*\.xlsx$,classe_media,financiada,empreendimento_pessoa_juridica_fgts,um empreendimento/APF por posição,base operacional PJ/empreendimentos FGTS,5,28962489,2024-10,2025-02,FGTS - PJ (Apoio PJ)/base_pj_fgts_2025_01_.xlsx,NU_APF; CGC; COD_MUNICIPIO_IBGE,SITUACAO_OBRA; SITUACAO_CONTRATO; PERCENTUAL_OBRA_REALIZADO,NO_EMPREENDIMENTO; RZ_SOCIAL; unidades financiadas/concluídas/entregues; início/término da obra,VI; VE; valores de financiamento/empreendimento conforme versão,DT_MOVIMENTO; DT_ASSINATURA; DT_INICIO_OBRA; DT_TERMINO_OBRA; ANO_ORC,COD_MUNICIPIO_IBGE; endereço; CEP; latitude; longitude; município; UF; região,não na amostra; contém dados de pessoa jurídica e endereço do empreendimento,local,alta,"Fonte central para APF, empreendimento, obra, situação e entregas."
SFTP_PJ_FGTS,minio_sftp,data-lake-mcid,raw/sftp/.*/Base_PJ_FGTS_.*\.txt$,classe_media,financiada,empreendimento_pessoa_juridica_fgts,um empreendimento/APF por posição; snapshots,série histórica e corrente PJ/empreendimentos FGTS,83,412394830,2001-06,2026-07,raw/sftp/fabrica/GEFUS/FDS/Base_PJ_FGTS_20260107_0000.txt,NU_APF; CGC; COD_MUNICIPIO_IBGE,SITUACAO_OBRA; SITUACAO_CONTRATO; PERCENTUAL_OBRA_REALIZADO,NO_EMPREENDIMENTO; RZ_SOCIAL; unidades financiadas/concluídas/entregues; início/término da obra,VI; VE; valores de financiamento/empreendimento conforme versão,DT_MOVIMENTO; DT_ASSINATURA; DT_INICIO_OBRA; DT_TERMINO_OBRA; ANO_ORC,COD_MUNICIPIO_IBGE; endereço; CEP; latitude; longitude; município; UF; região,não na amostra; contém dados de pessoa jurídica e endereço do empreendimento,minio,alta,Fonte SFTP já presente no MinIO; preferível para atualização recorrente.
SP_FGTS_ANALITICO,sharepoint_local,/home/juan-pablo/CIDADES/sharepoint,^(Dados Abertos na internet|Exportados do Banco/Dados Abertos FGTS)/.*FGTS.*ANALITICO.*\.csv$,classe_media,financiada,financiamento_fgts_analitico,um financiamento/registro analítico,dados abertos analíticos FGTS,4,5056092246,2025-07,2026-02,Exportados do Banco/Dados Abertos FGTS/20260209_121226_dados_abertos__fgts_analitico.csv,cod_ibge; data_assinatura_financiamento,programa FGTS; faixa; tipo de imóvel; cotista; amortização,txt_nome_empreendimento (preenchimento variável),financiamento; compra; renda; subsídios/descontos/equilíbrio FGTS e OGU; juros,data_referencia; data_assinatura_financiamento; nascimento,cod_ibge; município; UF; região,"sim: nascimento, sexo e renda; versão aberta não expôs CPF/nome na amostra",local,alta,Boa base analítica; validar proteção contra reidentificação e versões repetidas.
SP_FGTS_SINTETICO,sharepoint_local,/home/juan-pablo/CIDADES/sharepoint,^(Dados Abertos na internet|Exportados do Banco/Dados Abertos FGTS)/.*FGTS.*SINTETICO.*\.csv$,classe_media,financiada,agregado_municipal_fgts,município e ano,agregado sintético FGTS,4,16022887,2025-05,2026-02,Exportados do Banco/Dados Abertos FGTS/dados_abertos_fgts_sintetico.csv,cod_ibge; num_ano_financiamento,não possui status individual,não possui empreendimento individual,qtd_uh_financiadas; vlr_financiamento; vlr_subsidio,data_referencia; num_ano_financiamento,cod_ibge; município; UF,não,local,alta,Adequado para indicadores municipais; não substitui APF/empreendimento.
SP_FGTS_CONTRATACAO_DIARIA,sharepoint_local,/home/juan-pablo/CIDADES/sharepoint,^FGTS - Contratação diária por Município/fgts_contratacao_diaria_.*\.csv$,classe_media,financiada,contratacao_municipal_diaria_fgts,município/data,série operacional diária agregada,110,171058397,2025-09,2026-05,FGTS - Contratação diária por Município/fgts_contratacao_diaria_2026_04_10.csv,município/IBGE; data de posição,contratação/posição; sem status de obra,não possui empreendimento individual,quantidade e valor contratado/financiado conforme versão,data de contratação/posição,município; IBGE; UF,não,local,média,Útil para acompanhamento recente; há snapshots vazios/pequenos e versões repetidas a validar.
SP_MCMV_CIDADES_EMENDAS,sharepoint_local,/home/juan-pablo/CIDADES/sharepoint,^Canal FGTS/(?:Arquivados/)?MCMV_CIDADES_EMENDAS_.*\.xlsx$,mcmv_cidades,financiada,contrato_mcmv_cidades_emendas,um contrato/operação,contratação MCMV Cidades/Emendas,62,61125570,2024-12,2026-05,Canal FGTS/Arquivados/MCMV_CIDADES_EMENDAS_2025_10_17.xlsx,Operacao; NumeroDoContrato; TomadorCodigo,PMCMV; PF; Cotista; Modalidade; Linha; Programa; SubPrograma,modalidade/tipo de imóvel; sem status físico de obra na amostra,financiamento bruto/líquido; FGTS; garantia; compra; renda; descontos FGTS/OGU; contrapartida/parceria,DataDaContratacao; AnoDoOrcamento; data de referência do arquivo,município; IBGE; UF; região,possível dado de contratante conforme colunas adicionais; revisar antes de publicar,local,alta,Planilha com 56 colunas e dicionário; atualização declarada semanal.
SFTP_MCMV_CIDADES_EMENDAS,minio_sftp,data-lake-mcid,raw/sftp/.*/MCMV_CIDADES_EMENDAS_.*\.xlsx$,mcmv_cidades,financiada,contrato_mcmv_cidades_emendas,um contrato/operação; snapshots semanais,série SFTP de contratação MCMV Cidades/Emendas,38,71325157,2025-12,2026-08,raw/sftp/fabrica/GEFUS/ANTERIORES/MCMV_CIDADES_EMENDAS_2026_01_30.xlsx,Operacao; NumeroDoContrato; TomadorCodigo,PMCMV; PF; Cotista; Modalidade; Linha; Programa; SubPrograma,modalidade/tipo de imóvel,financiamento; descontos; contrapartida/parceria,DataDaContratacao; AnoDoOrcamento; data do snapshot,município; IBGE; UF; região,possível dado de contratante; revisar,minio,alta,Já disponível no MinIO e mais atual que parte do SharePoint local.
