objeto_minio,arquivo_interno,tabela_access,linhas_total,colunas_total,colunas,chave_pro_moradia
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,Linha,20,2,Código; Linha,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,Modalidade,46,2,Código; Modalidade,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,Municípios,5570,4,Código; Município; UF; IBGE_Código,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,Entidades,7455,3,Código; Entidade; CGC,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,SituaçãoDaObra,18,2,Código; SituaçãoDaObra,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,SituaçãoDoContrato,23,2,Código; SituaçãoDoContrato,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,tab_empreendimentos,73347,11,cod_empreendimento; txt_nome_empreendimento; txt_localidade; txt_logradouro; cod_municipio; txt_projeto; qtd_unidades_financiadas; txt_objeto; qtd_populacao_beneficiada; qtd_empregos_gerados; qtd_unidades_financiadas_cca,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,tab_Empreendimentos_Construtor,424944,14,Cod_Empreendimento; DV_Empreendimento; Cod_Entidade; Entidade; CGC; OperaçãoCódigo; dte_ano_mes_avaliacao; txt_providencias; Cod_Exec_Obra_1; Cod_Exec_Obra_2; Cod_Exec_Obra_3; Cod_Exec_Obra_4; Cod_Exec_Obra_5; Cod_Exec_Obra_6,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,tab_empreendimentos_GPS,290526,3,Empreendimento_Código; TipoDaCaracterística; Texto,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,tab_empreendimentos_posicoes,73247,6,cod_empreendimento; dte_ano_mes; prc_obra_executada_ult; DtInício; DtTérmino; DtInauguração,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,OperaçõesPJ_PF,11,4,cod_linha; cod_objetivo; Descrição; Tipo,cod_linha=26
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb,tab_contratos_fgts,154814,23,cod_empreendimento; cod_contrato; cod_contrato_dv; Vlr_contratado; Vlr_investimento; dte_assinatura; dte_orcamento_ano; cod_area; cod_linha; cod_modalidade; cod_tomador; cod_af; cod_uor; cod_situacao_contrato; cod_clasificacao; cod_pac; cod_operacao_agente_financeiro; cod_operacao_agente_financeiro_dv; txt_rsgov; cod_objetivo; cod_Ident_Externo; txt_eixo; UF,cod_linha=26
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_2.mdb,tab_execucoes_obras,564741,8,cod_contrato; dte_ano_mes_avaliacao; prc_prev_acum_mes; prc_real_acum_mes; cod_situacao_obra; cod_execucao_obra; txt_providencias; dte_ultima_vistoria,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_2.mdb,operações_paralisadas_FGTS_setorpublico,120,16,cod_contrato; cod_contrato_dv; dias_sem_evolução; faixa_paralisacao; ultimo_motivo_paralisacao; ultima_descricao_motivo_paralisacao_preenchida; situacao_atual; ultimo_motivo_excecao; plano_acao_aprovado_af; termo_aditivo_assinado_tomador; data_base; dt_previsao_conclusao_objeto; cod_operacao_agente_financeiro; cod_operacao_agente_financeiro_dv; dt_ultimo_bm; ultimo_entrave_preenchido,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_2.mdb,tab_desembolsos_fgts,1582516,5,cod_contrato; cod_contrato_DV; dte_ano; dte_mes_ref; vlr_liberado,join por cod_contrato/cod_empreendimento
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_3.mdb,acompanhamento_termino_obra,6089897,4,Operação; NúmeroDoContrato; data_entrega_para_PF; data_termino_obra,join por cod_contrato/cod_empreendimento
