fonte_objeto,fonte_arquivo,cod_empreendimento,cod_contrato,cod_contrato_dv,Vlr_contratado,Vlr_investimento,dte_assinatura,dte_orcamento_ano,cod_area,cod_linha,cod_modalidade,cod_tomador,cod_af,cod_uor,cod_situacao_contrato,cod_clasificacao,cod_pac,cod_operacao_agente_financeiro,cod_operacao_agente_financeiro_dv,txt_rsgov,cod_objetivo,cod_Ident_Externo,txt_eixo,UF,descricao_linha,txt_nome_empreendimento,txt_localidade,txt_logradouro,cod_municipio,txt_projeto,qtd_unidades_financiadas,txt_objeto,qtd_populacao_beneficiada,qtd_empregos_gerados,qtd_unidades_financiadas_cca,situacao_contrato,modalidade,posicao_dte_ano_mes,posicao_prc_obra_executada_ult,posicao_DtInício,posicao_DtTérmino,posicao_DtInauguração,execucao_dte_ano_mes_avaliacao,execucao_prc_prev_acum_mes,execucao_prc_real_acum_mes,execucao_cod_situacao_obra,execucao_cod_execucao_obra,execucao_txt_providencias,execucao_dte_ultima_vistoria,qtd_desembolsos,vlr_liberado_total,ultimo_ano_desembolso,paralisacao_cod_contrato_dv,paralisacao_dias_sem_evolução,paralisacao_faixa_paralisacao,paralisacao_ultimo_motivo_paralisacao,paralisacao_ultima_descricao_motivo_paralisacao_preenchida,paralisacao_situacao_atual,paralisacao_ultimo_motivo_excecao,paralisacao_plano_acao_aprovado_af,paralisacao_termo_aditivo_assinado_tomador,paralisacao_data_base,paralisacao_dt_previsao_conclusao_objeto,paralisacao_cod_operacao_agente_financeiro,paralisacao_cod_operacao_agente_financeiro_dv,paralisacao_dt_ultimo_bm,paralisacao_ultimo_entrave_preenchido,contrato_join,termino_Operação,termino_NúmeroDoContrato,termino_data_entrega_para_PF,termino_data_termino_obra
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0100709,0100709,62,3296771.94,3768146.59,04/03/00 00:00:00,2000,2,26,078,71082,42000,7180,00,B2,N,0100709,62,,226078001,99.2.683.3.1,,CE,HAB / PRO-MORADIA                         ,LESTE-OESTE (SECRETARIA EXECUTIVA REGIONAL - SR-I)          ,FORTALEZA                                                   ,FORTALEZA                                                   ,0760,"URBANIZACAO DA AV. LESTE-OESTE, INTERLIGACOES DE ESGOTO DO  PIRAMBU, CRISTO REDENTOR E QUINTINO CUNHA - A. 1            ",300,"URBANIZACAO DA AV. LESTE-OESTE, INTERLIGACOES DE ESGOTO DO  PIRAMBU, CRISTO REDENTOR E QUINTINO CUNHA - A. 1            ",6695,497,0,em situação normal,URBANIZACAO DE AREAS                      ,201609,100,04/03/00 00:00:00,,,201609,100,100,6,      ,,,16.0,3296771.9325,2004,,,,,,,,,,,,,,,,10070962,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0100719,0100719,87,2712160.44,3560667.51,04/03/00 00:00:00,2000,2,26,078,71082,42000,7180,00,B2,N,0100719,87,,226078001,99.2.683.3.1,,CE,HAB / PRO-MORADIA                         ,FAVELA DO TRILHO (ANEL EXPRESSO-S.DUMONT - BR 116)          ,FORTALEZA                                                   ,FORTALEZA                                                   ,0760,URBANIZACAO E CONSTRUCAO DE 1831 UH DA COMUNIDADE ROSALINA  SUBCREDITO A.2                                              ,380,URBANIZACAO E CONSTRUCAO DE 1831 UH DA COMUNIDADE ROSALINA  SUBCREDITO A.2                                              ,0,1190,0,em situação normal,URBANIZACAO DE AREAS                      ,201509,100,04/03/00 00:00:00,,,201509,0,100,6,      ,,,8.0,3073780.44,2011,,,,,,,,,,,,,,,,10071987,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0100737,0100737,08,8007105.42,8896784.48,04/03/00 00:00:00,2000,2,26,078,71082,42000,7180,00,B2,N,0100737,08,,226078001,99.2.683.3.1,,CE,HAB / PRO-MORADIA                         ,AREA PERIMETRAL OESTE (SER-III) E CONJUNTO PICI             ,FORTALEZA                                                   ,FORTALEZA                                                   ,0760,URBANIZACAO AV. PERIMETRAL OESTE E CONSTRUCAO CONJUNTO PICI SUBCREDITO A.4                                              ,380,URBANIZACAO AV. PERIMETRAL OESTE E CONSTRUCAO CONJUNTO PICI SUBCREDITO A.4                                              ,0,0,0,em situação normal,URBANIZACAO DE AREAS                      ,201509,100,04/03/00 00:00:00,,,201509,100,100,6,      ,,,25.0,8104949.41875,2011,,,,,,,,,,,,,,,,10073708,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0100738,0100738,12,5513465.85,6720736.17,04/03/00 00:00:00,2000,2,26,078,71082,42000,7180,00,B2,N,0100738,12,,226078001,99.2.683.3.1,,CE,HAB / PRO-MORADIA                         ,"AV EXPEDICIONARIOS, ESGOTO QUINTINO CUNHA E PICI            ",FORTALEZA                                                   ,FORTALEZA                                                   ,0760,"URBANIZACAO DA AV EXPEDICIONARIOS, ESGOTO QUINTINO CUNHA E  CONJUNTO PICI (80 APTOS) - SUBCREDITO A.5                   ",300,"URBANIZACAO DA AV EXPEDICIONARIOS, ESGOTO QUINTINO CUNHA E  CONJUNTO PICI (80 APTOS) - SUBCREDITO A.5                   ",0,0,0,em situação normal,URBANIZACAO DE AREAS                      ,200811,100,04/03/00 00:00:00,,,200811,100,100,6,      ,,,12.0,5513465.8575,2008,,,,,,,,,,,,,,,,10073812,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0100740,0100740,55,6081733.61,7938548.35,04/03/00 00:00:00,2000,2,26,078,71082,42000,7180,00,B2,N,0100740,55,,226078001,99.2.683.3.1,,CE,HAB / PRO-MORADIA                         ,PERIMETRAL SUL (SER-V)                                      ,FORTALEZA                                                   ,FORTALEZA                                                   ,0760,"AV PERIMETRAL SUL, CONJUNTO ARACAPE, SAO FRANSCISCO,        ESPERANCA - SUBCREDITO A.6                                  ",400,"AV PERIMETRAL SUL, CONJUNTO ARACAPE, SAO FRANSCISCO,        ESPERANCA - SUBCREDITO A.6                                  ",6000,925,0,em situação normal,URBANIZACAO DE AREAS                      ,201509,100,04/03/00 00:00:00,,,201509,100,100,6,      ,,,18.0,6092090.74984375,2011,,,,,,,,,,,,,,,,10074055,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0100778,0100778,04,1875698.61,2084109.57,04/03/00 00:00:00,2000,2,26,018,71082,42000,7180,00,B2,N,0100778,04,,226018001,99.2.683.3.1,,CE,HAB / PRO-MORADIA                         ,REGIONAL IV                                                 ,FORTALEZA                                                   ,FORTALEZA                                                   ,0760,CONJUNTO ARACAPE - 356 UH - SUBCREDITO A-8                                                                              ,320,CONJUNTO ARACAPE - 356 UH - SUBCREDITO A-8                                                                              ,1780,209,0,em situação normal,HAB / MORADIAS POPULARES                  ,201509,100,03/03/01 00:00:00,,,201509,100,100,6,      ,,,14.0,1907642.7100390624,2004,,,,,,,,,,,,,,,,10077804,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0100780,0100780,46,4230838.66,4935649.39,04/03/00 00:00:00,2000,2,26,018,71082,42000,7180,00,B2,N,0100780,46,,226018001,99.2.683.3.1,,CE,HAB / PRO-MORADIA                         ,REGIONAL V                                                  ,FORTALEZA                                                   ,FORTALEZA                                                   ,0760,CONJUNTO ARACAPE (684 UH) E ROSALINA (1831 UH)              SUBCREDITO A.9                                              ,1050,CONJUNTO ARACAPE (684 UH) E ROSALINA (1831 UH)              SUBCREDITO A.9                                              ,4920,673,0,em situação normal,HAB / MORADIAS POPULARES                  ,201509,100,05/10/00 00:00:00,,,201509,100,100,6,      ,,,15.0,4411587.960195312,2004,,,,,,,,,,,,,,,,10078046,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0100797,0100797,30,7647299.5,8496999.449999999,04/03/00 00:00:00,2000,2,26,018,71082,42000,7180,00,B2,N,0100797,30,,226018001,99.2.683.3.1,,CE,HAB / PRO-MORADIA                         ,CONSTRUCAO DE 1831 UH DA COMUNIDADE ROSALINA                ,FORTALEZA                                                   ,FORTALEZA                                                   ,0760,CONSTRUCAO DE 1831 UH DA COMUNIDADE ROSALINA                SUBCREDITO A.10                                             ,1300,CONSTRUCAO DE 1831 UH DA COMUNIDADE ROSALINA                SUBCREDITO A.10                                             ,0,0,0,em situação normal,HAB / MORADIAS POPULARES                  ,201509,100,05/04/00 00:00:00,,,201509,100,100,6,      ,,,9.0,7647299.495,2008,,,,,,,,,,,,,,,,10079730,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0032847,0032847,22,415306.38,1017907.79,07/15/96 00:00:00,1996,2,26,002,71012,53000,7174,01,,N,0032847,22,,226002001,,,MG,HAB / PRO-MORADIA                         ,CONJUNTO HABITACIONAL CIDADE NOVA II                        ,CIDADE NOVA                                                 ,CIDADE NOVA                                                 ,2210,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,100,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,0,97,0,distratado,URBANIZ. AREAS OCUPADAS POR SUB-HABITACAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3284722,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0032900,0032900,55,210198.24,433935.26,02/16/96 00:00:00,1996,2,26,003,71701,53000,7174,01,,N,0032900,55,,226003001,,,MG,HAB / PRO-MORADIA                         ,RESIDENCIAL JARDIM BELO HORIZONTE                           ,VIZ.RES.TITO RE                                             ,NAO CONSTA                                                  ,2650,PRO-MORADIA / URB AREAS NAO OCUP SUB MIGD                                                                               ,260,PRO-MORADIA / URB AREAS NAO OCUP SUB MIGD                                                                               ,0,41,0,distratado,URBANIZ. AREAS NAO OCUPADAS               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290055,,,,
