registro_tipo,origem_fisica,localizacao,nome_arquivo,extensao,tamanho_bytes,periodo_snapshot,disponibilidade,familia_dado,classificacao_dado,linha_principal,linhas_aplicaveis,natureza,entidade_basica,granularidade,campos_chave_esperados,campos_status_esperados,campos_basicos_esperados,dados_pessoais_lgpd,fundamentacao,confianca_classificacao,usa_mcmv_financiada,usa_mcmv_cidades,usa_pro_moradia,usa_classe_media
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2025_12_12.xlsx,MCMV_CIDADES_EMENDAS_2025_12_12.xlsx,.xlsx,1533719,2025-12-12,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2025_12_19.xlsx,MCMV_CIDADES_EMENDAS_2025_12_19.xlsx,.xlsx,1594685,2025-12-19,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2025_12_26.xlsx,MCMV_CIDADES_EMENDAS_2025_12_26.xlsx,.xlsx,1601126,2025-12-26,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_01_05.xlsx,MCMV_CIDADES_EMENDAS_2026_01_05.xlsx,.xlsx,1626130,2026-01-05,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_01_09.xlsx,MCMV_CIDADES_EMENDAS_2026_01_09.xlsx,.xlsx,1636042,2026-01-09,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_01_16.xlsx,MCMV_CIDADES_EMENDAS_2026_01_16.xlsx,.xlsx,1668806,2026-01-16,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_01_23.xlsx,MCMV_CIDADES_EMENDAS_2026_01_23.xlsx,.xlsx,1668806,2026-01-23,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_01_30_0000.xlsx,MCMV_CIDADES_EMENDAS_2026_01_30_0000.xlsx,.xlsx,1718449,2026-01-30,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_02_06.xlsx,MCMV_CIDADES_EMENDAS_2026_02_06.xlsx,.xlsx,1703641,2026-02-06,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
dado,minio_sftp,raw/sftp/caixa.geavo/GEAVO/MCMV_CIDADES_EMENDAS_2026_02_13.xlsx,MCMV_CIDADES_EMENDAS_2026_02_13.xlsx,.xlsx,1731817,2026-02-13,minio,mcmv_cidades,contratos/operações MCMV Cidades,mcmv_cidades,mcmv_cidades,financiada,contrato_operacao_ente_publico,contrato/operação ou agregado municipal por snapshot,número contrato/operação; tomador/ente público; IBGE,programa; subprograma; modalidade; linha; PF/PMCMV/cotista,"contratação; município; ente; valores de financiamento, FGTS, descontos e contrapartidas",predominantemente institucional; revisar colunas adicionais,Nome e dicionário identificam MCMV Cidades/Emendas e contratos com entes públicos.,alta,False,True,False,False
