table_name,formacao_antes,confidence_antes,notes_antes,formacao_depois,confidence_depois,notes_depois
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_proponentes,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_proponentes,separador_|,high,,separador_|,high,
bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,separador_|,high,,separador_|,high,
