table_name,formacao_antes,status_tratamento_antes,is_duplicate_antes,canonical_table_antes,frentes_cobertas_antes,instituicao_antes,perfil_antes,report_date_antes,periodo_dados_inicio_antes,periodo_dados_fim_antes,n_linhas_antes,n_colunas_antes,missing_pct_antes,encoding_issues_antes,date_parse_errors_antes,type_coercion_warnings_antes,score_utilidade_preditiva_antes,classificacao_utilidade_antes,tem_status_obra_antes,tem_datas_antes,tem_progresso_antes,tem_financeiro_antes,tem_geolocalizacao_antes,tem_granularidade_contrato_antes,campos_uteis_preditiva_antes,formacao_depois,status_tratamento_depois,is_duplicate_depois,canonical_table_depois,frentes_cobertas_depois,instituicao_depois,perfil_depois,report_date_depois,periodo_dados_inicio_depois,periodo_dados_fim_depois,n_linhas_depois,n_colunas_depois,missing_pct_depois,encoding_issues_depois,date_parse_errors_depois,type_coercion_warnings_depois,score_utilidade_preditiva_depois,classificacao_utilidade_depois,tem_status_obra_depois,tem_datas_depois,tem_progresso_depois,tem_financeiro_depois,tem_geolocalizacao_depois,tem_granularidade_contrato_depois,campos_uteis_preditiva_depois
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,,bb,separador_pipe,2013-06-01,,,200,21,0.0,0,0,0,0,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,,bb,separador_pipe,2013-06-01,,,1022,17,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,dados_sem_utilidade,erro,False,bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,,bb,dados_sem_utilidade,2013-06-01,,,0,0,0.0,0,0,0,-3,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,,bb,separador_pipe,2013-06-01,,,2,6,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,,bb,separador_pipe,2013-06-01,,,146,20,0.0,0,0,0,0,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,,bb,separador_pipe,2013-06-01,,,292,16,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,PJ,bb,separador_pipe,2013-06-01,,,200,8,0.0,0,0,0,0,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,PJ,bb,separador_pipe,2013-06-01,,,596,4,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_proponentes,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_proponentes,,bb,separador_pipe,2013-06-01,,,200,8,0.0,0,0,0,0,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_proponentes,,bb,separador_pipe,2013-06-01,,,526,4,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,,bb,separador_pipe,2013-06-01,,,200,11,0.0,0,0,0,0,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,,bb,separador_pipe,2013-06-01,,,1374,7,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,,bb,separador_pipe,2013-06-01,,,200,21,0.0,0,0,0,0,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,,bb,separador_pipe,2013-06-01,,,1022,17,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,dados_sem_utilidade,erro,False,bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,,bb,dados_sem_utilidade,2013-06-01,,,0,0,0.0,0,0,0,-3,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,,bb,separador_pipe,2013-06-01,,,2,6,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,,bb,separador_pipe,2013-06-01,,,146,20,0.0,0,0,0,0,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,,bb,separador_pipe,2013-06-01,,,292,16,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,PJ,bb,separador_pipe,2013-06-01,,,200,8,0.0,0,0,0,0,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,PJ,bb,separador_pipe,2013-06-01,,,596,4,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_proponentes,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_proponentes,,bb,separador_pipe,2013-06-01,,,200,8,0.0,0,0,0,0,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_proponentes,,bb,separador_pipe,2013-06-01,,,526,4,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,,bb,separador_pipe,2013-06-01,,,200,11,0.0,0,0,0,0,Nenhuma,False,0,False,False,False,False,,separador_|,tratado,False,bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,,bb,separador_pipe,2013-06-01,,,1374,7,0.0,0,0,0,0,Baixa,False,0,False,False,False,False,campos_expandir_pipe
