table_name,status_antes,n_rows_antes,n_cols_antes,profile_antes,institution_antes,report_date_antes,missing_pct_antes,encoding_issues_antes,date_parse_errors_antes,type_coercion_warnings_antes,status_depois,n_rows_depois,n_cols_depois,profile_depois,institution_depois,report_date_depois,missing_pct_depois,encoding_issues_depois,date_parse_errors_depois,type_coercion_warnings_depois,error_antes,error_depois
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,treated,200,21,separador_pipe,bb,2013-06-01,0.0,0,0,0,treated,200,21,separador_pipe,bb,2013-06-01,0.0,0,0,0,,
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,treated,146,20,separador_pipe,bb,2013-06-01,0.0,0,0,0,treated,146,20,separador_pipe,bb,2013-06-01,0.0,0,0,0,,
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,,
bb_2013_06_junho_pmcmv_18062013_tab_proponentes,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,,
bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,treated,200,11,separador_pipe,bb,2013-06-01,0.0,0,0,0,treated,200,11,separador_pipe,bb,2013-06-01,0.0,0,0,0,,
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,treated,200,21,separador_pipe,bb,2013-06-01,0.0,0,0,0,treated,200,21,separador_pipe,bb,2013-06-01,0.0,0,0,0,,
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,treated,146,20,separador_pipe,bb,2013-06-01,0.0,0,0,0,treated,146,20,separador_pipe,bb,2013-06-01,0.0,0,0,0,,
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,,
bb_2013_06_junho_pmcmv_18062013_tab_proponentes,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,,
bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,treated,200,11,separador_pipe,bb,2013-06-01,0.0,0,0,0,treated,200,11,separador_pipe,bb,2013-06-01,0.0,0,0,0,,
