table_name,status,n_rows,n_cols,profile,institution,report_date,missing_pct,encoding_issues,date_parse_errors,type_coercion_warnings,error,evidence_quality_file,classificacao_formacao,classificacao_confidence,n_linhas,n_colunas,status_tratamento,perfil,score_utilidade_preditiva,canonical_table,content_hash,is_duplicate,file_size,treated_exists,flag_revisao
001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,treated,71,15,colunar_denso,unknown,2011-08-01,4.788732394366197,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,cabecalho_composto_1,high,33,15,tratado,colunar_denso,6,001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,1079531e793f35257f5d03b1a87c1ae0,false,76,False,institution_unknown;
001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,error,0,0,sub_tabelas_1,,,0.0,,,,Identifier '_001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012' exceeds maximum length of 63 characters,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,sub_tabelas_1,high,170,8,tratado,sub_tabelas_1,0,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,15b3d393766ac87369e54837bbb8cb58,false,536,False,status_error;zero_rows;zero_cols;institution_unknown;report_date_missing;
001_2012_10_outubro_20121009_bases_relatório_executivo_0910201,treated,18244,40,colunar_denso,unknown,2012-10-01,4.992874369655778,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,high,200,38,tratado,colunar_denso,8,001_2012_10_outubro_20121009_bases_relatório_executivo_0910201,79689932e388e2be45c08f6902275509,false,18244,False,institution_unknown;
001_2012_10_outubro_20121009_bases_relatório_executivo_1610201,treated,18352,40,colunar_denso,unknown,2012-10-01,4.993188753269399,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,high,200,38,tratado,colunar_denso,8,001_2012_10_outubro_20121009_bases_relatório_executivo_1610201,a86658a778d7549fb123befc0e64847c,false,18352,False,institution_unknown;
011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi,treated,7032,14,colunar_denso,unknown,,7.142857142857142,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,high,200,14,tratado,colunar_denso,3,011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi,baba95ad71b407d5bb98a392475983ad,false,7032,False,institution_unknown;report_date_missing;
018_int040_ministeriocidades_far_caixa_empreendimentos_20181001,error,0,0,bem_formada,,,0.0,,,,Identifier '_018_int040_ministeriocidades_far_caixa_empreendimentos_20181001' exceeds maximum length of 63 characters,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,39,tratado,colunar_denso,9,018_int040_ministeriocidades_far_caixa_empreendimentos_20181001,d4a4f850f5581bf13d31151234ca213f,false,8224,False,status_error;zero_rows;zero_cols;institution_unknown;report_date_missing;
024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,error,0,0,bem_formada,,,0.0,,,,Identifier '_024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,high,200,10,tratado,event_level,4,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,967729492f053c9eb651ddb18382e479,false,11724,False,status_error;zero_rows;zero_cols;institution_unknown;report_date_missing;
1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831,error,0,0,bem_formada,,,0.0,,,,Identifier '_1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831' exceeds maximum length of 63 characters,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,high,200,32,tratado,colunar_denso,10,1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831,56e85a2a11749d21d85932baa0704f59,false,404,False,status_error;zero_rows;zero_cols;institution_unknown;report_date_missing;
202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,error,0,0,bem_formada,,,0.0,,,,Identifier '_202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,high,200,10,tratado,event_level,4,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,0a229f72f2f5564c895822079ba00a2d,false,11818,False,status_error;zero_rows;zero_cols;institution_unknown;report_date_missing;
202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,error,0,0,bem_formada,,,0.0,,,,Identifier '_202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,high,200,10,tratado,event_level,4,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,9955591d1a629211935cfa7908e17266,false,11654,False,status_error;zero_rows;zero_cols;institution_unknown;report_date_missing;
