frente,fonte_inferida,categoria,quantidade
mcmv_geral,nao_identificada,dado_tabular_ou_serializado,1364
far,nao_identificada,dado_tabular_ou_serializado,790
entidades,nao_identificada,dado_tabular_ou_serializado,394
nao_classificado,nao_identificada,dado_tabular_ou_serializado,242
fgts_financiado,fgts,dado_tabular_ou_serializado,214
sub50_fnhis,nao_identificada,dado_tabular_ou_serializado,174
rural,nao_identificada,dado_tabular_ou_serializado,155
conjuntura,nao_identificada,dado_tabular_ou_serializado,143
fgts_financiado,fgts,arquivo_compactado,109
sub50_fnhis,nao_identificada,arquivo_compactado,74
mcmv_geral,fgts,dado_tabular_ou_serializado,62
mcmv_geral,nao_identificada,documento,52
ogu_subsidiado,ogu,dado_tabular_ou_serializado,15
nao_classificado,nao_identificada,documento,8
metadados,metadados,documento,6
nao_classificado,nao_identificada,arquivo_compactado,6
mcmv_geral,metadados,documento,4
mcmv_geral,nao_identificada,arquivo_compactado,3
entidades,metadados,documento,2
far,metadados,documento,2
far,nao_identificada,arquivo_compactado,2
nao_classificado,entregas,dado_tabular_ou_serializado,2
entidades,nao_identificada,arquivo_compactado,1
