frente_primaria,fonte_inferida,categoria,quantidade
far,nao_identificada,dado_tabular_ou_serializado,790
entidades,nao_identificada,dado_tabular_ou_serializado,378
nao_classificado,nao_identificada,dado_tabular_ou_serializado,242
fgts_financiado,fgts,dado_tabular_ou_serializado,214
sub50_fnhis,nao_identificada,dado_tabular_ou_serializado,174
rural,nao_identificada,dado_tabular_ou_serializado,148
conjuntura,nao_identificada,dado_tabular_ou_serializado,143
fgts_financiado,fgts,arquivo_compactado,109
sub50_fnhis,nao_identificada,arquivo_compactado,74
mcmv_geral,nao_identificada,documento,52
mcmv_geral,nao_identificada,dado_tabular_ou_serializado,51
ogu_subsidiado,ogu,dado_tabular_ou_serializado,15
nao_classificado,nao_identificada,documento,8
nao_classificado,nao_identificada,arquivo_compactado,6
entidades,metadados,documento,2
far,metadados,documento,2
far,nao_identificada,arquivo_compactado,2
metadados,metadados,documento,2
nao_classificado,entregas,dado_tabular_ou_serializado,2
entidades,nao_identificada,arquivo_compactado,1
