pacote,frente_primaria,fonte_inferida,quantidade
filesystem,far,nao_identificada,785
filesystem,entidades,nao_identificada,374
filesystem,fgts_financiado,fgts,323
filesystem,nao_classificado,nao_identificada,254
filesystem,sub50_fnhis,nao_identificada,177
filesystem,rural,nao_identificada,144
filesystem,conjuntura,nao_identificada,143
filesystem,mcmv_geral,nao_identificada,103
filesystem,ogu_subsidiado,ogu,15
Novo MCMV - FAR/FAR - Consolidado/anexos_mcid.zip,far,nao_identificada,2
filesystem,nao_classificado,entregas,2
Geohabitação/Bases do Gabinete - Adam/MCMV_FAR_BR_2009_2022.zip,far,metadados,1
Geohabitação/Bases do Gabinete - Adam/MCMV_FAR_BR_2009_2022.zip,far,nao_identificada,1
Geohabitação/Bases do Gabinete - Adam/MCMV_FDS_BR_2009_2022.zip,entidades,metadados,1
Geohabitação/Bases do Gabinete - Adam/MCMV_FDS_BR_2009_2022.zip,entidades,nao_identificada,1
Geohabitação/Bases do Gabinete - Adam/PAR_BRASIL_POLIGONAIS.zip,metadados,metadados,1
Geohabitação/Bases do Gabinete - Adam/PAR_BRASIL_POLIGONAIS.zip,nao_classificado,nao_identificada,1
Oferta Pública/Arquivados/36. BASE OFERTA - CONSOLIDADA EM 30.01.2026 - Com Banco Morada.zip,nao_classificado,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_03-06-2025 G.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_03-06-2025 M.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_04-08-2025 G.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_07-04-2025.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_09-06-2025 G.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_09-06-2025 M.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_12-05-2025 G.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_12-05-2025 M.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_14-04-2025.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_16-06-2025 - M.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_16-06-2025 G.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_19-05-2025 G.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_19-05-2025 M.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_22-04-2025.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_23-06-2025 - G.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_23-06-2025 - M.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_26-05-2025 G.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_26-05-2025 M.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_28-04-2025.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_28-07-2025.xls G.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_31-03-2025.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_09_01.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_09_08.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_09_22.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_10_06.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_10_13.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_10_20.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_10_27.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_11_03.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_11_10.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_11_17.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_11_24.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_12_01.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_12_08.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_12_15.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_12_22.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2025_12_29.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_01_05.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_01_12.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_01_19.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_01_26.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_02_02.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_02_09.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_02_19.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_GIGOV_2026_02_23.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_08_25.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_09_01.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_09_08.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_09_15.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_09_22.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_10_06.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_10_13.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_10_20.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_10_27.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_11_03.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_11_10.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_11_17.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_11_24.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_12_01.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_12_08.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_12_15.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_12_22.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2025_12_29.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2026_01_05.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2026_01_12.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2026_01_19.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2026_01_26.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2026_02_02.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2026_02_09.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2026_02_19.zip,sub50_fnhis,nao_identificada,1
SNHIS/Arquivados/FNHIS_SEMANAL_MCID_2026_02_23.zip,sub50_fnhis,nao_identificada,1
Trabalho Social/Arquivados/BASES_TS-20240722.zip,entidades,nao_identificada,1
Trabalho Social/Arquivados/BASES_TS-20240722.zip,far,nao_identificada,1
Trabalho Social/Arquivados/BASES_TS-20240722.zip,rural,nao_identificada,1
Trabalho Social/Arquivados/BASE_TS_01_2025.zip,entidades,nao_identificada,1
Trabalho Social/Arquivados/BASE_TS_01_2025.zip,far,nao_identificada,1
Trabalho Social/Arquivados/BASE_TS_01_2025.zip,rural,nao_identificada,1
Trabalho Social/Arquivados/BASE_TS_11_2024.zip,entidades,nao_identificada,1
Trabalho Social/Arquivados/BASE_TS_11_2024.zip,far,nao_identificada,1
Trabalho Social/Arquivados/BASE_TS_11_2024.zip,rural,nao_identificada,1
Trabalho Social/Arquivados/BASE_TS_12_2024.zip,entidades,nao_identificada,1
Trabalho Social/Arquivados/BASE_TS_12_2024.zip,far,nao_identificada,1
Trabalho Social/Arquivados/BASE_TS_12_2024.zip,rural,nao_identificada,1
filesystem,entidades,metadados,1
filesystem,far,metadados,1
filesystem,metadados,metadados,1
