periodo_inferido,fonte_inferida,quantidade
2009-02,metadados,4
2009-02,nao_identificada,6
2012-02,nao_identificada,2
2020-01,fgts,1
2020-02,fgts,1
2021-01,fgts,1
2021-02,fgts,1
2022-01,fgts,1
2022-02,fgts,1
2022-02,nao_identificada,2
2023-01,fgts,1
2023-02,fgts,1
2023-02,nao_identificada,7
2024-01,fgts,1
2024-02,fgts,1
2024-02,nao_identificada,4
2024-06,ogu,1
2024-07,nao_identificada,4
2024-07,ogu,1
2024-08,ogu,1
2024-09,ogu,1
2024-10,fgts,1
2024-10,nao_identificada,1
2024-10,ogu,1
2024-11,nao_identificada,5
2024-11,ogu,1
2024-12,fgts,8
2024-12,ogu,2
2025-01,fgts,9
2025-01,ogu,1
2025-02,fgts,12
2025-03,fgts,7
2025-03,nao_identificada,9
2025-03,ogu,2
2025-04,fgts,8
2025-04,nao_identificada,12
2025-05,fgts,9
2025-05,nao_identificada,25
2025-06,fgts,7
2025-06,nao_identificada,25
2025-06,ogu,1
2025-07,fgts,8
2025-07,nao_identificada,31
2025-08,entregas,2
2025-08,fgts,10
2025-08,nao_identificada,47
2025-08,ogu,1
2025-09,fgts,25
2025-09,nao_identificada,84
2025-09,ogu,1
2025-10,fgts,27
2025-10,nao_identificada,135
2025-11,fgts,23
2025-11,nao_identificada,138
2025-12,fgts,22
2025-12,nao_identificada,169
2026-01,fgts,22
2026-01,nao_identificada,238
2026-02,fgts,21
2026-02,nao_identificada,180
2026-02,ogu,1
2026-03,fgts,24
2026-03,nao_identificada,117
2026-04,fgts,23
2026-04,nao_identificada,121
2026-05,fgts,18
2026-05,nao_identificada,125
2026-06,fgts,1
2026-06,nao_identificada,120
2026-07,nao_identificada,110
2026-08,nao_identificada,84
2032-02,nao_identificada,2
2062-02,nao_identificada,2
2092-02,nao_identificada,2
