escopo,tipo,arquivo_origem,caminho_relativo,nome,extensao,categoria,tamanho_bytes,modificado_em,periodo_inferido,fonte_inferida,frente_inferida,frente_primaria,detalhe_estrutura,erro
zip,arquivo,Canal FGTS/Arquivados/MC20200103.zip,MCidades_AO_1.mdb,MCidades_AO_1.mdb,.mdb,outro,1119817728,2020-01-03T12:03:34+00:00,2020-01,fgts,fgts_financiado,fgts_financiado,,
zip,arquivo,Canal FGTS/Arquivados/MC20200103.zip,MCidades_AO_2.mdb,MCidades_AO_2.mdb,.mdb,outro,1069219840,2020-01-03T11:59:40+00:00,2020-01,fgts,fgts_financiado,fgts_financiado,,
zip,arquivo,Canal FGTS/Arquivados/MC20200103.zip,MCidades_CCI_CCA_2018.mdb,MCidades_CCI_CCA_2018.mdb,.mdb,outro,490758144,2020-01-03T11:58:20+00:00,2020-01,fgts,fgts_financiado,fgts_financiado,,
zip,arquivo,Canal FGTS/Arquivados/MC20200103.zip,MCidades_CCI_CCA_2019.mdb,MCidades_CCI_CCA_2019.mdb,.mdb,outro,416174080,2020-01-03T11:56:44+00:00,2020-01,fgts,fgts_financiado,fgts_financiado,,
zip,arquivo,Canal FGTS/Arquivados/MC20200207.zip,MCidades_AO_1.mdb,MCidades_AO_1.mdb,.mdb,outro,1121902592,2020-02-07T16:52:08+00:00,2020-02,fgts,fgts_financiado,fgts_financiado,,
zip,arquivo,Canal FGTS/Arquivados/MC20200207.zip,MCidades_AO_2.mdb,MCidades_AO_2.mdb,.mdb,outro,1071042560,2020-02-07T16:50:48+00:00,2020-02,fgts,fgts_financiado,fgts_financiado,,
zip,arquivo,Canal FGTS/Arquivados/MC20200207.zip,MCidades_CCI_CCA_2018.mdb,MCidades_CCI_CCA_2018.mdb,.mdb,outro,486916096,2020-02-07T16:49:54+00:00,2020-02,fgts,fgts_financiado,fgts_financiado,,
zip,arquivo,Canal FGTS/Arquivados/MC20200207.zip,MCidades_CCI_CCA_2019.mdb,MCidades_CCI_CCA_2019.mdb,.mdb,outro,426364928,2020-02-07T16:49:34+00:00,2020-02,fgts,fgts_financiado,fgts_financiado,,
zip,arquivo,Canal FGTS/Arquivados/MC20210108.zip,MCidades_AO_1.mdb,MCidades_AO_1.mdb,.mdb,outro,1141411840,2021-01-08T12:45:14+00:00,2021-01,fgts,fgts_financiado,fgts_financiado,,
zip,arquivo,Canal FGTS/Arquivados/MC20210108.zip,MCidades_AO_2.mdb,MCidades_AO_2.mdb,.mdb,outro,1094553600,2021-01-08T12:43:36+00:00,2021-01,fgts,fgts_financiado,fgts_financiado,,
