sharepoint_nome,sharepoint_origem,sharepoint_caminho,sharepoint_extensao,sharepoint_categoria,sharepoint_frente_primaria,sharepoint_fonte_inferida,sharepoint_periodo_inferido,minio_match_type,minio_match_count,minio_match_examples
OneDrive_1_18-08-2026.zip,,OneDrive_1_18-08-2026.zip,.zip,arquivo_compactado,nao_classificado,nao_identificada,,nao_encontrado_no_minio_consultado,0,
2023_05_mcmv_ogu_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-05-Maio/2023_05_mcmv_ogu_dados.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2023-05,nao_encontrado_no_minio_consultado,0,
2023_06_mcmv_ogu_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-06-Junho/2023_06_mcmv_ogu_dados.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2023-06,nao_encontrado_no_minio_consultado,0,
2023_07_mcmv_ogu_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-07-Julho/2023_07_mcmv_ogu_dados.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2023-07,nao_encontrado_no_minio_consultado,0,
2023_08_mcmv_fgts_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-08-Agosto/2023_08_mcmv_fgts_dados.zip,.zip,arquivo_compactado,fgts_financiado,fgts;casa_civil,2023-08,nao_encontrado_no_minio_consultado,0,
2023_08_mcmv_fgts_entregas_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-08-Agosto/2023_08_mcmv_fgts_entregas_dados.zip,.zip,arquivo_compactado,fgts_entregas,fgts;entregas;casa_civil,2023-08,nao_encontrado_no_minio_consultado,0,
2023_08_mcmv_ogu_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-08-Agosto/2023_08_mcmv_ogu_dados.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2023-08,nao_encontrado_no_minio_consultado,0,
2023_09_mcmv_fgts_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-09-Setembro/2023_09_mcmv_fgts_dados.zip,.zip,arquivo_compactado,fgts_financiado,fgts;casa_civil,2023-09,nao_encontrado_no_minio_consultado,0,
2023_09_mcmv_fgts_entregas_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-09-Setembro/2023_09_mcmv_fgts_entregas_dados.zip,.zip,arquivo_compactado,fgts_entregas,fgts;entregas;casa_civil,2023-09,nao_encontrado_no_minio_consultado,0,
2023_09_mcmv_ogu_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-09-Setembro/2023_09_mcmv_ogu_dados.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2023-09,nao_encontrado_no_minio_consultado,0,
2023_10_mcmv_fgts_dados.txt,,OneDrive_2026-08-19/Casa civil/2023-10-Outubro/2023_10_mcmv_fgts_dados.txt,.txt,dado_tabular_ou_serializado,fgts_financiado,fgts;casa_civil,2023-10,nao_encontrado_no_minio_consultado,0,
2023_10_mcmv_ogu_dados.txt,,OneDrive_2026-08-19/Casa civil/2023-10-Outubro/2023_10_mcmv_ogu_dados.txt,.txt,dado_tabular_ou_serializado,ogu_subsidiado,ogu;casa_civil,2023-10,nao_encontrado_no_minio_consultado,0,
2023_11_mcmv_fgts_dados.txt,,OneDrive_2026-08-19/Casa civil/2023-11-Novembro/2023_11_mcmv_fgts_dados.txt,.txt,dado_tabular_ou_serializado,fgts_financiado,fgts;casa_civil,2023-11,nao_encontrado_no_minio_consultado,0,
2023_11_mcmv_ogu_dados.txt,,OneDrive_2026-08-19/Casa civil/2023-11-Novembro/2023_11_mcmv_ogu_dados.txt,.txt,dado_tabular_ou_serializado,ogu_subsidiado,ogu;casa_civil,2023-11,nao_encontrado_no_minio_consultado,0,
2023_12_mcmv_FGTS_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-12_Dezembro/2023_12_mcmv_FGTS_dados.zip,.zip,arquivo_compactado,fgts_financiado,fgts;casa_civil,2023-12,nao_encontrado_no_minio_consultado,0,
2023_12_mcmv_ogu_dados.zip,,OneDrive_2026-08-19/Casa civil/2023-12_Dezembro/2023_12_mcmv_ogu_dados.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2023-12,nao_encontrado_no_minio_consultado,0,
2023_12_mcmv_ogu_dados_v2.zip,,OneDrive_2026-08-19/Casa civil/2023-12_Dezembro/2023_12_mcmv_ogu_dados_v2.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2023-12,nao_encontrado_no_minio_consultado,0,
2023_12_mcmv_ogu_dados_v3.zip,,OneDrive_2026-08-19/Casa civil/2023-12_Dezembro/2023_12_mcmv_ogu_dados_v3.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2023-12,nao_encontrado_no_minio_consultado,0,
2023_12_mcmv_ogu_dados_v4.zip,,OneDrive_2026-08-19/Casa civil/2023-12_Dezembro/2023_12_mcmv_ogu_dados_v4.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2023-12,nao_encontrado_no_minio_consultado,0,
2023_12_mcmv_ogu_v5.zip,,OneDrive_2026-08-19/Casa civil/2023-12_Dezembro/2023_12_mcmv_ogu_v5.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2023-12,nao_encontrado_no_minio_consultado,0,
base_fgts_2024_01.xlsx,,OneDrive_2026-08-19/Casa civil/2024 - 01_Janeiro/base_fgts_2024_01.xlsx,.xlsx,dado_tabular_ou_serializado,fgts_financiado,fgts;casa_civil,2024-01,nao_encontrado_no_minio_consultado,0,
base_ogu_2024_01.xlsx,,OneDrive_2026-08-19/Casa civil/2024 - 01_Janeiro/base_ogu_2024_01.xlsx,.xlsx,dado_tabular_ou_serializado,ogu_subsidiado,ogu;casa_civil,2024-01,nao_encontrado_no_minio_consultado,0,
2024_08_mcmv_fgts_dados.zip,,OneDrive_2026-08-19/Casa civil/2024-08_Agosto/2024_08_mcmv_fgts_dados.zip,.zip,arquivo_compactado,fgts_financiado,fgts;casa_civil,2024-08,nao_encontrado_no_minio_consultado,0,
2024_08_mcmv_fgts_entregas_dados.zip,,OneDrive_2026-08-19/Casa civil/2024-08_Agosto/2024_08_mcmv_fgts_entregas_dados.zip,.zip,arquivo_compactado,fgts_entregas,fgts;entregas;casa_civil,2024-08,nao_encontrado_no_minio_consultado,0,
2024_08_mcmv_ogu_dados.zip,,OneDrive_2026-08-19/Casa civil/2024-08_Agosto/2024_08_mcmv_ogu_dados.zip,.zip,arquivo_compactado,ogu_subsidiado,ogu;casa_civil,2024-08,nao_encontrado_no_minio_consultado,0,
2023_09_27_mcmv_fgts_entregas_metadado.xlsx,,OneDrive_2026-08-19/Casa civil/Fichas de Metadados da Casa Civil/2023_09_27_mcmv_fgts_entregas_metadado.xlsx,.xlsx,dado_tabular_ou_serializado,fgts_entregas,fgts;entregas;metadados;casa_civil,2023-09,nao_encontrado_no_minio_consultado,0,
20240902_OGU_Contratacao_Casa_Civil_Metadados_v1.6 (1).xlsx,,OneDrive_2026-08-19/Casa civil/Fichas de Metadados da Casa Civil/20240902_OGU_Contratacao_Casa_Civil_Metadados_v1.6 (1).xlsx,.xlsx,dado_tabular_ou_serializado,ogu_subsidiado,ogu;metadados;casa_civil,2024-09,nao_encontrado_no_minio_consultado,0,
20240918_FGTS_Contratacao_Casa_Civil_Metadados_v1.4 (1).xlsx,,OneDrive_2026-08-19/Casa civil/Fichas de Metadados da Casa Civil/20240918_FGTS_Contratacao_Casa_Civil_Metadados_v1.4 (1).xlsx,.xlsx,dado_tabular_ou_serializado,fgts_financiado,fgts;metadados;casa_civil,2024-09,nao_encontrado_no_minio_consultado,0,
2024_09_18_mcmv_fgts_entregas_metadado.xlsx,,OneDrive_2026-08-19/Casa civil/Fichas de Metadados da Casa Civil/2024_09_18_mcmv_fgts_entregas_metadado.xlsx,.xlsx,dado_tabular_ou_serializado,fgts_entregas,fgts;entregas;metadados;casa_civil,2024-09,nao_encontrado_no_minio_consultado,0,
2024_09_18_mcmv_fgts_metadado.xlsx,,OneDrive_2026-08-19/Casa civil/Fichas de Metadados da Casa Civil/2024_09_18_mcmv_fgts_metadado.xlsx,.xlsx,dado_tabular_ou_serializado,fgts_financiado,fgts;metadados;casa_civil,2024-09,nao_encontrado_no_minio_consultado,0,
2023_09_27_mcmv_fgts_metadado.xlsx,,OneDrive_2026-08-19/Casa civil/Fichas de Metadados da Casa Civil/antigos/2023_09_27_mcmv_fgts_metadado.xlsx,.xlsx,dado_tabular_ou_serializado,fgts_financiado,fgts;metadados;casa_civil,2023-09,nao_encontrado_no_minio_consultado,0,
2023_09_27_mcmv_ogu_metadado.xlsx,,OneDrive_2026-08-19/Casa civil/Fichas de Metadados da Casa Civil/antigos/2023_09_27_mcmv_ogu_metadado.xlsx,.xlsx,dado_tabular_ou_serializado,ogu_subsidiado,ogu;metadados;casa_civil,2023-09,nao_encontrado_no_minio_consultado,0,
OneDrive_2026-08-19 (1).zip,,OneDrive_2026-08-19 (1).zip,.zip,arquivo_compactado,nao_classificado,nao_identificada,,nao_encontrado_no_minio_consultado,0,
OneDrive_2026-08-19 (2).zip,,OneDrive_2026-08-19 (2).zip,.zip,arquivo_compactado,nao_classificado,nao_identificada,,nao_encontrado_no_minio_consultado,0,
OneDrive_2026-08-19 (3).zip,,OneDrive_2026-08-19 (3).zip,.zip,arquivo_compactado,nao_classificado,nao_identificada,,nao_encontrado_no_minio_consultado,0,
OneDrive_2026-08-19 (4).zip,,OneDrive_2026-08-19 (4).zip,.zip,arquivo_compactado,nao_classificado,nao_identificada,,nao_encontrado_no_minio_consultado,0,
OneDrive_2026-08-19 (5).zip,,OneDrive_2026-08-19 (5).zip,.zip,arquivo_compactado,nao_classificado,nao_identificada,,nao_encontrado_no_minio_consultado,0,
OneDrive_2026-08-19 (6).zip,,OneDrive_2026-08-19 (6).zip,.zip,arquivo_compactado,nao_classificado,nao_identificada,,nao_encontrado_no_minio_consultado,0,
