bucket,prefixo_consultado,object_name,top_prefix,filename,extension,category,size_bytes,last_modified,periodo_inferido,fonte_inferida,frente_inferida,frente_primaria,filename_norm,stem_norm,object_norm
data-lake-mcid,raw/,raw/abecip/fallback_json/poupanca_sbpe_mensal.json,raw,poupanca_sbpe_mensal.json,.json,dado_tabular_ou_serializado,148733,2026-08-17T19:18:25.716000+00:00,,nao_identificada,fgts_financiado,fgts_financiado,poupanca_sbpe_mensal_json,poupanca_sbpe_mensal,raw_abecip_fallback_json_poupanca_sbpe_mensal_json
data-lake-mcid,raw/,raw/abecip/poupanca_sbpe_mensal.xlsx,raw,poupanca_sbpe_mensal.xlsx,.xlsx,dado_tabular_ou_serializado,226413,2026-08-13T03:00:04.743000+00:00,,nao_identificada,fgts_financiado,fgts_financiado,poupanca_sbpe_mensal_xlsx,poupanca_sbpe_mensal,raw_abecip_poupanca_sbpe_mensal_xlsx
data-lake-mcid,raw/,raw/bacen/credito_imobiliario_pib.json,raw,credito_imobiliario_pib.json,.json,dado_tabular_ou_serializado,17529,2026-08-13T02:46:05.297000+00:00,,nao_identificada,nao_classificado,nao_classificado,credito_imobiliario_pib_json,credito_imobiliario_pib,raw_bacen_credito_imobiliario_pib_json
data-lake-mcid,raw/,raw/bacen/financiamentos_imobiliarios.json,raw,financiamentos_imobiliarios.json,.json,dado_tabular_ou_serializado,61346,2026-08-17T19:18:29.968000+00:00,,nao_identificada,nao_classificado,nao_classificado,financiamentos_imobiliarios_json,financiamentos_imobiliarios,raw_bacen_financiamentos_imobiliarios_json
data-lake-mcid,raw/,raw/construtoras/,raw,construtoras,,outro,0,2026-08-13T10:44:26.687000+00:00,,nao_identificada,nao_classificado,nao_classificado,construtoras,construtoras,raw_construtoras
data-lake-mcid,raw/,raw/dados_historicos/001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo.csv,raw,001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo.csv,.csv,dado_tabular_ou_serializado,3567,2026-07-13T23:38:01.230000+00:00,2011-08,entregas,far,far,001_2011_08_agosto_previsao_de_conclusao_e_entrega_far_modelo_csv,001_2011_08_agosto_previsao_de_conclusao_e_entrega_far_modelo,raw_dados_historicos_001_2011_08_agosto_previsao_de_conclusao_e_entrega_far_modelo_csv
data-lake-mcid,raw/,raw/dados_historicos/001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012.csv,raw,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012.csv,.csv,dado_tabular_ou_serializado,5652,2026-07-13T23:38:01.729000+00:00,2012-02,nao_identificada,nao_classificado,nao_classificado,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012_csv,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,raw_dados_historicos_001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012_csv
data-lake-mcid,raw/,raw/dados_historicos/001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia.csv,raw,001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012___cópia.csv,.csv,dado_tabular_ou_serializado,5652,2026-07-13T23:38:02.218000+00:00,2012-03,nao_identificada,nao_classificado,nao_classificado,001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012_copia_csv,001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012_copia,raw_dados_historicos_001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012_copia_csv
data-lake-mcid,raw/,raw/dados_historicos/001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201.csv,raw,001_2012_04_abril_cópia_de_pmcmv_relatorio_executivo_16_04_201.csv,.csv,dado_tabular_ou_serializado,5652,2026-07-13T23:38:02.711000+00:00,2012-04,nao_identificada,nao_classificado,nao_classificado,001_2012_04_abril_copia_de_pmcmv_relatorio_executivo_16_04_201_csv,001_2012_04_abril_copia_de_pmcmv_relatorio_executivo_16_04_201,raw_dados_historicos_001_2012_04_abril_copia_de_pmcmv_relatorio_executivo_16_04_201_csv
data-lake-mcid,raw/,raw/dados_historicos/001_2012_10_outubro_20121009_bases_relatório_executivo_0910201.csv,raw,001_2012_10_outubro_20121009_bases_relatório_executivo_0910201.csv,.csv,dado_tabular_ou_serializado,6853124,2026-07-13T23:38:14.106000+00:00,2012-10,nao_identificada,nao_classificado,nao_classificado,001_2012_10_outubro_20121009_bases_relatorio_executivo_0910201_csv,001_2012_10_outubro_20121009_bases_relatorio_executivo_0910201,raw_dados_historicos_001_2012_10_outubro_20121009_bases_relatorio_executivo_0910201_csv
