top_prefix,frente_primaria,fonte_inferida,extension,quantidade
raw,nao_classificado,nao_identificada,.csv,849
raw,nao_classificado,nao_identificada,.txt,487
raw,rural,nao_identificada,.txt,252
raw,far,nao_identificada,.txt,241
raw,fgts_financiado,nao_identificada,.mdb,140
raw,entidades,nao_identificada,.txt,134
raw,fgts_financiado,fgts,.txt,132
raw,nao_classificado,entregas,.csv,95
raw,nao_classificado,nao_identificada,.xlsx,92
raw,far,nao_identificada,.csv,74
raw,fgts_financiado,fgts,.csv,53
raw,fgts_financiado,nao_identificada,.xlsx,35
raw,rural,nao_identificada,.csv,34
raw,nao_classificado,nao_identificada,.xls,29
raw,entidades,nao_identificada,.xls,22
raw,conjuntura,nao_identificada,.json,17
raw,nao_classificado,entregas,.txt,17
raw,entidades,nao_identificada,.csv,14
raw,mcmv_geral,nao_identificada,.csv,8
raw,conjuntura,nao_identificada,.csv,5
raw,nao_classificado,nao_identificada,,4
raw,nao_classificado,nao_identificada,.json,4
raw,entidades,nao_identificada,.xlsx,3
raw,far,nao_identificada,.xlsx,3
raw,conjuntura,nao_identificada,.xlsx,2
raw,entidades,fgts,.csv,2
raw,far,entregas,.csv,2
raw,ogu_subsidiado,ogu,.csv,2
raw,sub50_fnhis,nao_identificada,.csv,2
raw,conjuntura,nao_identificada,,1
raw,entidades,fgts,.txt,1
raw,fgts_financiado,nao_identificada,.geavo,1
raw,fgts_financiado,nao_identificada,.json,1
raw,mcmv_geral,entregas,.csv,1
raw,mcmv_geral,nao_identificada,.xlsx,1
raw,nao_classificado,entregas,.xlsx,1
raw,nao_classificado,nao_identificada,.zip,1
