sharepoint_frente_primaria,minio_match_type,quantidade
entidades,pista_semantica_mesma_frente_periodo_fonte,215
entidades,nao_encontrado_no_minio_consultado,140
far,pista_semantica_mesma_frente_periodo_fonte,589
far,nao_encontrado_no_minio_consultado,109
fgts_entregas,nao_encontrado_no_minio_consultado,13
fgts_financiado,pista_semantica_mesma_frente_periodo_fonte,116
fgts_financiado,nao_encontrado_no_minio_consultado,24
nao_classificado,nao_encontrado_no_minio_consultado,26
nao_classificado,pista_semantica_mesma_frente_periodo_fonte,1
ogu_subsidiado,nao_encontrado_no_minio_consultado,43
rural,nao_encontrado_no_minio_consultado,108
rural,pista_semantica_mesma_frente_periodo_fonte,16
