dashboard_id,dashboard_title,dashboard_front,chart_id,chart_name,viz_type,dataset_id,form_datasource,columns_used,metrics_used,raw_form_data
6,RURAL,rural,123,Estado,,87,87__table,uf; estado,[],"{""adhoc_filters"": [], ""all_columns"": [""uf"", ""estado""], ""dashboards"": [6], ""datasource"": ""87__table"", ""extra_form_data"": {}, ""groupby"": [], ""handlebarsTemplate"": ""{{#with (lookup data 0)}}\n<div style=\""display:flex;align-items:center;gap:16px;font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,sans-serif;padding:10px;\"">\n<img src=\""https://raw.githubusercontent.com/bgeneto/bandeiras-br/master/imagens/{{uf}}.png\"" style=\""width:70px;height:auto;border:1px solid #e5e7eb;border-radius:4px;box-shadow:0 1px 3px rgba(0,0,0,0.1);\"" onerror=\""this.style.display='none'\"">\n<div style=\""display:flex;flex-direction:column;\"">\n<div style=\""font-size:12px;font-weight:700;color:#6b7280;text-transform:uppercase;letter-spacing:0.05em;\"">{{estado}}</div>\n<div style=\""font-size:12px;font-weight:700;color:#6b7280;\"">{{uf}}</div>\n</div>\n</div>\n{{/with}}"", ""order_by_cols"": [], ""order_desc"": true, ""percent_metrics"": [], ""query_mode"": ""raw"", ""row_limit"": 10000, ""slice_id"": 123, ""viz_type"": ""handlebars""}"
6,RURAL,rural,125,Valor Total Empreendimentos,,87,87__table,"{'expressionType': 'SQL', 'label': 'valor_1', 'sqlExpression': 'TRUNC(valor_1 / 1000000, 0)'}",[],"{""adhoc_filters"": [{""clause"": ""WHERE"", ""comparator"": ""header"", ""datasourceWarning"": false, ""expressionType"": ""SIMPLE"", ""filterOptionName"": ""filter_5vrkil36q0e_nt5tijlis9"", ""isExtra"": false, ""isNew"": false, ""operator"": ""=="", ""operatorId"": ""EQUALS"", ""sqlExpression"": null, ""subject"": ""secao""}], ""all_columns"": [{""expressionType"": ""SQL"", ""label"": ""valor_1"", ""sqlExpression"": ""TRUNC(valor_1 / 1000000, 0)""}], ""dashboards"": [6], ""datasource"": ""87__table"", ""extra_form_data"": {}, ""groupby"": [], ""handlebarsTemplate"": ""{{#with (lookup data 0)}}\n<div style=\""font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,sans-serif;text-align:center;width:100%;\"">\n<div style=\""background:#ffffff;border-radius:8px;padding:16px 10px;box-shadow:0 1px 4px rgba(0,0,0,0.08);font-size:26px;font-weight:800;color:#2F5C8F;\"">{{valor_1}} Mi</div>\n</div>\n{{/with}}"", ""order_by_cols"": [], ""percent_metrics"": [], ""query_mode"": ""raw"", ""row_limit"": 10000, ""slice_id"": 125, ""viz_type"": ""handlebars""}"
6,RURAL,rural,124,UHs,,87,87__table,qtd_uhs,[],"{""adhoc_filters"": [{""clause"": ""WHERE"", ""comparator"": ""header"", ""datasourceWarning"": false, ""expressionType"": ""SIMPLE"", ""filterOptionName"": ""filter_vcpjpqkbh4c_dfcwyhplh0c"", ""isExtra"": false, ""isNew"": false, ""operator"": ""=="", ""operatorId"": ""EQUALS"", ""sqlExpression"": null, ""subject"": ""secao""}], ""all_columns"": [""qtd_uhs""], ""dashboards"": [6], ""datasource"": ""87__table"", ""extra_form_data"": {}, ""groupby"": [], ""handlebarsTemplate"": ""{{#with (lookup data 0)}}\n<div style=\""font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,sans-serif;text-align:center;width:100%;\"">\n<div style=\""background:#ffffff;border-radius:8px;padding:16px 10px;box-shadow:0 1px 4px rgba(0,0,0,0.08);font-size:26px;font-weight:800;color:#2F5C8F;\"">{{qtd_uhs}}</div>\n</div>\n{{/with}}"", ""order_by_cols"": [], ""order_desc"": true, ""percent_metrics"": [], ""query_mode"": ""raw"", ""row_limit"": 10000, ""slice_id"": 124, ""viz_type"": ""handlebars""}"
6,RURAL,rural,126,Municípios,,87,87__table,qtd_empreendimentos,[],"{""adhoc_filters"": [{""clause"": ""WHERE"", ""comparator"": ""header"", ""datasourceWarning"": false, ""expressionType"": ""SIMPLE"", ""filterOptionName"": ""filter_hsx11nbomok_qz3zrbmwlcb"", ""isExtra"": false, ""isNew"": false, ""operator"": ""=="", ""operatorId"": ""EQUALS"", ""sqlExpression"": null, ""subject"": ""secao""}], ""all_columns"": [""qtd_empreendimentos""], ""dashboards"": [6], ""datasource"": ""87__table"", ""extra_form_data"": {}, ""groupby"": [], ""handlebarsTemplate"": ""{{#with (lookup data 0)}}\n<div style=\""font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,sans-serif;text-align:center;width:100%;\"">\n<div style=\""background:#ffffff;border-radius:8px;padding:16px 10px;box-shadow:0 1px 4px rgba(0,0,0,0.08);font-size:26px;font-weight:800;color:#2F5C8F;\"">{{qtd_empreendimentos}}</div>\n</div>\n{{/with}}"", ""order_by_cols"": [], ""percent_metrics"": [], ""query_mode"": ""raw"", ""row_limit"": 10000, ""slice_id"": 126, ""viz_type"": ""handlebars""}"
6,RURAL,rural,107,Execução Obra,,86,86__table,percentual_execucao_fisica,[],"{""adhoc_filters"": [{""clause"": ""WHERE"", ""comparator"": ""No filter"", ""expressionType"": ""SIMPLE"", ""operator"": ""TEMPORAL_RANGE"", ""subject"": ""dt_contratacao""}], ""all_columns"": [""percentual_execucao_fisica""], ""dashboards"": [6], ""datasource"": ""86__table"", ""extra_form_data"": {}, ""groupby"": [], ""handlebarsTemplate"": ""{{#with (lookup data 0)}}\n<div style=\""font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,sans-serif; text-align: center; width: 100%;\"">\n  \n  <!-- Caixa Branca -->\n  <div style=\""\n    background:#ffffff; \n    border-radius:8px; \n    padding:16px 10px; \n    box-shadow:0 1px 4px rgba(0,0,0,0.08); \n    font-size:26px; \n    font-weight:800; \n    color:#2F5C8F;\n  \"">\n    {{formatNumber percentual_execucao_fisica \""pt-BR\""}}%\n  </div>\n\n</div>\n{{/with}}"", ""order_by_cols"": [], ""percent_metrics"": [], ""query_mode"": ""raw"", ""row_limit"": 10000, ""slice_id"": 107, ""viz_type"": ""handlebars""}"
6,RURAL,rural,127,Empreendimentos,,87,87__table,total_empreendimentos_uf,[],"{""adhoc_filters"": [{""clause"": ""WHERE"", ""comparator"": ""header"", ""datasourceWarning"": false, ""expressionType"": ""SIMPLE"", ""filterOptionName"": ""filter_77g7wk85ao7_yh5wus0sb5"", ""isExtra"": false, ""isNew"": false, ""operator"": ""=="", ""operatorId"": ""EQUALS"", ""sqlExpression"": null, ""subject"": ""secao""}], ""all_columns"": [""total_empreendimentos_uf""], ""dashboards"": [6], ""datasource"": ""87__table"", ""extra_form_data"": {}, ""groupby"": [], ""handlebarsTemplate"": ""{{#with (lookup data 0)}}\n<div style=\""font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,sans-serif;text-align:center;width:100%;\"">\n<div style=\""background:#ffffff;border-radius:8px;padding:16px 10px;box-shadow:0 1px 4px rgba(0,0,0,0.08);font-size:26px;font-weight:800;color:#2F5C8F;\"">{{total_empreendimentos_uf}}</div>\n</div>\n{{/with}}"", ""order_by_cols"": [], ""percent_metrics"": [], ""query_mode"": ""raw"", ""row_limit"": 10000, ""slice_id"": 127, ""viz_type"": ""handlebars""}"
6,RURAL,rural,104,Empreendimento RURAL,,86,86__table,nome_empreendimento; municipio_uf,[],"{""adhoc_filters"": [{""clause"": ""WHERE"", ""comparator"": ""No filter"", ""datasourceWarning"": false, ""expressionType"": ""SIMPLE"", ""filterOptionName"": ""filter_q61efbkkfn_l7v3o42e1q"", ""isExtra"": false, ""isNew"": false, ""operator"": ""TEMPORAL_RANGE"", ""sqlExpression"": null, ""subject"": ""dt_contratacao""}], ""all_columns"": [""nome_empreendimento"", ""municipio_uf""], ""dashboards"": [6], ""datasource"": ""86__table"", ""extra_form_data"": {}, ""groupby"": [], ""handlebarsTemplate"": ""{{#with (lookup data 0)}}\n<div style=\""font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,sans-serif; padding: 10px 0;\"">\n  \n  <div style=\""font-size: 22px; font-weight: 800; color: #111827; margin-bottom: 4px; text-transform: uppercase;\"">\n    {{nome_empreendimento}}\n  </div>\n  \n  <div style=\""font-size: 16px; font-weight: 600; color: #4b5563;\"">\n    {{municipio_uf}}\n  </div>\n\n</div>\n{{/with}}"", ""order_by_cols"": [], ""percent_metrics"": [], ""query_mode"": ""raw"", ""row_limit"": 10000, ""slice_id"": 104, ""viz_type"": ""handlebars""}"
6,RURAL,rural,105,UH RURAL,,86,86__table,quantidade_uh,[],"{""adhoc_filters"": [{""clause"": ""WHERE"", ""comparator"": ""No filter"", ""datasourceWarning"": false, ""expressionType"": ""SIMPLE"", ""filterOptionName"": ""filter_p4yswiaaw9l_1z47w9r428w"", ""isExtra"": false, ""isNew"": false, ""operator"": ""TEMPORAL_RANGE"", ""sqlExpression"": null, ""subject"": ""dt_contratacao""}], ""all_columns"": [""quantidade_uh""], ""dashboards"": [6], ""datasource"": ""86__table"", ""extra_form_data"": {}, ""groupby"": [], ""handlebarsTemplate"": ""{{#with (lookup data 0)}}\n<div style=\""font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,sans-serif;text-align:center;width:100%;\"">\n<div style=\""background:#ffffff;border-radius:8px;padding:16px 10px;box-shadow:0 1px 4px rgba(0,0,0,0.08);font-size:26px;font-weight:800;color:#2F5C8F;\"">{{quantidade_uh}}</div>\n</div>\n{{/with}}"", ""order_by_cols"": [], ""order_desc"": true, ""percent_metrics"": [], ""query_mode"": ""raw"", ""row_limit"": 10000, ""slice_id"": 105, ""viz_type"": ""handlebars""}"
6,RURAL,rural,106,Situação RURAL,,86,86__table,situacao_empreendimento,[],"{""adhoc_filters"": [{""clause"": ""WHERE"", ""comparator"": ""No filter"", ""expressionType"": ""SIMPLE"", ""operator"": ""TEMPORAL_RANGE"", ""subject"": ""dt_contratacao""}], ""all_columns"": [""situacao_empreendimento""], ""dashboards"": [6], ""datasource"": ""86__table"", ""extra_form_data"": {}, ""groupby"": [], ""handlebarsTemplate"": ""{{#with (lookup data 0)}}\n<div style=\""font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,sans-serif; text-align: center; width: 100%;\"">\n  \n  <!-- Caixa Branca -->\n  <div style=\""\n    background:#ffffff; \n    border-radius:8px; \n    padding:16px 10px; \n    box-shadow:0 1px 4px rgba(0,0,0,0.08); \n    font-size:17px; \n    font-weight:800; \n    color:#2F5C8F; \n    text-transform:uppercase;\n  \"">\n    {{situacao_empreendimento}}\n  </div>\n\n</div>\n{{/with}}"", ""order_by_cols"": [], ""percent_metrics"": [], ""query_mode"": ""raw"", ""row_limit"": 10000, ""slice_id"": 106, ""viz_type"": ""handlebars""}"
6,RURAL,rural,109,Informações Rural,,86,86__table,tipologia; quantidade_uh; pessoas_atendidas,[],"{""adhoc_filters"": [{""clause"": ""WHERE"", ""comparator"": ""No filter"", ""expressionType"": ""SIMPLE"", ""operator"": ""TEMPORAL_RANGE"", ""subject"": ""dt_contratacao""}], ""all_columns"": [""tipologia"", ""quantidade_uh"", ""pessoas_atendidas""], ""dashboards"": [6], ""datasource"": ""86__table"", ""extra_form_data"": {}, ""groupby"": [], ""handlebarsTemplate"": ""{{#with (lookup data 0)}}\n<div style=\""\n  background:#ffffff;\n  border-radius:12px;\n  padding:20px 22px;\n  box-shadow:0 2px 8px rgba(0,0,0,0.06);\n  border:1px solid #e5e7eb;\n  font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,sans-serif;\n  max-width:320px;\n\"">\n\n  <div style=\""margin-bottom:14px;\"">\n    <div style=\""font-size:11px;font-weight:700;color:#6b7280;letter-spacing:0.04em;margin-bottom:4px;\"">\n      TERRENO\n    </div>\n    <div style=\""font-size:15px;color:#111827;font-weight:500;\"">\n      <!-- Se for dinâmico, troque para a coluna correspondente, ex: {{tipo_terreno}} -->\n      Mínimo\n    </div>\n  </div>\n\n  <div style=\""margin-bottom:14px;\"">\n    <div style=\""font-size:11px;font-weight:700;color:#6b7280;letter-spacing:0.04em;margin-bottom:4px;\"">\n      TIPOLOGIA\n    </div>\n    <div style=\""font-size:15px;color:#111827;font-weight:500;\"">\n      {{tipologia}}\n    </div>\n  </div>\n\n  <div style=\""margin-bottom:14px;\"">\n    <div style=\""font-size:11px;font-weight:700;color:#6b7280;letter-spacing:0.04em;margin-bottom:4px;\"">\n      NÚMERO DE UH\n    </div>\n    <div style=\""font-size:15px;color:#111827;font-weight:500;\"">\n      {{quantidade_uh}}\n    </div>\n  </div>\n\n  <div>\n    <div style=\""font-size:11px;font-weight:700;color:#6b7280;letter-spacing:0.04em;margin-bottom:4px;\"">\n      POPULAÇÃO ATENDIDA\n    </div>\n    <div style=\""font-size:15px;color:#111827;font-weight:500;\"">\n      {{pessoas_atendidas}}\n    </div>\n  </div>\n\n</div>\n{{/with}}"", ""order_by_cols"": [], ""percent_metrics"": [], ""query_mode"": ""raw"", ""row_limit"": 10000, ""slice_id"": 109, ""viz_type"": ""handlebars""}"
