dataset_id,database,schema,table_name,dataset_front,frente_inferida,fonte_inferida,colunas_qtd,colunas,colunas_tipos,table_norm,schema_table_norm
32,cidades,empreendimento_far,ficha_empreendimento,far,far;cidades,nao_identificada,31,apf; portaria_selecao; nome_empreendimento; proponente_cnpj; nome_proponente; tomador_cnpj; nome_tomador; agente_financeiro; quantidade_uh; pessoas_atendidas; tipologia; situacao_empreendimento; status_execucao_simplificado; valor_contratado; valor_aporte_adicional; valor_por_uh; dt_contratacao; percentual_execucao_fisica; dt_previsao_entrega; dt_conclusao_obra; dt_entrega; status_prazo; valor_desembolsado; percentual_execucao_financeira; apf_municipio_empreendimento; municipio; uf; municipio_uf; metodo; demanda; ritmo_fisico_financeiro,apf: TEXT; portaria_selecao: TEXT; nome_empreendimento: TEXT; proponente_cnpj: TEXT; nome_proponente: TEXT; tomador_cnpj: TEXT; nome_tomador: TEXT; agente_financeiro: TEXT; quantidade_uh: INTEGER; pessoas_atendidas: INTEGER; tipologia: TEXT; situacao_empreendimento: TEXT; status_execucao_simplificado: TEXT; valor_contratado: NUMERIC; valor_aporte_adicional: NUMERIC; valor_por_uh: NUMERIC; dt_contratacao: DATE; percentual_execucao_fisica: NUMERIC; dt_previsao_entrega: DATE; dt_conclusao_obra: DATE; dt_entrega: DATE; status_prazo: TEXT; valor_desembolsado: NUMERIC; percentual_execucao_financeira: NUMERIC; apf_municipio_empreendimento: TEXT; municipio: TEXT; uf: TEXT; municipio_uf: TEXT; metodo: TEXT; demanda: TEXT; ritmo_fisico_financeiro: TEXT,ficha_empreendimento,empreendimento_far_ficha_empreendimento
34,cidades,empreendimento_far,panorama_estadual,far,far;cidades,nao_identificada,12,estado; uf; secao; dimensao; ordem; qtd_empreendimentos; qtd_uhs; valor_1; valor_2; valor_3; valor_4; total_empreendimentos_uf,estado: TEXT; uf: TEXT; secao: TEXT; dimensao: TEXT; ordem: INTEGER; qtd_empreendimentos: BIGINT; qtd_uhs: BIGINT; valor_1: NUMERIC; valor_2: NUMERIC; valor_3: NUMERIC; valor_4: NUMERIC; total_empreendimentos_uf: BIGINT,panorama_estadual,empreendimento_far_panorama_estadual
35,cidades,empreendimento_far,mapa_nacional,far,far;cidades,nao_identificada,12,uf; estado_nome; iso_3166_2; regiao_sigla; regiao_nome; nivel; total_municipios; total_empreendimentos; total_uhs; total_valor_contratado; total_valor_desembolsado; media_execucao_fisica,uf: TEXT; estado_nome: TEXT; iso_3166_2: TEXT; regiao_sigla: TEXT; regiao_nome: TEXT; nivel: TEXT; total_municipios: NUMERIC; total_empreendimentos: NUMERIC; total_uhs: NUMERIC; total_valor_contratado: NUMERIC; total_valor_desembolsado: NUMERIC; media_execucao_fisica: NUMERIC,mapa_nacional,empreendimento_far_mapa_nacional
80,cidades,empreendimento_far,execucao_fisica_financeira_chart,far,far;cidades,nao_identificada,5,apf; apf_municipio_empreendimento; mes; pct_obra_realizada; pct_executado_financeiro,apf: TEXT; apf_municipio_empreendimento: TEXT; mes: TEXT; pct_obra_realizada: NUMERIC; pct_executado_financeiro: NUMERIC,execucao_fisica_financeira_chart,empreendimento_far_execucao_fisica_financeira_chart
82,cidades,entidades_fds,fds_ficha_empreendimento,entidades,entidades;cidades,nao_identificada,49,apf; nome_empreendimento; cnpj_eo; nome_eo; municipio_uf; gps_lat_grau; gps_lat_minuto; valor_contrapartidas; valor_por_uh; dt_contratacao; valor_desembolsado; percentual_execucao_financeira; percentual_obra_prevista; percentual_execucao_fisica; dt_inicio_obra; dt_previsao_conclusao; dt_conclusao_obra; divergencia_fisico_financeira; status_ritmo_obra; qt_uh_alienadas; pct_entrega; dt_entrega; status_entrega; pct_execucao_ts; agente_financeiro; quantidade_uh; pessoas_atendidas; tipologia; co_regime_obra; regime_obra; co_modalidade; modalidade; lat_decimal; long_decimal; cnpj_eo_formatado; municipio; uf; gps_lat_segundo; gps_long_grau; gps_long_minuto; gps_long_segundo; apf_municipio_empreendimento; situacao_gefus; semaforo_alerta; indicativo_paralisacao; valor_contratado; valor_financiamento_fds; iso_3166_2; regiao_nome,"apf: TEXT; nome_empreendimento: TEXT; cnpj_eo: TEXT; nome_eo: TEXT; municipio_uf: TEXT; gps_lat_grau: NUMERIC; gps_lat_minuto: NUMERIC; valor_contrapartidas: NUMERIC; valor_por_uh: NUMERIC; dt_contratacao: DATE; valor_desembolsado: NUMERIC; percentual_execucao_financeira: NUMERIC; percentual_obra_prevista: NUMERIC; percentual_execucao_fisica: NUMERIC; dt_inicio_obra: DATE; dt_previsao_conclusao: DATE; dt_conclusao_obra: DATE; divergencia_fisico_financeira: NUMERIC; status_ritmo_obra: TEXT; qt_uh_alienadas: INTEGER; pct_entrega: NUMERIC; dt_entrega: DATE; status_entrega: TEXT; pct_execucao_ts: NUMERIC(6, 2); agente_financeiro: TEXT; quantidade_uh: INTEGER; pessoas_atendidas: INTEGER; tipologia: TEXT; co_regime_obra: INTEGER; regime_obra: TEXT; co_modalidade: INTEGER; modalidade: TEXT; lat_decimal: ; long_decimal: ; cnpj_eo_formatado: TEXT; municipio: TEXT; uf: TEXT; gps_lat_segundo: NUMERIC; gps_long_grau: NUMERIC; gps_long_minuto: NUMERIC; gps_long_segundo: NUMERIC; apf_municipio_empreendimento: TEXT; situacao_gefus: TEXT; semaforo_alerta: TEXT; indicativo_paralisacao: TEXT; valor_contratado: NUMERIC; valor_financiamento_fds: NUMERIC; iso_3166_2: TEXT; regiao_nome: TEXT",fds_ficha_empreendimento,entidades_fds_fds_ficha_empreendimento
84,cidades,entidades_fds,fds_evolucao_financeira_chart,entidades,entidades;cidades,nao_identificada,18,mes; apf; cnpj_eo; nome_eo; apf_municipio_empreendimento; ano; trimestre; valor_liberado_mensal; valor_obra_mensal; valor_terreno_mensal; valor_ts_mensal; valor_projeto_mensal; valor_incc_mensal; valor_desembolsado_acumulado; percentual_execucao_financeira; percentual_execucao_fisica; municipio; uf,mes: TEXT; apf: TEXT; cnpj_eo: TEXT; nome_eo: TEXT; apf_municipio_empreendimento: TEXT; ano: TEXT; trimestre: TEXT; valor_liberado_mensal: NUMERIC; valor_obra_mensal: NUMERIC; valor_terreno_mensal: NUMERIC; valor_ts_mensal: NUMERIC; valor_projeto_mensal: NUMERIC; valor_incc_mensal: NUMERIC; valor_desembolsado_acumulado: NUMERIC; percentual_execucao_financeira: NUMERIC; percentual_execucao_fisica: NUMERIC; municipio: TEXT; uf: TEXT,fds_evolucao_financeira_chart,entidades_fds_fds_evolucao_financeira_chart
86,cidades,empreendimento_rural,ficha_empreendimento_rural,rural,rural;cidades,nao_identificada,32,entidade_organizadora_cnpj; nome_construtora; construtora_cnpj; quantidade_uh; quantidade_uh_entregues; quantidade_uh_vigentes; pessoas_atendidas; tipologia; municipio; uf; municipio_uf; apf_municipio_empreendimento; latitude; longitude; situacao_empreendimento; status_execucao_simplificado; valor_contratado; valor_aporte_adicional; valor_por_uh; dt_contratacao; percentual_execucao_fisica; dt_previsao_entrega; dt_conclusao_obra; status_prazo; valor_desembolsado; percentual_execucao_financeira; ritmo_fisico_financeiro; apf; agente_financeiro; programa; nome_empreendimento; nome_entidade_organizadora,"entidade_organizadora_cnpj: TEXT; nome_construtora: TEXT; construtora_cnpj: TEXT; quantidade_uh: INTEGER; quantidade_uh_entregues: INTEGER; quantidade_uh_vigentes: INTEGER; pessoas_atendidas: INTEGER; tipologia: TEXT; municipio: TEXT; uf: TEXT; municipio_uf: TEXT; apf_municipio_empreendimento: TEXT; latitude: NUMERIC(12, 8); longitude: NUMERIC(12, 8); situacao_empreendimento: TEXT; status_execucao_simplificado: TEXT; valor_contratado: NUMERIC; valor_aporte_adicional: NUMERIC; valor_por_uh: NUMERIC; dt_contratacao: DATE; percentual_execucao_fisica: NUMERIC; dt_previsao_entrega: DATE; dt_conclusao_obra: DATE; status_prazo: TEXT; valor_desembolsado: NUMERIC; percentual_execucao_financeira: NUMERIC; ritmo_fisico_financeiro: TEXT; apf: TEXT; agente_financeiro: TEXT; programa: TEXT; nome_empreendimento: TEXT; nome_entidade_organizadora: TEXT",ficha_empreendimento_rural,empreendimento_rural_ficha_empreendimento_rural
87,cidades,empreendimento_rural,panorama_estadual_rural,rural,rural;cidades,nao_identificada,12,uf; estado; secao; dimensao; ordem; qtd_empreendimentos; qtd_uhs; valor_1; valor_2; valor_3; valor_4; total_empreendimentos_uf,uf: TEXT; estado: TEXT; secao: TEXT; dimensao: TEXT; ordem: INTEGER; qtd_empreendimentos: BIGINT; qtd_uhs: BIGINT; valor_1: NUMERIC; valor_2: NUMERIC; valor_3: NUMERIC; valor_4: NUMERIC; total_empreendimentos_uf: BIGINT,panorama_estadual_rural,empreendimento_rural_panorama_estadual_rural
88,cidades,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,rural;cidades,nao_identificada,5,apf; apf_municipio_empreendimento; mes; pct_obra_realizada; pct_executado_financeiro,apf: TEXT; apf_municipio_empreendimento: TEXT; mes: TEXT; pct_obra_realizada: NUMERIC; pct_executado_financeiro: NUMERIC,execucao_fisica_financeira_chart_rural,empreendimento_rural_execucao_fisica_financeira_chart_rural
89,cidades,empreendimento_rural,mapa_nacional_rural,rural,rural;cidades,nao_identificada,12,uf; estado_nome; iso_3166_2; regiao_sigla; regiao_nome; nivel; total_municipios; total_empreendimentos; total_uhs; total_valor_contratado; total_valor_desembolsado; media_execucao_fisica,uf: TEXT; estado_nome: TEXT; iso_3166_2: TEXT; regiao_sigla: TEXT; regiao_nome: TEXT; nivel: TEXT; total_municipios: NUMERIC; total_empreendimentos: NUMERIC; total_uhs: NUMERIC; total_valor_contratado: NUMERIC; total_valor_desembolsado: NUMERIC; media_execucao_fisica: NUMERIC,mapa_nacional_rural,empreendimento_rural_mapa_nacional_rural
