dataset_id,schema,table_name,dataset_front,sample_term,sharepoint_content_match,sharepoint_match_count,sharepoint_examples
32,empreendimento_far,ficha_empreendimento,far,63269705,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250602_040119.csv
32,empreendimento_far,ficha_empreendimento,far,RESIDENCIAL PARQUE IGARASSU I,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250602_040119.csv
32,empreendimento_far,ficha_empreendimento,far,Igarassu,True,5,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv | OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250512_040113.csv | OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250515_040114.csv | OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250520_120000.csv | OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250602_040119.csv
32,empreendimento_far,ficha_empreendimento,far,63234766,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250520_120000.csv
32,empreendimento_far,ficha_empreendimento,far,RESIDENCIAL DOS IPES II,True,2,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv | OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250520_120000.csv
32,empreendimento_far,ficha_empreendimento,far,Corumbá,True,2,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv | OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250520_120000.csv
32,empreendimento_far,ficha_empreendimento,far,63006745,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250520_120000.csv
32,empreendimento_far,ficha_empreendimento,far,RESIDENCIAL SIQUEIRA I,True,2,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv | OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250520_120000.csv
32,empreendimento_far,ficha_empreendimento,far,Maracanaú,True,2,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv | OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FAR_20250520_120000.csv
32,empreendimento_far,ficha_empreendimento,far,Não informada,False,0,
34,empreendimento_far,panorama_estadual,far,ACRE,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv
34,empreendimento_far,panorama_estadual,far,ALAGOAS,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv
34,empreendimento_far,panorama_estadual,far,AMAZONAS,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv
34,empreendimento_far,panorama_estadual,far,AMAPÁ,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv
35,empreendimento_far,mapa_nacional,far,Nordeste,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv
35,empreendimento_far,mapa_nacional,far,Amazonas,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv
35,empreendimento_far,mapa_nacional,far,Distrito Federal,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv
35,empreendimento_far,mapa_nacional,far,Centro-Oeste,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv
35,empreendimento_far,mapa_nacional,far,Espírito Santo,True,1,OneDrive_2026-08-19 (3).zip::Novo MCMV - FAR/HIS_MCIDADES_CONSOLIDADO_20260209.csv
