dataset_id,schema,table_name,row_count_postgres,postgres_colunas_qtd,postgres_colunas,colunas_amostradas,erro
32,empreendimento_far,ficha_empreendimento,1646,31,apf; portaria_selecao; nome_empreendimento; proponente_cnpj; nome_proponente; tomador_cnpj; nome_tomador; agente_financeiro; quantidade_uh; pessoas_atendidas; tipologia; municipio; uf; municipio_uf; apf_municipio_empreendimento; metodo; demanda; situacao_empreendimento; status_execucao_simplificado; valor_contratado; valor_aporte_adicional; valor_por_uh; dt_contratacao; percentual_execucao_fisica; dt_previsao_entrega; dt_conclusao_obra; dt_entrega; status_prazo; valor_desembolsado; percentual_execucao_financeira; ritmo_fisico_financeiro,apf; nome_empreendimento; municipio; uf; portaria_selecao,
34,empreendimento_far,panorama_estadual,1366,12,uf; estado; secao; dimensao; ordem; qtd_empreendimentos; qtd_uhs; valor_1; valor_2; valor_3; valor_4; total_empreendimentos_uf,uf; estado; secao; dimensao; ordem,
35,empreendimento_far,mapa_nacional,32,12,uf; estado_nome; iso_3166_2; regiao_sigla; regiao_nome; nivel; total_municipios; total_empreendimentos; total_uhs; total_valor_contratado; total_valor_desembolsado; media_execucao_fisica,uf; estado_nome; iso_3166_2; regiao_sigla; regiao_nome,
80,empreendimento_far,execucao_fisica_financeira_chart,17366,5,apf; apf_municipio_empreendimento; mes; pct_obra_realizada; pct_executado_financeiro,apf; apf_municipio_empreendimento; mes; pct_obra_realizada; pct_executado_financeiro,
82,entidades_fds,fds_ficha_empreendimento,343,47,apf; nome_empreendimento; cnpj_eo; cnpj_eo_formatado; nome_eo; agente_financeiro; quantidade_uh; pessoas_atendidas; tipologia; co_regime_obra; regime_obra; co_modalidade; modalidade; municipio; uf; municipio_uf; iso_3166_2; regiao_nome; gps_lat_grau; gps_lat_minuto; gps_lat_segundo; gps_long_grau; gps_long_minuto; gps_long_segundo; apf_municipio_empreendimento; situacao_gefus; semaforo_alerta; indicativo_paralisacao; valor_contratado; valor_financiamento_fds; valor_contrapartidas; valor_por_uh; dt_contratacao; valor_desembolsado; percentual_execucao_financeira; percentual_obra_prevista; percentual_execucao_fisica; dt_inicio_obra; dt_previsao_conclusao; dt_conclusao_obra; divergencia_fisico_financeira; status_ritmo_obra; qt_uh_alienadas; pct_entrega; dt_entrega; status_entrega; pct_execucao_ts,apf; nome_empreendimento; municipio; uf; nome_eo; cnpj_eo,
84,entidades_fds,fds_evolucao_financeira_chart,306,18,apf; cnpj_eo; nome_eo; apf_municipio_empreendimento; mes; ano; trimestre; valor_liberado_mensal; valor_obra_mensal; valor_terreno_mensal; valor_ts_mensal; valor_projeto_mensal; valor_incc_mensal; valor_desembolsado_acumulado; percentual_execucao_financeira; percentual_execucao_fisica; municipio; uf,apf; municipio; uf; nome_eo; cnpj_eo,
86,empreendimento_rural,ficha_empreendimento_rural,10402,35,apf; agente_financeiro; programa; nome_empreendimento; nome_entidade_organizadora; entidade_organizadora_cnpj; nome_construtora; construtora_cnpj; quantidade_uh; quantidade_uh_entregues; quantidade_uh_vigentes; co_tipologia; co_regime_obra; modalidade; pessoas_atendidas; tipologia; municipio; uf; municipio_uf; apf_municipio_empreendimento; latitude; longitude; situacao_empreendimento; status_execucao_simplificado; valor_contratado; valor_aporte_adicional; valor_por_uh; dt_contratacao; percentual_execucao_fisica; dt_previsao_entrega; dt_conclusao_obra; status_prazo; valor_desembolsado; percentual_execucao_financeira; ritmo_fisico_financeiro,apf; nome_empreendimento; municipio; uf; entidade_organizadora_cnpj,
87,empreendimento_rural,panorama_estadual_rural,326,12,uf; estado; secao; dimensao; ordem; qtd_empreendimentos; qtd_uhs; valor_1; valor_2; valor_3; valor_4; total_empreendimentos_uf,uf; estado; secao; dimensao; ordem,
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,59004,5,apf; apf_municipio_empreendimento; mes; pct_obra_realizada; pct_executado_financeiro,apf; apf_municipio_empreendimento; mes; pct_obra_realizada; pct_executado_financeiro,
89,empreendimento_rural,mapa_nacional_rural,32,12,uf; estado_nome; iso_3166_2; regiao_sigla; regiao_nome; nivel; total_municipios; total_empreendimentos; total_uhs; total_valor_contratado; total_valor_desembolsado; media_execucao_fisica,uf; estado_nome; iso_3166_2; regiao_sigla; regiao_nome,
90,empreendimento_rural,perfil_beneficiarios,103,15,apf; nome_empreendimento; municipio; uf; programa; quantidade_uh; total_beneficiarios_cadastrados; media_pessoas_familia; total_mulheres; percentual_mulheres; total_beneficiarios_bolsa_familia; percentual_bolsa_familia; total_beneficiarios_bpc; percentual_bpc; renda_familiar_media,apf; nome_empreendimento; municipio; uf; programa,
91,empreendimento_rural,infraestrutura_agua_saneamento,10402,12,apf; nome_empreendimento; municipio; uf; programa; agente_financeiro; quantidade_uh; qt_cisternas; qt_efluentes; valor_investimento_cisternas; valor_investimento_efluentes; valor_investimento_saneamento_total,apf; nome_empreendimento; municipio; uf; programa,
