dataset_id,schema,table_name,row_num,sample_json
32,empreendimento_far,ficha_empreendimento,1,"{""apf"": ""63269705"", ""nome_empreendimento"": ""RESIDENCIAL PARQUE IGARASSU I"", ""municipio"": ""Igarassu"", ""uf"": ""PE"", ""portaria_selecao"": ""1262""}"
32,empreendimento_far,ficha_empreendimento,2,"{""apf"": ""63269705"", ""nome_empreendimento"": ""RESIDENCIAL PARQUE IGARASSU I"", ""municipio"": ""Igarassu"", ""uf"": ""PE"", ""portaria_selecao"": ""1262""}"
32,empreendimento_far,ficha_empreendimento,3,"{""apf"": ""63234766"", ""nome_empreendimento"": ""RESIDENCIAL DOS IPES II"", ""municipio"": ""Corumbá"", ""uf"": ""MS"", ""portaria_selecao"": ""1182""}"
32,empreendimento_far,ficha_empreendimento,4,"{""apf"": ""63234766"", ""nome_empreendimento"": ""RESIDENCIAL DOS IPES II"", ""municipio"": ""Corumbá"", ""uf"": ""MS"", ""portaria_selecao"": ""1182""}"
32,empreendimento_far,ficha_empreendimento,5,"{""apf"": ""63006745"", ""nome_empreendimento"": ""RESIDENCIAL SIQUEIRA I"", ""municipio"": ""Maracanaú"", ""uf"": ""CE"", ""portaria_selecao"": ""Não informada""}"
32,empreendimento_far,ficha_empreendimento,6,"{""apf"": ""63006745"", ""nome_empreendimento"": ""RESIDENCIAL SIQUEIRA I"", ""municipio"": ""Maracanaú"", ""uf"": ""CE"", ""portaria_selecao"": ""Não informada""}"
32,empreendimento_far,ficha_empreendimento,7,"{""apf"": ""63262977"", ""nome_empreendimento"": ""RESIDENCIAL ALEGRIA"", ""municipio"": ""Bagé"", ""uf"": ""RS"", ""portaria_selecao"": ""967""}"
32,empreendimento_far,ficha_empreendimento,8,"{""apf"": ""63262977"", ""nome_empreendimento"": ""RESIDENCIAL ALEGRIA"", ""municipio"": ""Bagé"", ""uf"": ""RS"", ""portaria_selecao"": ""967""}"
34,empreendimento_far,panorama_estadual,1,"{""uf"": ""AC"", ""estado"": ""ACRE"", ""secao"": ""header"", ""dimensao"": ""resumo"", ""ordem"": 0}"
34,empreendimento_far,panorama_estadual,2,"{""uf"": ""AC"", ""estado"": ""ACRE"", ""secao"": ""header"", ""dimensao"": ""resumo"", ""ordem"": 0}"
34,empreendimento_far,panorama_estadual,3,"{""uf"": ""AL"", ""estado"": ""ALAGOAS"", ""secao"": ""header"", ""dimensao"": ""resumo"", ""ordem"": 0}"
34,empreendimento_far,panorama_estadual,4,"{""uf"": ""AL"", ""estado"": ""ALAGOAS"", ""secao"": ""header"", ""dimensao"": ""resumo"", ""ordem"": 0}"
34,empreendimento_far,panorama_estadual,5,"{""uf"": ""AM"", ""estado"": ""AMAZONAS"", ""secao"": ""header"", ""dimensao"": ""resumo"", ""ordem"": 0}"
34,empreendimento_far,panorama_estadual,6,"{""uf"": ""AM"", ""estado"": ""AMAZONAS"", ""secao"": ""header"", ""dimensao"": ""resumo"", ""ordem"": 0}"
34,empreendimento_far,panorama_estadual,7,"{""uf"": ""AP"", ""estado"": ""AMAPÁ"", ""secao"": ""header"", ""dimensao"": ""resumo"", ""ordem"": 0}"
34,empreendimento_far,panorama_estadual,8,"{""uf"": ""AP"", ""estado"": ""AMAPÁ"", ""secao"": ""header"", ""dimensao"": ""resumo"", ""ordem"": 0}"
35,empreendimento_far,mapa_nacional,1,"{""uf"": ""AC"", ""estado_nome"": ""Acre"", ""iso_3166_2"": ""BR-AC"", ""regiao_sigla"": ""N"", ""regiao_nome"": ""Norte""}"
35,empreendimento_far,mapa_nacional,2,"{""uf"": ""AL"", ""estado_nome"": ""Alagoas"", ""iso_3166_2"": ""BR-AL"", ""regiao_sigla"": ""NE"", ""regiao_nome"": ""Nordeste""}"
35,empreendimento_far,mapa_nacional,3,"{""uf"": ""AM"", ""estado_nome"": ""Amazonas"", ""iso_3166_2"": ""BR-AM"", ""regiao_sigla"": ""N"", ""regiao_nome"": ""Norte""}"
35,empreendimento_far,mapa_nacional,4,"{""uf"": ""AP"", ""estado_nome"": ""Amapá"", ""iso_3166_2"": ""BR-AP"", ""regiao_sigla"": ""N"", ""regiao_nome"": ""Norte""}"
35,empreendimento_far,mapa_nacional,5,"{""uf"": ""BA"", ""estado_nome"": ""Bahia"", ""iso_3166_2"": ""BR-BA"", ""regiao_sigla"": ""NE"", ""regiao_nome"": ""Nordeste""}"
35,empreendimento_far,mapa_nacional,6,"{""uf"": ""CE"", ""estado_nome"": ""Ceará"", ""iso_3166_2"": ""BR-CE"", ""regiao_sigla"": ""NE"", ""regiao_nome"": ""Nordeste""}"
35,empreendimento_far,mapa_nacional,7,"{""uf"": ""DF"", ""estado_nome"": ""Distrito Federal"", ""iso_3166_2"": ""BR-DF"", ""regiao_sigla"": ""CO"", ""regiao_nome"": ""Centro-Oeste""}"
35,empreendimento_far,mapa_nacional,8,"{""uf"": ""ES"", ""estado_nome"": ""Espírito Santo"", ""iso_3166_2"": ""BR-ES"", ""regiao_sigla"": ""SE"", ""regiao_nome"": ""Sudeste""}"
80,empreendimento_far,execucao_fisica_financeira_chart,1,"{""apf"": ""61457336"", ""apf_municipio_empreendimento"": ""61457336 - Jaguariúna/SP - RESIDENCIAL POR DO SOL"", ""mes"": ""2024-09-01"", ""pct_obra_realizada"": ""0.0"", ""pct_executado_financeiro"": ""1.60""}"
80,empreendimento_far,execucao_fisica_financeira_chart,2,"{""apf"": ""61457336"", ""apf_municipio_empreendimento"": ""61457336 - Jaguariúna/SP - RESIDENCIAL POR DO SOL"", ""mes"": ""2024-09-01"", ""pct_obra_realizada"": ""0.0"", ""pct_executado_financeiro"": ""1.60""}"
