dataset_id,database,schema,table_name,frente_primaria,sharepoint_match_nome,sharepoint_tem_frente,minio_bucket_match_nome,minio_bucket_tem_frente,minio_staging_match_nome,minio_staging_tem_frente,colunas_qtd,metricas_qtd,colunas_amostra
1,cidades,public,fipezap_locacao_dez_25,cidades,False,False,False,False,False,False,10,1,; ; ; ; ; ; ; ; ; 
16,cidades,bacen,financiamentos_imobiliarios,cidades,False,False,True,False,False,False,4,1,; ; ; 
2,cidades,public,fipezap_locacao_nov_25,cidades,False,False,False,False,False,False,10,1,; ; ; ; ; ; ; ; ; 
3,cidades,public,fipezap_locacao_out_25,cidades,False,False,False,False,False,False,10,1,; ; ; ; ; ; ; ; ; 
4,cidades,public,fipezap_venda_out_25,cidades,False,False,False,False,False,False,9,1,; ; ; ; ; ; ; ; 
5,cidades,public,fipezap_venda_nov_25,cidades,False,False,False,False,False,False,9,1,; ; ; ; ; ; ; ; 
17,cidades,ibge,pib_construcao,cidades,False,False,True,False,False,False,7,1,; ; ; ; ; ; 
6,cidades,public,fipezap_venda_dez_25,cidades,False,False,False,False,False,False,9,1,; ; ; ; ; ; ; ; 
7,cidades,public,incc_valor,cidades,False,False,False,False,False,False,2,1,; 
8,cidades,public,incc_porcentagem,cidades,False,False,False,False,False,False,2,1,; 
9,cidades,public,inccm_valor,cidades,False,False,False,False,False,False,2,1,; 
18,cidades,ibge,sinapi,cidades,False,False,True,False,False,False,7,1,; ; ; ; ; ; 
10,cidades,public,icst_sem_sazonal,cidades,False,False,False,False,False,False,2,1,; 
11,cidades,public,icst_com_sazonal,cidades,False,False,False,False,False,False,2,1,; 
44,Cidades-Conjuntura,conjuntura_gold,gold_financiamento_pf_por_faixa,cidades,False,False,False,False,False,False,9,1,; ; ; ; ; ; ; ; 
12,cidades,public,ivar,cidades,False,False,False,False,False,False,2,1,; 
13,cidades,public,igpm,cidades,False,False,False,False,False,False,2,1,; 
45,Cidades-Conjuntura,conjuntura_gold,gold_financiamentos_habitacionais,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
14,cidades,public,icc_sazonal,cidades,False,False,False,False,False,False,2,1,; 
15,cidades,public,icc_sem_sazonal,cidades,False,False,False,False,False,False,2,1,; 
46,Cidades-Conjuntura,conjuntura_gold,gold_financiamentos_imobiliarios,cidades,False,False,False,False,False,False,10,1,; ; ; ; ; ; ; ; ; 
50,Cidades-Conjuntura,conjuntura_gold,gold_pib_construcao_civil,cidades,False,False,False,False,False,False,9,1,; ; ; ; ; ; ; ; 
48,Cidades-Conjuntura,conjuntura_gold,gold_indicadores_financiamento_pf,cidades,False,False,False,False,False,False,19,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
49,Cidades-Conjuntura,conjuntura_gold,gold_indices_mercado_imobiliario,cidades,False,False,False,False,False,False,8,1,; ; ; ; ; ; ; 
52,Cidades-Conjuntura,conjuntura_gold,gold_saldo_caderneta_poupanca,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
53,Cidades-Conjuntura,conjuntura_gold,gold_ticket_medio_vs_incc,cidades,False,False,False,False,False,False,13,1,; ; ; ; ; ; ; ; ; ; ; ; 
51,Cidades-Conjuntura,conjuntura_gold,gold_precos_construcao,cidades,False,False,False,False,False,False,11,1,; ; ; ; ; ; ; ; ; ; 
54,Cidades-Conjuntura,conjuntura_gold,gold_uh_condicao_uso,cidades,False,False,False,False,False,False,11,1,; ; ; ; ; ; ; ; ; ; 
47,Cidades-Conjuntura,conjuntura_gold,gold_ibge_pnad_construcao,cidades,False,False,False,False,False,False,14,1,; ; ; ; ; ; ; ; ; ; ; ; ; 
43,Cidades-Conjuntura,conjuntura_gold,gold_fgts_renda_familiar,cidades,False,False,False,False,False,False,10,1,; ; ; ; ; ; ; ; ; 
42,Cidades-Conjuntura,conjuntura_gold,gold_empregos_construcao,cidades,False,False,False,False,False,False,13,1,; ; ; ; ; ; ; ; ; ; ; ; 
19,cidades,ibge,Preços SINAPI,cidades,False,False,False,False,False,False,2,1,; 
26,cidades,bacen,Untitled Query 1 03/17/2026 09:43:50,cidades,False,False,False,False,False,False,2,1,; 
20,cidades,abrecip,imob,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
35,cidades,empreendimento_far,mapa_nacional,far,False,True,False,True,False,False,12,1,; ; ; ; ; ; ; ; ; ; ; 
21,cidades,abrecip,latitude_longitude_cidades,cidades,False,False,False,False,False,False,5,1,; ; ; ; 
31,cidades,__dados_brutos,bronze_snh_empreendimentos,cidades,False,False,False,False,False,False,18,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
33,cidades,empreendimento_far,resumo_gerencial,far,False,True,False,True,False,False,11,1,; ; ; ; ; ; ; ; ; ; 
27,cidades,__dados_brutos,mart_far_execucao_financeira,far,False,True,False,True,False,False,8,1,; ; ; ; ; ; ; 
23,Cidades,abrecip,tenda4t25,cidades,False,False,False,False,False,False,9,1,; ; ; ; ; ; ; ; 
34,cidades,empreendimento_far,panorama_estadual,far,False,True,False,True,False,False,12,1,; ; ; ; ; ; ; ; ; ; ; 
28,cidades,__dados_brutos,mart_far_execucao_fisica,far,False,True,False,True,False,False,5,1,; ; ; ; 
29,cidades,__dados_brutos,bronze_novo_mcmv_far_consolidado,far,False,True,False,True,False,False,46,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
24,cidades,abrecip,cury4t25,cidades,False,False,False,False,False,False,9,1,; ; ; ; ; ; ; ; 
32,cidades,empreendimento_far,ficha_empreendimento,far,False,True,False,True,False,False,31,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
25,cidades,abrecip,financiamentos_imobiliarios,cidades,False,False,True,False,False,False,5,1,; ; ; ; 
38,Cidades-Conjuntura,conjuntura_gold,gold_cbic_lancamentos,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
37,Cidades-Conjuntura,conjuntura_gold,gold_balancos_empresas_vendas,cidades,False,False,False,False,False,False,8,1,; ; ; ; ; ; ; 
36,Cidades-Conjuntura,conjuntura_gold,gold_balancos_empresas_lancamentos,cidades,False,False,False,False,False,False,8,1,; ; ; ; ; ; ; 
39,Cidades-Conjuntura,conjuntura_gold,gold_cbic_lancamentos_regiao,cidades,False,False,False,False,False,False,9,1,; ; ; ; ; ; ; ; 
40,Cidades-Conjuntura,conjuntura_gold,gold_cbic_vendas,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
41,Cidades-Conjuntura,conjuntura_gold,gold_cbic_vendas_regiao,cidades,False,False,False,False,False,False,9,1,; ; ; ; ; ; ; ; 
58,cidades,conjuntura_gold,ConjunturaICST,cidades,False,False,False,False,False,False,3,1,; ; 
55,cidades,conjuntura_gold,Conjuntura,cidades,False,False,False,False,False,False,3,1,; ; 
56,cidades,conjuntura_gold,Query public.ivar,cidades,False,False,False,False,False,False,3,1,; ; 
57,cidades,conjuntura_gold,ConjunturaAbramat,cidades,False,False,False,False,False,False,3,1,; ; 
65,cidades,conjuntura_gold,ConjunturaCbicLancamentos,cidades,False,False,False,False,False,False,4,1,; ; ; 
115,Cidades,conjuntura_continuo_mart,gold_continuo_incc_m,cidades,False,False,False,False,False,False,5,1,; ; ; ; 
68,cidades,conjuntura_gold,ConjunturaLancamentosRegiao,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
63,cidades,conjuntura_gold,ConjunturaFinanciamentoPF,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
66,cidades,conjuntura_gold,ConjunturaCbicVendas,cidades,False,False,False,False,False,False,5,1,; ; ; ; 
61,cidades,conjuntura_gold,ConjunturaINCCM,cidades,False,False,False,False,False,False,3,1,; ; 
64,cidades,conjuntura_gold,ConjunturaPibConstrucaoCivil,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
62,cidades,conjuntura_gold,ConjunturaSaldoCadernetaDePoupanca,cidades,False,False,False,False,False,False,3,1,; ; 
92,cidades,conjuntura_silver,silver_bacen_credito_imobiliario_pib,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
67,cidades,conjuntura_gold,ConjunturaCBICLancamentos,cidades,False,False,False,False,False,False,5,1,; ; ; ; 
127,Cidades,conjuntura_continuo_mart,gold_continuo_uh_condicao_uso,cidades,False,False,False,False,False,False,8,1,; ; ; ; ; ; ; 
119,Cidades,conjuntura_continuo_mart,gold_continuo_pib_construcao_civil,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
123,Cidades,conjuntura_continuo_mart,gold_continuo_producao_fisica,cidades,False,False,False,False,False,False,8,1,; ; ; ; ; ; ; 
124,Cidades,conjuntura_continuo_mart,gold_continuo_saldo_poupanca,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
113,Cidades,conjuntura_continuo_mart,gold_continuo_funding,cidades,False,False,False,False,False,False,11,1,; ; ; ; ; ; ; ; ; ; 
73,cidades,conjuntura_gold,ConjunturaFinanciamentosHabitacionais,cidades,False,False,False,False,False,False,4,1,; ; ; 
69,cidades,conjuntura_gold,ConjunturaVendasRegiao,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
77,cidades,conjuntura_gold,ConjunturaNovosFinanciamentosJanMar25,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
71,cidades,conjuntura_gold,ConjunturaVendasEmpresas,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
70,cidades,conjuntura_gold,QueryLancametnosEmpresas,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
72,cidades,conjuntura_gold,ConjunturaFinanciamentosImobiliarios,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
75,cidades,conjuntura_gold,ConjunturaRendimentoMedioReal,cidades,False,False,False,False,False,False,4,1,; ; ; 
78,Cidades-Conjuntura,conjuntura_gold,gold_abecip_novos_financiamentos_imobiliarios,cidades,False,False,False,False,False,False,13,1,; ; ; ; ; ; ; ; ; ; ; ; 
