camada,schema,modelo,alias,n_colunas,product,layer,tier
bronze,dados_historicos,bronze_sftp_empreendimento_int040,bronze_sftp_empreendimento_int040,5,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_sftp_empreendimento_int054,bronze_sftp_empreendimento_int054,5,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_sftp_empreendimento_int057,bronze_sftp_empreendimento_int057,5,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_sftp_empreendimento_int059,bronze_sftp_empreendimento_int059,5,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_sftp_empreendimento_int065,bronze_sftp_empreendimento_int065,5,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_dhist_empreendimento_snh_bb,bronze_dhist_empreendimento_snh_bb,8,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_dhist_empreendimento_snh_caixa,bronze_dhist_empreendimento_snh_caixa,11,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_shpt_obra_mensal_far,bronze_shpt_obra_mensal_far,6,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_shpt_obra_mensal_fds,bronze_shpt_obra_mensal_fds,6,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_shpt_obra_mensal_rural,bronze_shpt_obra_mensal_rural,6,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_dhist_serie_bases_relatorio_executivo,bronze_dhist_serie_bases_relatorio_executivo,15,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_dhist_serie_bext,bronze_dhist_serie_bext,8,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_dhist_serie_entrada_bb,bronze_dhist_serie_entrada_bb,10,mcmv_historico,bronze,Tier.Tier3
bronze,dados_historicos,bronze_dhist_serie_min_cidades,bronze_dhist_serie_min_cidades,6,mcmv_historico,bronze,Tier.Tier3
bronze,reloginho,bronze_dhist_snh_entregas_evento_bb,bronze_dhist_snh_entregas_evento_bb,8,reloginho,bronze,Tier.Tier3
bronze,reloginho,bronze_dhist_snh_entregas_evento_caixa,bronze_dhist_snh_entregas_evento_caixa,8,reloginho,bronze,Tier.Tier3
gold,dados_historicos,ouro_dhist_marco_empreendimento,ouro_dhist_marco_empreendimento,10,mcmv_historico,gold,Tier.Tier1
gold,dados_historicos,ouro_dhist_serie_mensal,ouro_dhist_serie_mensal,20,mcmv_historico,gold,Tier.Tier1
gold,dados_historicos,ouro_dhist_serie_situacao_mensal,ouro_dhist_serie_situacao_mensal,12,mcmv_historico,gold,Tier.Tier1
gold,dados_historicos,ouro_dhist_snapshot_empreendimento_atual,ouro_dhist_snapshot_empreendimento_atual,35,mcmv_historico,gold,Tier.Tier1
gold,reloginho,ouro_reloginho_indicadores_gargalo_desempenho,ouro_reloginho_indicadores_gargalo_desempenho,27,reloginho,gold,Tier.Tier1
gold,reloginho,ouro_reloginho_indicadores,ouro_reloginho_indicadores,7,reloginho,gold,Tier.Tier1
gold,reloginho,ouro_reloginho_indicadores_entregas,ouro_reloginho_indicadores_entregas,6,reloginho,gold,Tier.Tier1
gold,reloginho,ouro_reloginho_indicadores_frente,ouro_reloginho_indicadores_frente,8,reloginho,gold,Tier.Tier1
gold,reloginho,ouro_reloginho_resumo_gargalo_desempenho_dashboard,ouro_reloginho_resumo_gargalo_desempenho_dashboard,29,reloginho,gold,Tier.Tier1
gold,reloginho,ouro_reloginho_resumo_dashboard,ouro_reloginho_resumo_dashboard,8,reloginho,gold,Tier.Tier1
silver,dados_historicos,prata_dhist_entrega_apf,prata_dhist_entrega_apf,7,mcmv_historico,silver,Tier.Tier2
silver,dados_historicos,prata_dhist_serie_executiva,prata_dhist_serie_executiva,25,mcmv_historico,silver,Tier.Tier2
silver,empreendimento_far,prata_far_historico_empreendimento,silver_historico_empreendimento,77,mcmv_historico,silver,Tier.Tier2
silver,empreendimento_rural,prata_rural_historico_empreendimento,silver_historico_empreendimento,77,mcmv_historico,silver,Tier.Tier2
silver,empreendimentos_fds,prata_fds_historico_empreendimento,silver_historico_empreendimento,77,mcmv_historico,silver,Tier.Tier2
silver,reloginho,prata_dhist_snh_apf_mes,prata_dhist_snh_apf_mes,14,reloginho,silver,Tier.Tier2
silver,reloginho,prata_dhist_snh_entregas_mes,prata_dhist_snh_entregas_mes,5,reloginho,silver,Tier.Tier2
