programa,frente,arquivo,snapshot,uf,linhas,contratos,vr_evento
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,PA,10280,10280,141850709.95
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,BA,5104,5104,77950807.81
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,SP,4668,4668,80539579.62
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,MG,3624,3624,61719073.48
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,MA,3370,3370,46791681.08
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,RJ,2266,2266,35434151.97
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,CE,2195,2195,32838676.04
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,RS,2041,2041,34150487.08
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,PE,1959,1959,29391119.06
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,GO,1673,1673,29145837.01
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,AC,1665,1665,26269235.26
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,PR,1595,1595,27542813.63
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,PI,1415,1415,20885072.93
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,AM,1249,1249,17737244.12
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,PB,896,896,13319145.51
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,MT,878,878,15000473.49
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,SC,877,877,15265508.61
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,ES,832,832,14407308.38
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,AL,802,802,12046168.16
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,RN,786,786,11036624.96
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,TO,655,655,11732329.67
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,SE,630,630,10349158.69
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,RO,509,509,8317859.32
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,MS,487,487,7973859.49
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,AP,411,411,5807682.59
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,DF,374,374,6373432.64
Reforma Casa Brasil,Reforma Casa Brasil - base consolidada,raw/reforma_casa_brasil_contratacao.csv,consolidado referencia,RR,271,271,4604557.72
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,SP,15235,15235,423979701.38
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,PA,14704,14704,253932788.34
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,MG,12319,12319,345928894.99
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,BA,11144,11144,243529914.57
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,PR,6374,6374,190708236.08
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,RS,6066,6066,163969824.45
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,MA,5718,5718,102991456.43
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,RJ,5611,5611,141012476.34
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,GO,5132,5132,141535318.1
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,AL,5068,5068,113201085.91
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,CE,4636,4636,100678785.75
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,PE,4483,4483,94025769.95
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,SC,4417,4417,142390384.29
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,AC,3032,3032,61455183.03
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,PI,2943,2943,59830058.58
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,ES,2616,2616,74259479.56
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,MT,2290,2290,61802534.4
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,AM,2140,2140,41582389.45
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,PB,1986,1986,43228569.21
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,RN,1756,1756,38880311.99
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,SE,1654,1654,38618763.24
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,RO,1654,1654,43292993.88
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,MS,1565,1565,42877545.87
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,TO,1496,1496,36289189.37
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,DF,1137,1137,32361241.94
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,AP,721,721,14697391.26
Reforma Casa Brasil,Reforma Casa Brasil - snapshot SFTP,raw/PMCMV_REFORMAS_MCID_2026_07_31.csv,2026-07-31,RR,510,510,11799955.43
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,SP,34619,34619,7098250240.37
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,PR,16408,16408,3631603569.92
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,MG,15222,15222,3168220868.15
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,GO,14765,14765,3371886501.92
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,SC,11090,11090,2616191376.7
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,RS,10227,10227,2119036499.55
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,RJ,5718,5718,1079156823.48
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,BA,3308,3308,645961643.34
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,CE,2865,2865,553462822.02
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,MT,2782,2782,579050070.68
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,MS,2431,2431,481404485.27
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,PE,2325,2325,439230792.18
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,DF,1318,1318,256751213.93
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,PB,1280,1280,246278140.68
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,RO,1278,1278,249951934.4
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,MA,1073,1073,196916812.42
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,PA,1029,1029,188480089.78
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,ES,1019,1019,212287295.23
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,RN,942,942,164056184.42
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,SE,915,915,159440267.53
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,AL,784,784,147884077.22
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,TO,560,560,109345611.28
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,PI,458,458,79937034.27
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,AM,399,399,66547743.26
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,AC,155,155,27813171.61
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,RR,111,111,22234497.37
MCMV Financiado,Faixa 3 / FGTS,raw/PMCMV_FAIXA3_MCID_2026_07_31.csv,2026-07-31,AP,69,69,13932021.97
