data_arquivo,modalidade,linhas,uh_contratadas,valor_contratado,agentes
2025-08-15,Entidades,1,128,2681551.26,CAIXA
2025-08-15,RURAL,12,251,18825000.0,CAIXA
2025-08-22,Entidades,4,356,13808355.8,CAIXA
2025-08-22,RURAL,32,738,54895000.0,CAIXA
2025-08-29,Entidades,4,356,13808355.8,CAIXA
2025-08-29,RURAL,58,1587,118377625.8,CAIXA
2025-09-05,Entidades,5,408,26621155.8,CAIXA
2025-09-05,RURAL,58,1587,118377625.8,CAIXA
2025-09-12,Entidades,25,2168,190682332.45999998,CAIXA
2025-09-12,RURAL,121,4155,309910000.0,CAIXA
2025-09-19,Entidades,36,3128,282756192.64,CAIXA
2025-09-19,FAR,1,600,119998740.9,CAIXA
2025-09-19,RURAL,230,7263,542187625.8,CAIXA
2025-09-26,Entidades,19,1641,174384106.69999996,CAIXA
2025-09-26,RURAL,60,1348,100742138.12,CAIXA
2025-10-03,Entidades,30,2634,341563176.77000004,CAIXA
2025-10-03,RURAL,106,2424,180767226.16,CAIXA
2025-10-10,Entidades,32,2460,341318657.24,CAIXA
2025-10-10,RURAL,7,119,8505000.0,CAIXA
2025-10-17,Entidades,33,2510,342047983.74,CAIXA
2025-10-17,RURAL,63,1301,93836752.52,CAIXA
2025-10-24,Entidades,68,5375,714131738.2900001,CAIXA
2025-10-24,FAR,1,807,161400000.0,CAIXA
2025-10-24,RURAL,334,7915,583064359.14,CAIXA
2025-10-31,Entidades,35,2641,367013134.61,CAIXA
2025-10-31,FAR,1,807,161400000.0,CAIXA
2025-10-31,RURAL,94,1910,137397680.6,CAIXA
2025-11-07,Entidades,35,2641,367013134.6100001,CAIXA
2025-11-07,FAR,1,807,161400000.0,CAIXA
2025-11-07,RURAL,96,1979,142572680.6,CAIXA
2025-11-14,Entidades,38,2763,385662563.92,CAIXA
2025-11-14,FAR,1,807,161400000.0,CAIXA
2025-11-14,RURAL,107,2254,163197680.6,CAIXA
2025-11-21,Entidades,2,192,3011999.7,CAIXA
2025-11-21,RURAL,8,322,24150000.0,CAIXA
2025-11-28,Entidades,1,100,1566586.0,CAIXA
2025-11-28,RURAL,3,69,5175000.0,CAIXA
2025-12-05,Entidades,1,100,1566586.0,CAIXA
2025-12-05,FAR,1,176,35200000.0,CAIXA
2025-12-05,RURAL,3,69,5175000.0,CAIXA
2025-12-12,Entidades,3,128,22928234.64,CAIXA
2025-12-19,Entidades,1,28,6188372.25,CAIXA
2025-12-19,RURAL,1,8,688000.0,CAIXA
2025-12-26,Entidades,6,428,40426405.8,CAIXA
2025-12-26,FAR,1,176,35200000.0,CAIXA
2025-12-26,RURAL,5,125,9463000.0,CAIXA
2026-01-02,Entidades,5,558,99160937.00999999,CAIXA
2026-01-02,RURAL,1,8,688000.0,CAIXA
2026-01-09,Entidades,15,1471,254861442.67000005,CAIXA
2026-01-09,FAR,3,192,32736000.0,CAIXA
2026-01-09,RURAL,3,23,1978000.0,CAIXA
2026-01-16,Entidades,16,1529,255901407.67000002,CAIXA
2026-01-16,FAR,3,192,32736000.0,CAIXA
2026-01-16,RURAL,3,23,1978000.0,CAIXA
2026-01-23,Entidades,17,1617,276814706.25,CAIXA
2026-01-23,FAR,3,192,32736000.0,CAIXA
2026-01-23,RURAL,3,23,1978000.0,CAIXA
2026-01-30,Entidades,17,1616,276650216.32000005,CAIXA
2026-01-30,FAR,3,192,32736000.0,CAIXA
2026-01-30,RURAL,4,30,2580000.0,CAIXA
2026-02-06,Entidades,2,384,32353842.43,CAIXA
2026-02-06,RURAL,1,7,602000.0,CAIXA
2026-02-13,Entidades,2,384,32353842.43,CAIXA
2026-02-13,RURAL,3,63,4802000.0,CAIXA
2026-02-20,Entidades,2,88,7702160.779999999,CAIXA
2026-02-20,FAR,1,240,40320000.0,CAIXA
2026-02-27,Entidades,6,854,152639490.64,CAIXA
2026-03-06,Entidades,6,854,152639490.64,CAIXA
2026-03-13,Entidades,7,1223,206658278.31999996,CAIXA
2026-03-13,FAR,1,120,24000000.0,CAIXA
2026-03-20,Entidades,4,843,178301634.54999998,CAIXA
2026-03-27,Entidades,13,2077,359297768.9599999,CAIXA
2026-03-27,FAR,4,4470,47495000.0,CAIXA
2026-03-27,RURAL,1,26,1950000.0,CAIXA
2026-04-03,Entidades,5,979,207829119.54000002,CAIXA
2026-04-03,FAR,2,4200,395000.0,CAIXA
2026-04-10,Entidades,11,1772,307646275.44,CAIXA
2026-04-10,FAR,5,4696,90419000.0,CAIXA
2026-04-17,Entidades,1,148,26861755.8,CAIXA
2026-04-17,RURAL,13,120,10320000.0,CAIXA
2026-05-05,Entidades,1,148,26861755.8,CAIXA
2026-05-05,FAR,6,809,146420600.0,CAIXA
2026-05-08,Entidades,1,148,26861755.8,CAIXA
2026-05-08,FAR,6,809,146420600.0,CAIXA
2026-05-15,FAR,9,1296,220968000.0,CAIXA
2026-05-22,FAR,3,432,73656000.0,CAIXA
2026-05-29,Entidades,1,148,26861755.8,CAIXA
2026-05-29,FAR,17,2427,424072470.68,CAIXA
2026-06-05,FAR,1,112,18480000.0,CAIXA
2026-06-12,FAR,4,457,80186739.84,CAIXA
2026-06-19,FAR,3,576,95029795.92,CAIXA
2026-07-03,FAR,5,960,161758845.58,CAIXA
2026-07-10,FAR,6,1200,201531615.59,CAIXA
2026-07-17,FAR,7,1440,241663461.18,CAIXA
2026-07-24,FAR,2,408,73664000.0,CAIXA
2026-07-31,FAR,3,496,87488000.0,CAIXA
