key,layer,extension,size_bytes,size_mb,last_modified,year_hint,tags_preditive,score_preditivo
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251024.csv,raw,csv,58145,0.055,2026-07-02T20:21:36.291000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250919.csv,raw,csv,38744,0.037,2026-07-02T20:21:33.262000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
staging/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251024.csv.parquet,staging,parquet,25661,0.024,2026-07-17T02:17:11.968000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250912.csv,raw,csv,21287,0.02,2026-07-02T20:20:56.240000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251114.csv,raw,csv,21247,0.02,2026-07-02T20:20:56.109000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
staging/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250919.csv.parquet,staging,parquet,20192,0.019,2026-07-17T02:17:11.780000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251003.csv,raw,csv,19771,0.019,2026-07-02T20:20:54.663000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251107.csv,raw,csv,19243,0.018,2026-07-02T20:20:54.519000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251031.csv,raw,csv,18950,0.018,2026-07-02T20:20:53.962000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250730.xlsx,raw,xlsx,17994,0.017,2026-07-02T20:20:53.721000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
staging/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250730.xlsx.parquet,staging,parquet,16505,0.016,2026-07-17T02:17:11.555000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
staging/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250912.csv.parquet,staging,parquet,14575,0.014,2026-07-17T02:17:11.734000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
staging/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251114.csv.parquet,staging,parquet,14403,0.014,2026-07-17T02:17:12.074000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
staging/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251003.csv.parquet,staging,parquet,14237,0.014,2026-07-17T02:17:11.850000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251017.csv,raw,csv,14035,0.013,2026-07-02T20:20:53.030000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
staging/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251107.csv.parquet,staging,parquet,13780,0.013,2026-07-17T02:17:12.039000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
staging/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251031.csv.parquet,staging,parquet,13610,0.013,2026-07-17T02:17:12.003000+00:00,2025.0,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",9
