arquivo,data_arquivo,linhas,uh_contratadas,valor_contratado
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250815.csv,2025-08-15,13,379,21506551.259999998
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250822.csv,2025-08-22,36,1094,68703355.8
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250829.csv,2025-08-29,62,1943,132185981.6
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250905.csv,2025-09-05,63,1995,144998781.60000002
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250912.csv,2025-09-12,146,6323,500592332.46
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250919.csv,2025-09-19,267,10991,944942559.3400002
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250926.csv,2025-09-26,79,2989,275126244.82
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251003.csv,2025-10-03,136,5058,522330402.93
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251010.csv,2025-10-10,39,2579,349823657.24
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251017.csv,2025-10-17,96,3811,435884736.26
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251024.csv,2025-10-24,403,14097,1458596097.4299998
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251031.csv,2025-10-31,130,5358,665810815.21
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251107.csv,2025-11-07,132,5427,670985815.21
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251114.csv,2025-11-14,146,5824,710260244.52
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251121.csv,2025-11-21,10,514,27161999.7
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251128.csv,2025-11-28,4,169,6741586.0
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251205.csv,2025-12-05,5,345,41941586.0
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251212.csv,2025-12-12,3,128,22928234.64
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251219.csv,2025-12-19,2,36,6876372.25
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251226.csv,2025-12-26,12,729,85089405.8
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260102.csv,2026-01-02,6,566,99848937.00999999
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260109.csv,2026-01-09,21,1686,289575442.67
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260116.csv,2026-01-16,22,1744,290615407.6700001
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260123.csv,2026-01-23,23,1832,311528706.25
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260130.csv,2026-01-30,24,1838,311966216.32
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260206.csv,2026-02-06,3,391,32955842.43
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260213.csv,2026-02-13,5,447,37155842.43
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260220.csv,2026-02-20,3,328,48022160.78
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260227.csv,2026-02-27,6,854,152639490.64
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260306.csv,2026-03-06,6,854,152639490.64
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260313.csv,2026-03-13,8,1343,230658278.32
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260320.csv,2026-03-20,4,843,178301634.54999998
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260327.csv,2026-03-27,18,6573,408742768.96
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260403.csv,2026-04-03,7,5179,208224119.54000002
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260410.csv,2026-04-10,16,6468,398065275.44000006
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260417.csv,2026-04-17,14,268,37181755.8
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260505.csv,2026-05-05,7,957,173282355.8
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260508.csv,2026-05-08,7,957,173282355.8
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260515.csv,2026-05-15,9,1296,220968000.0
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260522.csv,2026-05-22,3,432,73656000.0
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260529.csv,2026-05-29,18,2575,450934226.48
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260605.csv,2026-06-05,1,112,18480000.0
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260612.csv,2026-06-12,4,457,80186739.84
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260619.csv,2026-06-19,3,576,95029795.92
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260703.csv,2026-07-03,5,960,161758845.58
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260710.csv,2026-07-10,6,1200,201531615.59
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260717.csv,2026-07-17,7,1440,241663461.18
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260724.csv,2026-07-24,2,408,73664000.0
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260731.csv,2026-07-31,3,496,87488000.0
