old_schema,old_table,new_schema,new_table
dados_historicos,bronze_mcmv_historico_serie_entrada_bb,bronze,bronze_dhist_serie_entrada_bb
dados_historicos,bronze_mcmv_historico_empreendimento_snh_bb,bronze,bronze_dhist_empreendimento_snh_bb
reloginho,bronze_reloginho_snh_entregas_evento_bb,bronze,bronze_dhist_snh_entregas_evento_bb
dados_historicos,bronze_mcmv_historico_empreendimento_int054,bronze,bronze_sftp_empreendimento_int054
dados_historicos,bronze_mcmv_historico_empreendimento_int059,bronze,bronze_sftp_empreendimento_int059
dados_historicos,bronze_mcmv_historico_empreendimento_int057,bronze,bronze_sftp_empreendimento_int057
dados_historicos,bronze_mcmv_historico_empreendimento_int040,bronze,bronze_sftp_empreendimento_int040
reloginho,bronze_reloginho_snh_entregas_evento_caixa,bronze,bronze_dhist_snh_entregas_evento_caixa
dados_historicos,bronze_mcmv_historico_empreendimento_snh_caixa,bronze,bronze_dhist_empreendimento_snh_caixa
dados_historicos,bronze_mcmv_historico_empreendimento_int065,bronze,bronze_sftp_empreendimento_int065
dados_historicos,bronze_mcmv_historico_serie_bases_relatorio_executivo,bronze,bronze_dhist_serie_bases_relatorio_executivo
dados_historicos,bronze_mcmv_historico_serie_min_cidades,bronze,bronze_dhist_serie_min_cidades
dados_historicos,bronze_mcmv_historico_serie_bext,bronze,bronze_dhist_serie_bext
reloginho,silver_historico_snh_entregas_mes,prata,prata_dhist_snh_entregas_mes
reloginho,silver_historico_snh_apf_mes,prata,prata_dhist_snh_apf_mes
reloginho,gold_indicadores_reloginho,ouro,ouro_reloginho_indicadores
reloginho,gold_indicadores_reloginho_frente,ouro,ouro_reloginho_indicadores_frente
reloginho,gold_indicadores_reloginho_entregas,ouro,ouro_reloginho_indicadores_entregas
reloginho,gold_resumo_reloginho_dashboard,ouro,ouro_reloginho_resumo_dashboard
reloginho,gold_indicadores_gargalo_desempenho,ouro,ouro_reloginho_indicadores_gargalo_desempenho
reloginho,gold_resumo_gargalo_desempenho_dashboard,ouro,ouro_reloginho_resumo_gargalo_desempenho_dashboard
empreendimentos_fds,silver_historico_empreendimento,prata,prata_fds_historico_empreendimento
empreendimento_far,silver_historico_empreendimento,prata,prata_far_historico_empreendimento
empreendimento_rural,silver_historico_empreendimento,prata,prata_rural_historico_empreendimento
dados_historicos,gold_serie_mensal,ouro,ouro_dhist_serie_mensal
dados_historicos,gold_snapshot_empreendimento_atual,ouro,ouro_dhist_snapshot_empreendimento_atual
dados_historicos,gold_marco_empreendimento,ouro,ouro_dhist_marco_empreendimento
dados_historicos,gold_serie_situacao_mensal,ouro,ouro_dhist_serie_situacao_mensal
dados_historicos,silver_mcmv_historico_serie_executiva,prata,prata_dhist_serie_executiva
