edicao,pagina,modelo,linha,coluna,esperado,tolerancia
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Trim./Trim. Imediatamente Anterior,4 trim. antes,-1.0,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Trim./Trim. Imediatamente Anterior,3 trim. antes,-0.1,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Trim./Trim. Imediatamente Anterior,2 trim. antes,0.9,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Trim./Trim. Imediatamente Anterior,trim. anterior,-2.4,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Trim./Trim. Imediatamente Anterior,trimestre selecionado,2.9,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Acumulada ao Longo do Ano,4 trim. antes,3.0,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Acumulada ao Longo do Ano,3 trim. antes,1.6,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Acumulada ao Longo do Ano,2 trim. antes,1.7,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Acumulada ao Longo do Ano,trim. anterior,0.5,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Acumulada ao Longo do Ano,trimestre selecionado,1.3,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Acum. Últimos 4 Trimestres,4 trim. antes,4.6,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Acum. Últimos 4 Trimestres,3 trim. antes,3.5,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Acum. Últimos 4 Trimestres,2 trim. antes,2.5,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Acum. Últimos 4 Trimestres,trim. anterior,0.5,0.06
1T2026,1,gld_boletim_p1_pib_construcao_civil_em_de_crescimento,Acum. Últimos 4 Trimestres,trimestre selecionado,0.1,0.06
1T2026,2,gld_boletim_p2_lancamentos_por_construtora_variacao,MRV,vs. trim. anterior,-5,0.06
1T2026,2,gld_boletim_p2_lancamentos_por_construtora_variacao,MRV,vs. mesmo trim. ano ant.,-9,0.06
1T2026,2,gld_boletim_p2_lancamentos_por_construtora_variacao,MRV,12m atual / 12m anterior,-3,0.06
1T2026,2,gld_boletim_p2_lancamentos_por_construtora_variacao,MRV,12m anterior / 12m retrasado,71,0.06
1T2026,2,gld_boletim_p2_lancamentos_por_construtora_variacao,Cury,vs. trim. anterior,109,0.06
1T2026,2,gld_boletim_p2_lancamentos_por_construtora_variacao,Cury,vs. mesmo trim. ano ant.,-12,0.06
1T2026,2,gld_boletim_p2_lancamentos_por_construtora_variacao,Cury,12m atual / 12m anterior,5,0.06
1T2026,2,gld_boletim_p2_lancamentos_por_construtora_variacao,Cury,12m anterior / 12m retrasado,45,0.06
