modelo,coluna,obrigatoria,min_completude,origem
contrato_empreendimento_historico,apf,true,1.0,regra_negocio
contrato_empreendimento_historico,frente_mcmv,true,1.0,regra_negocio
contrato_empreendimento_historico,programa,true,1.0,regra_negocio
contrato_empreendimento_historico,dt_referencia,true,1.0,regra_negocio
contrato_empreendimento_historico,codigo_ibge_municipio,false,0.90,heuristica_nao_nulo
contrato_empreendimento_historico,quantidade_uh,false,0.80,heuristica_nao_nulo
contrato_empreendimento_historico,valor_contratado,false,0.70,heuristica_nao_nulo
prata_historico_serie_executiva,fonte_familia,true,1.0,regra_negocio
prata_historico_serie_executiva,dt_referencia,true,1.0,regra_negocio
prata_historico_serie_executiva,chave_natural,true,1.0,regra_negocio
prata_historico_serie_executiva,valor_investimento,false,0.70,heuristica_nao_nulo
prata_historico_serie_executiva,valor_financiamento,false,0.90,heuristica_nao_nulo
prata_historico_serie_executiva,valor_contrapartidas,false,0.40,heuristica_nao_nulo
prata_historico_serie_executiva,valor_liberado,false,0.40,heuristica_nao_nulo
prata_historico_serie_executiva,subsidio_fgts,false,0.30,heuristica_nao_nulo
prata_historico_serie_executiva,subsidio_ogu,false,0.30,heuristica_nao_nulo
prata_historico_snh_apf_mes,apf,true,1.0,regra_negocio
prata_historico_snh_apf_mes,agente_financeiro,true,1.0,regra_negocio
prata_historico_snh_apf_mes,dt_referencia,true,1.0,regra_negocio
prata_historico_snh_apf_mes,uh_contratadas,false,0.97,heuristica_nao_nulo
prata_historico_snh_apf_mes,uh_entregues,false,0.97,heuristica_nao_nulo
prata_historico_snh_apf_mes,uh_vigentes,false,0.97,heuristica_nao_nulo
