bronze,coluna,justificativa
int040,cod_pendencia_entrega,"literal 'NULL' na fonte, 0% real"
int040,cod_motivo_ociosidade,"0% real na fonte (só literal 'NULL') — INT040 não alimenta motivo_paralisacao"
int040,cod_situacao_contrato_pj,"código espelho de desc_situacao_contrato (0/1/2/8/10) — desc_situacao_contrato já é exposta crua"
int040,tipo_aporte,"não é sinal de retomada/paralisação nesta iteração; candidato ao dicionário de dados"
int040,vr_contrapartida_1,"breakdown financeiro — matéria do mart financeiro (não-goal)"
int054,cod_pendencia_entrega,"literal 'NULL' na fonte, 0% real"
int054,cod_motivo_ociosidade,"0% real na fonte"
int054,cod_situacao_contrato_pj,"código espelho de desc_situacao_contrato"
int054,tipo_aporte,"0% neste lote; candidato ao dicionário"
int054,vr_emprestimo_far,"breakdown financeiro — mart financeiro"
int054,vr_contrapartida_1,"breakdown financeiro — mart financeiro"
int054,vr_pendencia_1,"metadado de interface (pendência de validação MDR), não é valor de negócio"
int054,vr_pendencia_2,"metadado de interface (pendência de validação MDR), não é valor de negócio"
int054,de_pendencia_campo,"metadado de interface"
int057,vr_atec,"breakdown financeiro — mart financeiro"
int057,vr_ts,"breakdown financeiro — mart financeiro"
int057,vr_custo_originacao,"breakdown financeiro — mart financeiro"
int057,vr_taxa_administracao,"breakdown financeiro — mart financeiro"
int057,vr_diif_juros,"breakdown financeiro — mart financeiro"
int057,vr_taxa_risco_credito,"breakdown financeiro — mart financeiro"
int057,vr_contrapartida,"breakdown financeiro — mart financeiro"
int057,vr_cisterna,"breakdown financeiro — mart financeiro"
int057,vr_efluentes,"breakdown financeiro — mart financeiro"
int057,vr_atec_ts_cisterna,"breakdown financeiro — mart financeiro"
int057,vr_tx_adm_cisterna,"breakdown financeiro — mart financeiro"
int057,vr_edificacao,"breakdown financeiro — mart financeiro"
int057,vr_operacao,"breakdown financeiro — mart financeiro"
int057,vr_diferencial_juros,"breakdown financeiro — mart financeiro"
int057,vr_pendencia_1,"metadado de interface"
int057,vr_pendencia_2,"metadado de interface"
int057,de_pendencia_campo,"metadado de interface"
int059,dt_maxima_liberacao,"prazo-limite de liberação, não liberação efetiva; FDS fica sem dt_ultima_liberacao nesta iteração"
int059,email_entidade,"0% real na fonte; contato, não é sinal de negócio"
int059,situacao_empreendimento,"eixo de ocupação (NORMAL/INVADIDO/ABANDONO PELA EO), não de obra; candidato ao dicionário"
int059,quantidade_uh_adaptadas,"0% real na fonte"
int059,gps_latitude_grau,"0% real na fonte (literal 'NULL')"
int059,gps_latitude_minuto,"0% real na fonte (literal 'NULL')"
int059,gps_latitude_segundo,"0% real na fonte (literal 'NULL')"
int059,gps_longitude_grau,"0% real na fonte (literal 'NULL')"
int059,gps_longitude_minuto,"0% real na fonte (literal 'NULL')"
int059,gps_longitude_segundo,"0% real na fonte (literal 'NULL')"
int059,vr_emprestimo_original,"breakdown financeiro — mart financeiro"
int059,vr_liberado_sisfin,"breakdown financeiro — mart financeiro"
int059,vr_projeto,"breakdown financeiro — mart financeiro"
int059,vr_obra,"breakdown financeiro — mart financeiro"
int059,valor_aditamento_selecao_complementar,"breakdown financeiro — mart financeiro"
int059,valor_aporte_adicional,"breakdown financeiro — mart financeiro"
int059,valor_aporte_adicional_contratado,"breakdown financeiro — mart financeiro"
int059,vr_pendencia_1,"metadado de interface"
int059,vr_pendencia_2,"metadado de interface"
int059,de_pendencia_campo,"metadado de interface"
int065,dsc_situacao_obra,"redundante com no_situacao_obra (já consumida)"
int065,vr_atec,"breakdown financeiro — mart financeiro"
int065,vr_ts,"breakdown financeiro — mart financeiro"
int065,vr_custo_originacao,"breakdown financeiro — mart financeiro"
int065,vr_taxa_administracao,"breakdown financeiro — mart financeiro"
int065,vr_diferencial_juros,"breakdown financeiro — mart financeiro"
int065,vr_taxa_risco_credito,"breakdown financeiro — mart financeiro"
