modelo,coluna
bronze_sftp_empreendimento_int040,_ingested_at
bronze_sftp_empreendimento_int040,_source_file
bronze_sftp_empreendimento_int040,_source_hash
bronze_sftp_empreendimento_int040,cnpj_proponente
bronze_sftp_empreendimento_int040,co_objetivo_complemento
bronze_sftp_empreendimento_int040,cod_agente_financeiro
bronze_sftp_empreendimento_int040,cod_motivo_ociosidade
bronze_sftp_empreendimento_int040,cod_municipio_ibge
bronze_sftp_empreendimento_int040,cod_pendencia_entrega
bronze_sftp_empreendimento_int040,cod_pendencia_obra
bronze_sftp_empreendimento_int040,cod_regime_execucao
bronze_sftp_empreendimento_int040,cod_situacao_contrato_pj
bronze_sftp_empreendimento_int040,cod_tipo_contrato
bronze_sftp_empreendimento_int040,cod_tipo_etapa
bronze_sftp_empreendimento_int040,desc_situacao_contrato
bronze_sftp_empreendimento_int040,dsc_tipo_comunidade_atendida
bronze_sftp_empreendimento_int040,dsc_tipologia
bronze_sftp_empreendimento_int040,dt_assinatura
bronze_sftp_empreendimento_int040,dt_inicio_obra
bronze_sftp_empreendimento_int040,dt_legalizacao
bronze_sftp_empreendimento_int040,dt_movimento
bronze_sftp_empreendimento_int040,dt_primeira_entrega
bronze_sftp_empreendimento_int040,dt_termino_obra
bronze_sftp_empreendimento_int040,dt_ultima_entrega
bronze_sftp_empreendimento_int040,dt_ultima_liberacao_recurso
bronze_sftp_empreendimento_int040,filename
bronze_sftp_empreendimento_int040,iorigem
bronze_sftp_empreendimento_int040,liberacao_obra
bronze_sftp_empreendimento_int040,liberacao_terreno
bronze_sftp_empreendimento_int040,liberacao_ts
bronze_sftp_empreendimento_int040,liberacao_ts_adicional
bronze_sftp_empreendimento_int040,no_empreendimento
bronze_sftp_empreendimento_int040,no_localidade
bronze_sftp_empreendimento_int040,no_logradouro
bronze_sftp_empreendimento_int040,no_municipio
bronze_sftp_empreendimento_int040,no_objetivo_complemento
bronze_sftp_empreendimento_int040,nome_tipo_contrato
bronze_sftp_empreendimento_int040,nu_apf
bronze_sftp_empreendimento_int040,nu_cep
bronze_sftp_empreendimento_int040,origem
bronze_sftp_empreendimento_int040,percentual_obra_realizado
bronze_sftp_empreendimento_int040,portaria_selecao
bronze_sftp_empreendimento_int040,qt_unidade_financiadas
bronze_sftp_empreendimento_int040,qt_unidades_concluidas
bronze_sftp_empreendimento_int040,qt_unidades_entregues
bronze_sftp_empreendimento_int040,qt_unidades_ociosas
bronze_sftp_empreendimento_int040,razao_social_proponente
bronze_sftp_empreendimento_int040,sg_uf_muncicipio
