fonte_familia,chave_natural,motivo,evidencia
bases_relatorio_executivo,27001014,valor_por_uh_extremo,R$/UH ate R$ 5.8 mi (36 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,30484424,valor_negativo_repetido,min R$ -16.0 mi em 15/44 snapshots
bases_relatorio_executivo,30485347,valor_negativo_repetido,min R$ -17.8 mi em 15/44 snapshots
bases_relatorio_executivo,30485452,valor_negativo_repetido,min R$ -20.3 mi em 15/44 snapshots
bases_relatorio_executivo,32386147,valor_negativo_repetido,min R$ -1.9 mi em 18/33 snapshots
bases_relatorio_executivo,32643100,valor_negativo_repetido,min R$ -91.4 mi em 18/33 snapshots
bases_relatorio_executivo,33501113,valor_negativo_repetido,min R$ -12.5 mi em 16/33 snapshots
bases_relatorio_executivo,35695355,valor_negativo_repetido,min R$ -0.7 mi em 12/32 snapshots
bases_relatorio_executivo,35695805,valor_negativo_repetido,min R$ -0.3 mi em 16/32 snapshots
bases_relatorio_executivo,35696266,valor_negativo_repetido,min R$ -0.3 mi em 13/32 snapshots
bases_relatorio_executivo,35754293,valor_negativo_repetido,min R$ -6.5 mi em 17/33 snapshots
bases_relatorio_executivo,35868983,valor_negativo_repetido,min R$ -4.2 mi em 14/44 snapshots
bases_relatorio_executivo,36057996,valor_negativo_repetido,min R$ -0.1 mi em 17/33 snapshots
bases_relatorio_executivo,36129477,valor_negativo_repetido,min R$ -32.7 mi em 16/37 snapshots
bases_relatorio_executivo,36234835,valor_negativo_repetido,min R$ -5.0 mi em 14/37 snapshots
bases_relatorio_executivo,36828177,valor_por_uh_extremo,R$/UH ate R$ 11.3 mi (1 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,38423196,valor_negativo_repetido,min R$ -74.5 mi em 12/33 snapshots
bases_relatorio_executivo,38433765,valor_negativo_repetido,min R$ -122.8 mi em 16/33 snapshots
bases_relatorio_executivo,38468587,valor_negativo_repetido,min R$ -16.1 mi em 21/44 snapshots
bases_relatorio_executivo,38470851,valor_negativo_repetido,min R$ -15.2 mi em 20/44 snapshots
bases_relatorio_executivo,38470965,valor_negativo_repetido,min R$ -16.1 mi em 14/44 snapshots
bases_relatorio_executivo,38702671,valor_negativo_repetido,min R$ -13.4 mi em 15/44 snapshots
bases_relatorio_executivo,38702899,valor_negativo_repetido,min R$ -15.2 mi em 18/44 snapshots
bases_relatorio_executivo,38703030,valor_negativo_repetido,min R$ -16.1 mi em 19/44 snapshots
bases_relatorio_executivo,38703259,valor_negativo_repetido,min R$ -15.2 mi em 19/44 snapshots
bases_relatorio_executivo,38974629,valor_negativo_repetido,min R$ -17.1 mi em 17/37 snapshots
bases_relatorio_executivo,38974847,valor_negativo_repetido,min R$ -17.1 mi em 13/37 snapshots
bases_relatorio_executivo,38976120,valor_negativo_repetido,min R$ -13.7 mi em 16/37 snapshots
bases_relatorio_executivo,38976234,valor_negativo_repetido,min R$ -14.8 mi em 18/37 snapshots
bases_relatorio_executivo,39406044,valor_negativo_repetido,min R$ -4.2 mi em 16/33 snapshots
bases_relatorio_executivo,39506072,valor_negativo_repetido,min R$ -10.9 mi em 15/33 snapshots
bases_relatorio_executivo,39507984,valor_negativo_repetido,min R$ -12.5 mi em 12/33 snapshots
bases_relatorio_executivo,39597201,valor_negativo_repetido,min R$ -12.0 mi em 15/39 snapshots
bases_relatorio_executivo,39597315,valor_negativo_repetido,min R$ -18.0 mi em 14/39 snapshots
bases_relatorio_executivo,39597534,valor_negativo_repetido,min R$ -14.4 mi em 12/39 snapshots
bases_relatorio_executivo,39597971,valor_negativo_repetido,min R$ -19.2 mi em 19/39 snapshots
bases_relatorio_executivo,39598008,valor_negativo_repetido,min R$ -10.8 mi em 21/39 snapshots
bases_relatorio_executivo,39598226,valor_negativo_repetido,min R$ -15.6 mi em 13/39 snapshots
bases_relatorio_executivo,39873925,valor_negativo_repetido,min R$ -6.0 mi em 21/38 snapshots
bases_relatorio_executivo,39888946,valor_negativo_repetido,min R$ -50.9 mi em 16/33 snapshots
bases_relatorio_executivo,40198827,valor_negativo_repetido,min R$ -0.3 mi em 14/33 snapshots
bases_relatorio_executivo,40325165,valor_negativo_repetido,min R$ -4.8 mi em 15/33 snapshots
bases_relatorio_executivo,40528068,valor_negativo_repetido,min R$ -8.5 mi em 17/33 snapshots
bases_relatorio_executivo,40635700,valor_negativo_repetido,min R$ -56.6 mi em 19/33 snapshots
bases_relatorio_executivo,40637072,valor_negativo_repetido,min R$ -23.6 mi em 12/33 snapshots
bases_relatorio_executivo,40679381,valor_negativo_repetido,min R$ -13.5 mi em 15/33 snapshots
bases_relatorio_executivo,40679613,valor_negativo_repetido,min R$ -9.0 mi em 17/33 snapshots
bases_relatorio_executivo,40682233,valor_negativo_repetido,min R$ -63.4 mi em 16/33 snapshots
bases_relatorio_executivo,40748577,valor_negativo_repetido,min R$ -24.0 mi em 13/33 snapshots
bases_relatorio_executivo,40757015,valor_negativo_repetido,min R$ -10.1 mi em 15/36 snapshots
bases_relatorio_executivo,40759160,valor_negativo_repetido,min R$ -47.0 mi em 15/33 snapshots
bases_relatorio_executivo,40799542,valor_negativo_repetido,min R$ -19.2 mi em 17/33 snapshots
bases_relatorio_executivo,40806179,valor_negativo_repetido,min R$ -19.2 mi em 12/33 snapshots
bases_relatorio_executivo,40827225,valor_negativo_repetido,min R$ -8.6 mi em 17/36 snapshots
bases_relatorio_executivo,40827443,valor_negativo_repetido,min R$ -14.0 mi em 16/36 snapshots
bases_relatorio_executivo,40827663,valor_negativo_repetido,min R$ -10.1 mi em 20/36 snapshots
bases_relatorio_executivo,40827881,valor_negativo_repetido,min R$ -14.0 mi em 17/36 snapshots
bases_relatorio_executivo,40873517,valor_negativo_repetido,min R$ -18.0 mi em 13/33 snapshots
bases_relatorio_executivo,40887395,valor_negativo_repetido,min R$ -14.6 mi em 11/33 snapshots
bases_relatorio_executivo,40887513,valor_negativo_repetido,min R$ -16.6 mi em 15/33 snapshots
bases_relatorio_executivo,40887627,valor_negativo_repetido,min R$ -17.6 mi em 21/33 snapshots
bases_relatorio_executivo,40893085,valor_negativo_repetido,min R$ -3.4 mi em 17/33 snapshots
bases_relatorio_executivo,40893202,valor_negativo_repetido,min R$ -6.8 mi em 22/33 snapshots
bases_relatorio_executivo,40893649,valor_negativo_repetido,min R$ -2.2 mi em 11/33 snapshots
bases_relatorio_executivo,40893868,valor_negativo_repetido,min R$ -11.5 mi em 17/33 snapshots
bases_relatorio_executivo,40899016,valor_negativo_repetido,min R$ -15.0 mi em 10/33 snapshots
bases_relatorio_executivo,40985934,valor_negativo_repetido,min R$ -3.9 mi em 14/33 snapshots
bases_relatorio_executivo,41024523,valor_negativo_repetido,min R$ -15.9 mi em 16/32 snapshots
bases_relatorio_executivo,41035345,valor_negativo_repetido,min R$ -17.8 mi em 16/33 snapshots
bases_relatorio_executivo,41060143,valor_negativo_repetido,min R$ -12.8 mi em 11/33 snapshots
bases_relatorio_executivo,41076307,valor_negativo_repetido,min R$ -1.0 mi em 18/32 snapshots
bases_relatorio_executivo,41222187,valor_negativo_repetido,min R$ -25.5 mi em 18/33 snapshots
bases_relatorio_executivo,41621604,valor_negativo_repetido,min R$ -15.2 mi em 16/33 snapshots
bases_relatorio_executivo,41992549,valor_negativo_repetido,min R$ -18.7 mi em 13/33 snapshots
bases_relatorio_executivo,42002132,valor_negativo_repetido,min R$ -83.6 mi em 16/33 snapshots
bases_relatorio_executivo,42102043,valor_negativo_repetido,min R$ -13.5 mi em 14/33 snapshots
bases_relatorio_executivo,42102595,valor_negativo_repetido,min R$ -9.4 mi em 15/33 snapshots
bases_relatorio_executivo,42103519,valor_negativo_repetido,min R$ -8.0 mi em 14/32 snapshots
bases_relatorio_executivo,42103623,valor_negativo_repetido,min R$ -8.9 mi em 13/32 snapshots
bases_relatorio_executivo,42105010,valor_por_uh_extremo,R$/UH ate R$ 6.4 mi (8 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,42129674,valor_negativo_repetido,min R$ -17.7 mi em 13/33 snapshots
bases_relatorio_executivo,42143004,valor_negativo_repetido,min R$ -15.2 mi em 16/33 snapshots
bases_relatorio_executivo,42165411,valor_negativo_repetido,min R$ -18.0 mi em 17/33 snapshots
bases_relatorio_executivo,42229033,valor_negativo_repetido,min R$ -15.6 mi em 15/33 snapshots
bases_relatorio_executivo,42404153,valor_negativo_repetido,min R$ -7.7 mi em 10/33 snapshots
bases_relatorio_executivo,42404267,valor_negativo_repetido,min R$ -20.7 mi em 12/33 snapshots
bases_relatorio_executivo,42496319,valor_negativo_repetido,min R$ -3.1 mi em 13/33 snapshots
bases_relatorio_executivo,42647555,valor_negativo_repetido,min R$ -32.5 mi em 12/32 snapshots
bases_relatorio_executivo,42649262,valor_negativo_repetido,min R$ -89.7 mi em 10/33 snapshots
bases_relatorio_executivo,42792513,valor_negativo_repetido,min R$ -45.6 mi em 19/33 snapshots
bases_relatorio_executivo,43622866,valor_por_uh_extremo,R$/UH ate R$ 5.4 mi (4 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,44531739,valor_por_uh_extremo,R$/UH ate R$ 13.2 mi (2 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,44936830,valor_por_uh_extremo,R$/UH ate R$ 9.9 mi (4 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,44937073,valor_por_uh_extremo,R$/UH ate R$ 10.6 mi (2 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,46214496,valor_por_uh_extremo,R$/UH ate R$ 9.6 mi (1 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,46214500,valor_por_uh_extremo,R$/UH ate R$ 23.9 mi (1 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,46214614,valor_por_uh_extremo,R$/UH ate R$ 12.5 mi (1 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,46214832,valor_por_uh_extremo,R$/UH ate R$ 13.1 mi (1 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,46866868,valor_por_uh_extremo,R$/UH ate R$ 21.3 mi (1 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,46936077,valor_por_uh_extremo,R$/UH ate R$ 20.2 mi (1 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,46936181,valor_por_uh_extremo,R$/UH ate R$ 20.2 mi (1 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,46936295,valor_por_uh_extremo,R$/UH ate R$ 20.3 mi (1 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,47581827,valor_por_uh_extremo,R$/UH ate R$ 13.1 mi (1 UH; mediana familia R$ 53 k)
bases_relatorio_executivo,49992417,valor_por_uh_extremo,R$/UH ate R$ 12.1 mi (1 UH; mediana familia R$ 53 k)
