apf,fase_empreendimento,apf_ancora,nome_empreendimento,arquivo_origem
46161917,Obra,46161917,ALEXIUS JAFET B,ABR26
46162150,Obra,46162150,ALEXIUS JAFET D,ABR26
17303212,Projeto,17303212,PARQUE ESTELA. COND RES,ABR26
22271187,Projeto,22271187,CHIQUINHA GONZAGA. CONJ RES,ABR26
23024947,Projeto,23024947,URIBOCA,ABR26
23437011,Projeto,23437011,RESIDENCIAL JARDIM MATE LARANJEIRA MOD II,ABR26
23561268,Projeto,23561268,FDS- CONSTRUCAO DE 14 UH EM RODEIO BONITO,ABR26
24603168,Projeto,24603168,SONHO MEU,ABR26
28627884,Projeto,28627884,RESIDENCIAL JARDIM MATE LARANJEIRA - MOD I,ABR26
28641547,Projeto,28641547,GRUPO ESPERANCA,ABR26
28808934,Projeto,28808934,RESIDENCIAL NOVO MUNDO MODULO II,ABR26
29073374,Projeto,29073374,RESIDENCIAL VALE DOS SONHOS I,ABR26
29431159,Projeto,29431159,LOTEAMENTO PAIM II - BAIRRO SAO MIGUEL,ABR26
29439016,Projeto,29439016,RESIDENCIAL RIO VERMELHO I,ABR26
29455274,Projeto,29455274,LOTEAMENTO PARQUE DAS HORTENSIAS FASE II,ABR26
29520157,Projeto,29520157,LOTEAMENTO BELA VISTA MODULO I,ABR26
29520594,Projeto,29520594,LOTEAMENTO BELA VISTA MODULO II,ABR26
29520607,Projeto,29520607,LOTEAMENTO BELA VISTA MODULO III,ABR26
29521172,Projeto,29521172,CONJUNTO HABITACIONAL FREI HUMBERTO I,ABR26
29521286,Projeto,29521286,CONJUNTO HABITACIONAL FREI HUMBERTO MODULO II,ABR26
29533908,Projeto,29533908,NOVA MIRITIUA 1,ABR26
29534036,Projeto,29534036,NOVA MIRITIUA 2,ABR26
29536424,Projeto,29536424,NOVA MIRITIUA 3,ABR26
29542228,Projeto,29542228,CONDOMINIO RESIDENCIAL VITORIA,ABR26
29542666,Projeto,29542666,RESIDENCIAL SILVIA CATANHEDE I,ABR26
29591369,Projeto,29591369,JD PALMEIRAS I,ABR26
29647251,Projeto,29647251,LOTEAMENTO PORTO VERDE II,ABR26
29652813,Obra,29652813,ALTO DO MOURA,ABR26
29653492,Projeto,29653492,RES PQ COLINA,ABR26
29680136,Projeto,29680136,VANGUARDA 2,ABR26
29691498,Projeto,29691498,VALE DOS SONHOS II,ABR26
29691616,Projeto,29691616,RESIDENCIAL VALE DOS SONHOS III,ABR26
29760799,Projeto,29760799,SANTA LUZIA IV,ABR26
29760802,Projeto,29760802,SANTA LUZIA III,ABR26
29821240,Projeto,29821240,NUCLEO SAO FRANCISCO DE ASSIS,ABR26
29821574,Projeto,29821574,NUCLEO HABITACIONAL SAO JOSE,ABR26
29851724,Projeto,29851724,FDS - 17 UHS PULVERIZADAS - LAGOA VERMELHA/RS,ABR26
29958131,Projeto,29958131,PALMEIRAS II,ABR26
30054631,Projeto,30054631,JARDIM DAS AZALEIAS,ABR26
30062155,Projeto,30062155,LOTEAMENTO MARISA LETICIA LULA DA SILVA MODULO II,ABR26
30239004,Projeto,30239004,LOTEAMENTO CONSTANCIA GAUNA AFONSO,ABR26
30239222,Projeto,30239222,LOTEAMENTO DOM PEPE III,ABR26
30239336,Projeto,30239336,LOTEAMENTO DOM PEPE II,ABR26
30241483,Projeto,30241483,LOTEAMENTO DOM PEPE IV,ABR26
30380753,Projeto,30380753,HABITACOES BOM JESUS,ABR26
30470764,Projeto,30470764,RES VILA ADILAIR II - A,ABR26
30471237,Projeto,30471237,RES VILA ADILAIR II - B,ABR26
30471675,Projeto,30471675,RESIDENCIAL PARQUE ELDORADO OESTE IV,ABR26
30701235,Projeto,30701235,INOVA MISSOES,ABR26
30712601,Projeto,30712601,CONJ HAB ZIZINHA MACIEL VIEIRA MACHADO MODULO I,ABR26
30712715,Projeto,30712715,CONJ HAB ZIZINHA MACIEL VIEIRA MACHADO MOD II,ABR26
30731936,Projeto,30731936,RESIDENCIAL CAMETA PARK - PMCMV - RECURSOS FDS,ABR26
30770280,Projeto,30770280,VILA FORMOSA,ABR26
31050666,Projeto,31050666,TITA MONTEIRO,ABR26
31067626,Projeto,31067626,LOTEAMENTO NOVO JENIPAPEIRO,ABR26
31067844,Projeto,31067844,J DAS PALMEIRAS,ABR26
31072287,Projeto,31072287,LOTEAMENTO POTTENSTEIN,ABR26
31210117,Projeto,31210117,CASAS URBANAS CONCENTRADAS,ABR26
31407318,Projeto,31407318,RESIDENCIAL JARDIM ITALIA II,ABR26
31539973,Projeto,31539973,SOCOHAPI,ABR26
31581065,Projeto,31581065,RESIDENCIAL SOLAR FLAMBOYANT I,ABR26
31705783,Projeto,31705783,CONDOMINIO RESIDENCIAL SOLAR DAS MANGUEIRAS,ABR26
31710907,Projeto,31710907,VIT DA UNIAO,ABR26
31713963,Projeto,31713963,VIT DA UNIAO,ABR26
31734018,Projeto,31734018,LOTEAMENTO ALZIRIO A ROSS - PMCMV,ABR26
31740042,Projeto,31740042,LOTEAMENTO HABITACHE,ABR26
31747769,Projeto,31747769,CONSTRUCAO 21 UH JACINTO MACHADO,ABR26
31749039,Projeto,31749039,MONTE ALEGRE,ABR26
31846769,Projeto,31846769,RES BURITIS II,ABR26
31875339,Projeto,31875339,CONDOMINIO HAB HARMONIA,ABR26
31880336,Projeto,31880336,05 UH NA ZONA URBANA DE LAGOA VERMELHA,ABR26
31895243,Projeto,31895243,COND JARDIM BOTANICO I,ABR26
31895795,Projeto,31895795,COND JARDIM BOTANICO II,ABR26
31899005,Projeto,31899005,RESIDENCIAL BURITIS III,ABR26
32003570,Projeto,32003570,MANGABEIRAS,ABR26
32047725,Projeto,32047725,CADES,ABR26
32071726,Projeto,32071726,SETOR CENTRAL,ABR26
32072073,Projeto,32072073,NOVA IPIRANGA,ABR26
32072187,Projeto,32072187,JARDIM INDEPENDENCIA II,ABR26
32080933,Projeto,32080933,LOTEAMENTO SANTO ANTONIO II,ABR26
32081176,Projeto,32081176,JARDIM INDEPENDENCIA I,ABR26
32081512,Projeto,32081512,LOTEAMENTO ELDORADO,ABR26
32099484,Projeto,32099484,RES GIRASSOL,ABR26
32249705,Projeto,32249705,PMCMV - FDS - CONSTRUCAO DE 11UHS NA ZONA URBANA DE CASEIROS,ABR26
32489345,Projeto,32489345,NOSSA PRATA 5,ABR26
32516568,Projeto,32516568,CONJUNTO HABITACIONAL NOSSA PRATA 7A ETAPA,ABR26
32584702,Projeto,32584702,RES ATLANTICO,ABR26
32585175,Projeto,32585175,RESIDENCIAL RIO VERMELHO II,ABR26
32585739,Projeto,32585739,RESIDENCIAL RIO VERMELHO III,ABR26
32790559,Projeto,32790559,RES RECREIO DOS BANDEIRANTES I,ABR26
32843255,Projeto,32843255,RESIDENCIAL ORLANDO BACARIN,ABR26
33213641,Projeto,33213641,RES TRABALHADOR,ABR26
33214447,Projeto,33214447,RES TRABALHADOR,ABR26
33244033,Projeto,33244033,SANTA SOFIA II,ABR26
33769181,Projeto,33769181,SUSSUAPARA,ABR26
33776358,Projeto,33776358,JARDIM PETROPOLIS II,ABR26
33785451,Projeto,33785451,RESIDENCIAL PLANALTO III,ABR26
33838480,Projeto,33838480,RESIDENCIAL MORADA DOS HIBISCOS,ABR26
33870905,Projeto,33870905,ABADIA DE GOIAS VI ETAPA,ABR26
33877620,Projeto,33877620,CONSTRUCAO DE 11 UH DISPERSAS NA AREA URBANA,ABR26
34041939,Projeto,34041939,CONJUNTO HABITACIONAL ANDIRA,ABR26
34078022,Projeto,34078022,RES VITORIA II,ABR26
34078240,Projeto,34078240,RES VITORIA I,ABR26
34334495,Projeto,34334495,CONDOMINIO ANA MARIA,ABR26
34347476,Projeto,34347476,RESIDENCIAL LAGOA QUENTE,ABR26
34413696,Projeto,34413696,CONJUNTO HABITACIONAL FLOR DO CARMELO,ABR26
34464662,Projeto,34464662,BAIRRO VILA ANGELICA CONSTR EM TERRENO PROPRIO 44 UH PULV,ABR26
34696584,Projeto,34696584,CONJUNTO HABITACIONAL NOSSA PRATA 6A ETAPA,ABR26
34696698,Projeto,34696698,NOSSA PRATA 4,ABR26
34715382,Projeto,34715382,RESIDENCIAL BOA VISTA,ABR26
34780563,Projeto,34780563,DONA LEOPOLDINA,ABR26
34974914,Projeto,34974914,PHPE - FECOOHASC - RANCHO QUEIMADO - 16UH,ABR26
35322019,Projeto,35322019,QUILOMBO CHACARA DAS ROSAS,ABR26
35354970,Projeto,35354970,CONJUNTO HABITACIONAL CURUCA I,ABR26
35488354,Projeto,35488354,44 UN CONCENTRADAS STO ANTONIO PLANALTO -LOT STA LUCIA,ABR26
35540372,Projeto,35540372,LOTEAM COOMETAL,ABR26
35580204,Projeto,35580204,EMPREENDIMENTO PROFESSORA LUZIA DA CONCEICAO DE SOUSA COSTA,ABR26
35595559,Projeto,35595559,SANTA TEREZINHA III,ABR26
35630833,Projeto,35630833,CONSTRUINDO COOPERACAO-FDS EO COOPHAB GRUPO CANGUCU I,ABR26
35634709,Projeto,35634709,JARDIM DAS AZALEIAS 2 FASE,ABR26
35636866,Projeto,35636866,CIDTIRADENTES I. CHIS,ABR26
35678060,Projeto,35678060,OSASCO W,ABR26
35931144,Projeto,35931144,CONSTRUCAO DE 09 UNIDADES HABITACIONAIS,ABR26
36051964,Projeto,36051964,LOTEAMENTO IPE AMARELO,ABR26
36146094,Projeto,36146094,RESIDENCIAL VILA REAL III,ABR26
36272382,Projeto,36272382,MERCIA DE ALBUQ,ABR26
36671130,Projeto,36671130,RES NOVA ERA 2011,ABR26
36942638,Projeto,36942638,LOTEAMENTO CORREGO NOVO - MUNICIPIO DE CORREGO NOVO - PMCMV,ABR26
36993372,Projeto,36993372,NOSSA PRATA 2 E,ABR26
36993486,Projeto,36993486,NOSSA PRATA 3,ABR26
37164410,Projeto,37164410,CONJUNTO HABITACIONAL TIRADENTES V,ABR26
37459584,Projeto,37459584,LOTEAMENTO PRIMAVERA III,ABR26
37608788,Obra,37608788,RIO DAS VELHAS II,ABR26
37620847,Projeto,37620847,JOAO CANDIDO A. RES,ABR26
37624713,Projeto,37624713,HABITACOES PULVERIZADAS - MCMV - PASSO FUNDO,ABR26
37704156,Projeto,37704156,CIDTIRADENTES II. CHIS,ABR26
37704260,Projeto,37704260,CIDTIRADENTES III. CHIS,ABR26
37704374,Projeto,37704374,CIDTIRADENTES IV. CHIS,ABR26
37726458,Projeto,37726458,PROJETO RECONSTRUIR I,ABR26
37743513,Projeto,37743513,NUCLEO ALIANAA III,ABR26
37754093,Projeto,37754093,LOTEAMENTO JARDIM ALVORADA,ABR26
37767524,Projeto,37767524,RESIDENCIAL LUA,ABR26
37768872,Projeto,37768872,RES ESTRELAS,ABR26
37866638,Projeto,37866638,PMCMV RESIDENCIAL DO SOL___________________________________,ABR26
38051326,Projeto,38051326,JOAO CANDIDO B. RES,ABR26
38121087,Projeto,38121087,CASTELO BRANCO2,ABR26
38151789,Projeto,38151789,CASAS POPULARES,ABR26
38152253,Projeto,38152253,CONSTRUCAO DE UNIDADES ISOLADAS,ABR26
38170564,Obra,38170564,CONJ RES BAJADO,ABR26
38197975,Projeto,38197975,BURITIS,ABR26
38224954,Projeto,38224954,HABITAR HORIZONTES NOVOS URBANO I,ABR26
38280260,Projeto,38280260,RESIDENCIAL DEL FIORE,ABR26
38402153,Projeto,38402153,LOTEAMENTO BAIRRO RENASCER,ABR26
38537346,Projeto,38537346,RESIDENCIAL BOM PASTOR I,ABR26
38537566,Projeto,38537566,RESIDENCIAL BOM PASTOR II,ABR26
38694683,Projeto,38694683,UMSB S.BENEDITO,ABR26
38738967,Projeto,38738967,BAIRRO PRIMAVERA,ABR26
38748534,Projeto,38748534,MODULO I,ABR26
38748867,Projeto,38748867,MODULO II,ABR26
38748971,Projeto,38748971,CONJ HAB SETOR1,ABR26
38997496,Projeto,38997496,SEBERI GRUPO 01,ABR26
38997614,Projeto,38997614,SEBERI GRUPO 2,ABR26
39483051,Obra,39483051,CONJ VITORIA,ABR26
39485772,Projeto,39485772,MCMVE CASAS URBANAS PULVERIZADAS - 18UH - CREHNOR IBIRAIARAS,ABR26
39579005,Projeto,39579005,CONJUNTO HABITACIONAL SETOR NOVA ESPERANCA - MODULO 1,ABR26
39581047,Projeto,39581047,NOVA ESPERANCA2,ABR26
39581266,Projeto,39581266,NOVA ESPERANCA3,ABR26
39604713,Projeto,39604713,MANGUEIRAS,ABR26
40128630,Projeto,40128630,OCUPACAO 9 DE NOVEMBRO,ABR26
40176318,Projeto,40176318,FDS UNIDADES PULVERIZADAS,ABR26
40312415,Projeto,40312415,FDS ENTIDADES. PINHEIRO PRETO. CONSTRUCAO 44 UH. URBANO,ABR26
40647086,Projeto,40647086,PMCMV - ENTIDADES - MARMELEIRO,ABR26
40896498,Obra,40896498,5 DE DEZEMBRO,ABR26
40901856,Projeto,40901856,RESIDENCIAL JOSE RAIMUNDO DOS SANTOS,ABR26
40986627,Projeto,40986627,VALE DOS SONHOS,ABR26
41065829,Projeto,41065829,RESIDENCIAL NOVO TEMPO,ABR26
41121365,Projeto,41121365,25 UH PULVERIZADAS,ABR26
41142076,Projeto,41142076,RESIDENCIAL NOVO TEMPO ETAPA 2,ABR26
41430318,Projeto,41430318,RESIDENCIAL ALFA II,ABR26
41574477,Projeto,41574477,FDS LOTEAMENTO SAO BRAZDE LOCALIZADO EM TURVO,ABR26
41663913,Projeto,41663913,PMCMV-E - RENASCENCA PR,ABR26
41701151,Projeto,41701151,RESIDENCIAL MIRAMAR,ABR26
