apf,situacao_anterior,fase_corrigida,dt_movimento,dt_correcao,arquivo_origem
63512005,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63512337,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63512557,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63512661,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63512889,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63512993,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63513353,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63513467,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63513572,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63513686,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63513803,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63513917,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63514045,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63514150,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63514264,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63514378,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63514482,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63514597,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63514600,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63514714,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63514828,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63514932,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
63515073,EM ANDAMENTO,Projeto,2026-03-31,2026-04-30,CORREÇÃO_FASE_PROJETO.xlsx
